"Category","Subcategory","Enrichment","P-value","P-adjusted","Q-value","Observed","miRNAs/precursors"
"Interactions (NPInter)","IP6K3","enriched","0.0030769","0.0030769","0.327302","2","hsa-miR-1205; hsa-miR-29b-1-5p"
"Interactions (NPInter)","SERPING1","enriched","0.0030769","0.0030769","0.327302","2","hsa-miR-1205; hsa-miR-29b-1-5p"
"Interactions (NPInter)","USP9Y","enriched","0.0030769","0.0030769","0.327302","2","hsa-miR-1205; hsa-miR-29b-1-5p"
"Annotations derived over miRTarBase (Gene Ontology)","cellular response to growth factor stimulus GO0071363","depleted","0.003477","0.003477","0.510639","10","hsa-miR-29b-1-5p; hsa-miR-6715b-5p; hsa-miR-4474-3p; hsa-miR-6734-3p; hsa-miR-512-5p; hsa-miR-4803; hsa-miR-5582-5p; hsa-miR-134-3p; hsa-miR-139-3p; hsa-miR-548ah-5p"
"Annotations derived over miRTarBase (Gene Ontology)","Cul4-RING E3 ubiquitin ligase complex GO0080008","enriched","0.0037817","0.0037817","0.510639","9","hsa-miR-4516; hsa-miR-6715b-5p; hsa-miR-6769b-5p; hsa-miR-3975; hsa-miR-548h-5p; hsa-miR-4474-3p; hsa-miR-4511; hsa-miR-6756-5p; hsa-miR-548ah-5p"
"Annotations derived over miRTarBase (Gene Ontology)","U5 snRNP GO0005682","enriched","0.0038462","0.0038462","0.510639","3","hsa-miR-1205; hsa-miR-4516; hsa-miR-6715b-5p"
"Annotations derived over miRTarBase (Gene Ontology)","nuclear matrix GO0016363","enriched","0.0039533","0.0039533","0.510639","12","hsa-miR-1205; hsa-miR-4516; hsa-miR-6715b-5p; hsa-miR-520d-3p; hsa-miR-6769b-5p; hsa-miR-3975; hsa-miR-548h-5p; hsa-miR-4474-3p; hsa-miR-6756-5p; hsa-miR-1225-3p; hsa-miR-6734-3p; hsa-miR-548ah-5p"
"Annotations derived over miRTarBase (Gene Ontology)","tau protein binding GO0048156","enriched","0.0045591","0.0045591","0.510639","9","hsa-miR-1205; hsa-miR-4516; hsa-miR-520d-3p; hsa-miR-6769b-5p; hsa-miR-548h-5p; hsa-miR-4511; hsa-miR-6756-5p; hsa-miR-922; hsa-miR-6735-5p"
"Annotations derived over miRTarBase (Gene Ontology)","vesicle fusion with Golgi apparatus GO0048280","enriched","0.0046823","0.0046823","0.510639","4","hsa-miR-6715b-5p; hsa-miR-520d-3p; hsa-miR-6769b-5p; hsa-miR-3975"
"Target genes (miRTarBase)","YIPF4","enriched","0.0046823","0.0046823","0.402564","4","hsa-miR-6715b-5p; hsa-miR-520d-3p; hsa-miR-6769b-5p; hsa-miR-3975"
"Annotations derived over miRTarBase (Gene Ontology)","potassium ion transmembrane transport GO0071805","enriched","0.0051971","0.0051971","0.510639","14","hsa-miR-1205; hsa-miR-29b-1-5p; hsa-miR-4516; hsa-miR-6715b-5p; hsa-miR-520d-3p; hsa-miR-3975; hsa-miR-548h-5p; hsa-miR-4511; hsa-miR-6756-5p; hsa-miR-1225-3p; hsa-miR-922; hsa-miR-6735-5p; hsa-miR-6734-3p; hsa-miR-548ah-5p"
"Annotations derived over miRTarBase (Gene Ontology)","endoplasmic reticulum tubular network GO0071782","depleted","0.0052904","0.0052904","0.510639","6","hsa-miR-6735-5p; hsa-miR-6815-5p; hsa-miR-6734-3p; hsa-miR-5582-5p; hsa-miR-139-3p; hsa-miR-548ah-5p"
"Annotations derived over miRTarBase (Gene Ontology)","peroxisomal matrix GO0005782","enriched","0.0052904","0.0052904","0.510639","6","hsa-miR-6715b-5p; hsa-miR-520d-3p; hsa-miR-6769b-5p; hsa-miR-548h-5p; hsa-miR-4474-3p; hsa-miR-6756-5p"
"Annotations derived over miRTarBase (Gene Ontology)","CCR chemokine receptor binding GO0048020","enriched","0.0076923","0.0076923","0.510639","3","hsa-miR-4516; hsa-miR-6715b-5p; hsa-miR-520d-3p"
"Annotations derived over miRTarBase (Gene Ontology)","cellular response to organic cyclic compound GO0071407","enriched","0.0076923","0.0076923","0.510639","3","hsa-miR-29b-1-5p; hsa-miR-4516; hsa-miR-520d-3p"
"Annotations derived over miRTarBase (Gene Ontology)","eosinophil chemotaxis GO0048245","enriched","0.0076923","0.0076923","0.510639","3","hsa-miR-4516; hsa-miR-6715b-5p; hsa-miR-520d-3p"
"Annotations derived over miRTarBase (Gene Ontology)","membrane repolarization during ventricular cardiac muscle cell action potential GO0098915","enriched","0.0076923","0.0076923","0.510639","3","hsa-miR-1205; hsa-miR-4516; hsa-miR-520d-3p"
"Annotations derived over miRTarBase (Gene Ontology)","monocyte chemotaxis GO0002548","enriched","0.0076923","0.0076923","0.510639","3","hsa-miR-4516; hsa-miR-6715b-5p; hsa-miR-520d-3p"
"Annotations derived over miRTarBase (Gene Ontology)","voltage-gated potassium channel activity involved in cardiac muscle cell action potential repolarization GO0086008","enriched","0.0076923","0.0076923","0.510639","3","hsa-miR-1205; hsa-miR-4516; hsa-miR-520d-3p"
"Diseases (MNDR)","Embryonal cancer","enriched","0.0076923","0.0076923","0.195421","3","hsa-miR-29b-1-5p; hsa-miR-1250-5p; hsa-miR-520d-3p"
"Diseases (MNDR)","Glioma","enriched","0.0076923","0.0076923","0.195421","3","hsa-miR-29b-1-5p; hsa-miR-4516; hsa-miR-520d-3p"
"Interactions (NPInter)","ENPP2","enriched","0.0076923","0.0076923","0.327302","3","hsa-miR-1205; hsa-miR-29b-1-5p; hsa-miR-520d-3p"
"Interactions (NPInter)","KIAA1109","enriched","0.0076923","0.0076923","0.327302","3","hsa-miR-1205; hsa-miR-29b-1-5p; hsa-miR-520d-3p"
"Annotations derived over miRTarBase (Gene Ontology)","protein autophosphorylation GO0046777","depleted","0.0078261","0.0078261","0.510639","19","hsa-miR-4516; hsa-miR-520d-3p; hsa-miR-6769b-5p; hsa-miR-548h-5p; hsa-miR-4511; hsa-miR-6756-5p; hsa-miR-1225-3p; hsa-miR-922; hsa-miR-6735-5p; hsa-miR-6815-5p; hsa-miR-378c; hsa-miR-4727-5p; hsa-miR-6734-3p; hsa-miR-105-3p; hsa-miR-4803; hsa-miR-5582-5p; hsa-miR-134-3p; hsa-miR-139-3p; hsa-miR-548ah-5p"
"Annotations derived over miRTarBase (Gene Ontology)","cellular response to lipopolysaccharide GO0071222","enriched","0.0084093","0.0084093","0.510639","10","hsa-miR-4516; hsa-miR-520d-3p; hsa-miR-6769b-5p; hsa-miR-3975; hsa-miR-548h-5p; hsa-miR-4511; hsa-miR-6756-5p; hsa-miR-1225-3p; hsa-miR-922; hsa-miR-548ah-5p"
"Annotations derived over miRTarBase (Gene Ontology)","NLS-bearing protein import into nucleus GO0006607","enriched","0.0084281","0.0084281","0.510639","4","hsa-miR-1205; hsa-miR-4516; hsa-miR-520d-3p; hsa-miR-548h-5p"
"Annotations derived over miRTarBase (Gene Ontology)","apical junction complex GO0043296","enriched","0.0084281","0.0084281","0.510639","4","hsa-miR-520d-3p; hsa-miR-6769b-5p; hsa-miR-3975; hsa-miR-548h-5p"
"Annotations derived over miRTarBase (Gene Ontology)","membrane protein intracellular domain proteolysis GO0031293","enriched","0.0084281","0.0084281","0.510639","4","hsa-miR-29b-1-5p; hsa-miR-520d-3p; hsa-miR-6769b-5p; hsa-miR-548h-5p"
"Interactions (NPInter)","PRNP","enriched","0.0084281","0.0084281","0.327302","4","hsa-miR-1205; hsa-miR-29b-1-5p; hsa-miR-520d-3p; hsa-miR-548h-5p"
"Annotations derived over miRTarBase (Gene Ontology)","eukaryotic translation initiation factor 4F complex GO0016281","depleted","0.0092308","0.0092308","0.510639","2","hsa-miR-134-3p; hsa-miR-548ah-5p"
"Annotations derived over miRTarBase (Gene Ontology)","monoatomic ion homeostasis GO0050801","depleted","0.0092308","0.0092308","0.510639","2","hsa-miR-134-3p; hsa-miR-548ah-5p"
"Annotations derived over miRTarBase (Gene Ontology)","positive regulation of protein import into nucleus GO0042307","enriched","0.0092308","0.0092308","0.510639","2","hsa-miR-29b-1-5p; hsa-miR-1250-5p"
"Annotations derived over miRTarBase (Gene Ontology)","positive regulation of sodium ion transmembrane transporter activity GO2000651","depleted","0.0092308","0.0092308","0.510639","2","hsa-miR-134-3p; hsa-miR-548ah-5p"
"Target genes (miRTarBase)","EIF4H","depleted","0.0092308","0.0092308","0.402564","2","hsa-miR-134-3p; hsa-miR-548ah-5p"
"Diseases (MNDR)","Arthritis","depleted","0.0092308","0.0092308","0.195421","2","hsa-miR-134-3p; hsa-miR-139-3p"
"Diseases (MNDR)","Urinary bladder cancer","depleted","0.0092308","0.0092308","0.195421","2","hsa-miR-134-3p; hsa-miR-139-3p"
"Published Diseases","pancreatic cancer ducatal deregulated","enriched","0.0092308","0.0092308","0.170584","2","hsa-miR-29b-1-5p; hsa-miR-1250-5p"
"Published Diseases","pancreatic cancer ducatal upregulated","enriched","0.0092308","0.0092308","0.170584","2","hsa-miR-29b-1-5p; hsa-miR-1250-5p"
"Interactions (NPInter)","CRIM1","enriched","0.0092308","0.0092308","0.327302","2","hsa-miR-1205; hsa-miR-1250-5p"
"Interactions (NPInter)","CTSB","enriched","0.0092308","0.0092308","0.327302","2","hsa-miR-29b-1-5p; hsa-miR-1250-5p"
"Interactions (NPInter)","PNMA1","enriched","0.0092308","0.0092308","0.327302","2","hsa-miR-29b-1-5p; hsa-miR-1250-5p"
"Interactions (NPInter)","RBM3","enriched","0.0092308","0.0092308","0.327302","2","hsa-miR-29b-1-5p; hsa-miR-1250-5p"
"Annotations derived over miRTarBase (Gene Ontology)","positive regulation of interleukin-1 beta production GO0032731","enriched","0.0100882","0.0100882","0.510639","7","hsa-miR-29b-1-5p; hsa-miR-4516; hsa-miR-520d-3p; hsa-miR-3975; hsa-miR-548h-5p; hsa-miR-1225-3p; hsa-miR-922"
"Annotations derived over miRTarBase (Gene Ontology)","stimulatory C-type lectin receptor signaling pathway GO0002223","enriched","0.0100882","0.0100882","0.510639","7","hsa-miR-4516; hsa-miR-520d-3p; hsa-miR-6769b-5p; hsa-miR-548h-5p; hsa-miR-6756-5p; hsa-miR-1225-3p; hsa-miR-922"
"Annotations derived over miRTarBase (Gene Ontology)","p53 binding GO0002039","enriched","0.0102482","0.0102482","0.510639","9","hsa-miR-4516; hsa-miR-6715b-5p; hsa-miR-520d-3p; hsa-miR-6769b-5p; hsa-miR-3975; hsa-miR-548h-5p; hsa-miR-6756-5p; hsa-miR-1225-3p; hsa-miR-548ah-5p"
"Annotations derived over miRTarBase (Gene Ontology)","dynein complex binding GO0070840","enriched","0.0104439","0.0104439","0.510639","5","hsa-miR-1205; hsa-miR-4516; hsa-miR-6715b-5p; hsa-miR-520d-3p; hsa-miR-512-5p"
"Annotations derived over miRTarBase (Gene Ontology)","positive regulation of Rho protein signal transduction GO0035025","enriched","0.0104439","0.0104439","0.510639","5","hsa-miR-1205; hsa-miR-29b-1-5p; hsa-miR-4516; hsa-miR-520d-3p; hsa-miR-548ah-5p"
"Target genes (miRTarBase)","LRRC58","enriched","0.0104439","0.0104439","0.402564","5","hsa-miR-1205; hsa-miR-4516; hsa-miR-6715b-5p; hsa-miR-520d-3p; hsa-miR-5582-5p"
"Published Diseases","pancreatitis deregulated","enriched","0.0104439","0.0104439","0.170584","5","hsa-miR-1205; hsa-miR-29b-1-5p; hsa-miR-1250-5p; hsa-miR-520d-3p; hsa-miR-105-3p"
"Annotations derived over miRTarBase (Gene Ontology)","Fc-epsilon receptor signaling pathway GO0038095","enriched","0.0112366","0.0112366","0.510639","6","hsa-miR-4516; hsa-miR-6769b-5p; hsa-miR-548h-5p; hsa-miR-4511; hsa-miR-6756-5p; hsa-miR-1225-3p"
"Annotations derived over miRTarBase (Gene Ontology)","cortical actin cytoskeleton GO0030864","enriched","0.0112366","0.0112366","0.510639","6","hsa-miR-1205; hsa-miR-4516; hsa-miR-6769b-5p; hsa-miR-548h-5p; hsa-miR-6756-5p; hsa-miR-1225-3p"
"Annotations derived over miRTarBase (Gene Ontology)","hematopoietic progenitor cell differentiation GO0002244","enriched","0.0112366","0.0112366","0.510639","6","hsa-miR-29b-1-5p; hsa-miR-4516; hsa-miR-520d-3p; hsa-miR-548h-5p; hsa-miR-6756-5p; hsa-miR-1225-3p"
"Annotations derived over miRTarBase (Gene Ontology)","spliceosomal complex assembly GO0000245","enriched","0.0112366","0.0112366","0.510639","6","hsa-miR-1205; hsa-miR-4516; hsa-miR-6715b-5p; hsa-miR-548h-5p; hsa-miR-6756-5p; hsa-miR-1225-3p"
"Annotations derived over miRTarBase (Gene Ontology)","regulation of translation GO0006417","enriched","0.0117303","0.0117303","0.510639","8","hsa-miR-1205; hsa-miR-4516; hsa-miR-520d-3p; hsa-miR-6769b-5p; hsa-miR-3975; hsa-miR-548h-5p; hsa-miR-6756-5p; hsa-miR-6734-3p"
"Annotations derived over miRTarBase (Gene Ontology)","cell differentiation GO0030154","enriched","0.0126877","0.0126877","0.510639","19","hsa-miR-29b-1-5p; hsa-miR-4516; hsa-miR-6715b-5p; hsa-miR-520d-3p; hsa-miR-6769b-5p; hsa-miR-3975; hsa-miR-548h-5p; hsa-miR-4474-3p; hsa-miR-4511; hsa-miR-6756-5p; hsa-miR-1225-3p; hsa-miR-922; hsa-miR-6735-5p; hsa-miR-6815-5p; hsa-miR-378c; hsa-miR-4727-5p; hsa-miR-6734-3p; hsa-miR-139-3p; hsa-miR-548ah-5p"
"Annotations derived over miRTarBase (Gene Ontology)","U2-type precatalytic spliceosome GO0071005","enriched","0.0132746","0.0132746","0.510639","11","hsa-miR-1205; hsa-miR-4516; hsa-miR-6715b-5p; hsa-miR-520d-3p; hsa-miR-6769b-5p; hsa-miR-3975; hsa-miR-548h-5p; hsa-miR-6756-5p; hsa-miR-1225-3p; hsa-miR-6815-5p; hsa-miR-6734-3p"
"Annotations derived over miRTarBase (Gene Ontology)","dystroglycan binding GO0002162","enriched","0.0134615","0.0134615","0.510639","3","hsa-miR-1205; hsa-miR-4516; hsa-miR-6769b-5p"
"Annotations derived over miRTarBase (Gene Ontology)","endothelial cell activation GO0042118","depleted","0.0134615","0.0134615","0.510639","3","hsa-miR-512-5p; hsa-miR-4803; hsa-miR-548ah-5p"
"Annotations derived over miRTarBase (Gene Ontology)","establishment of epithelial cell polarity GO0090162","enriched","0.0134615","0.0134615","0.510639","3","hsa-miR-1205; hsa-miR-520d-3p; hsa-miR-6769b-5p"
"Annotations derived over miRTarBase (Gene Ontology)","learning GO0007612","depleted","0.0134615","0.0134615","0.510639","3","hsa-miR-512-5p; hsa-miR-139-3p; hsa-miR-548ah-5p"
"Annotations derived over miRTarBase (Gene Ontology)","positive regulation of innate immune response GO0045089","enriched","0.0134615","0.0134615","0.510639","3","hsa-miR-4516; hsa-miR-520d-3p; hsa-miR-6769b-5p"
"Annotations derived over miRTarBase (Gene Ontology)","positive regulation of type I interferon-mediated signaling pathway GO0060340","enriched","0.0134615","0.0134615","0.510639","3","hsa-miR-1205; hsa-miR-4516; hsa-miR-6769b-5p"
"Target genes (miRTarBase)","DCAF7","enriched","0.0134615","0.0134615","0.402564","3","hsa-miR-4516; hsa-miR-6715b-5p; hsa-miR-6769b-5p"
"Annotations derived over miRTarBase (Gene Ontology)","RSC-type complex GO0016586","enriched","0.0151171","0.0151171","0.510639","4","hsa-miR-1205; hsa-miR-520d-3p; hsa-miR-3975; hsa-miR-4474-3p"
"Annotations derived over miRTarBase (Gene Ontology)","apical plasma membrane GO0016324","enriched","0.0151171","0.0151171","0.510639","22","hsa-miR-1205; hsa-miR-29b-1-5p; hsa-miR-1250-5p; hsa-miR-4516; hsa-miR-6715b-5p; hsa-miR-520d-3p; hsa-miR-6769b-5p; hsa-miR-3975; hsa-miR-548h-5p; hsa-miR-4474-3p; hsa-miR-4511; hsa-miR-6756-5p; hsa-miR-1225-3p; hsa-miR-922; hsa-miR-6735-5p; hsa-miR-6815-5p; hsa-miR-6734-3p; hsa-miR-512-5p; hsa-miR-5582-5p; hsa-miR-134-3p; hsa-miR-139-3p; hsa-miR-548ah-5p"
"Annotations derived over miRTarBase (Gene Ontology)","gamma-secretase complex GO0070765","enriched","0.0151171","0.0151171","0.510639","4","hsa-miR-1205; hsa-miR-520d-3p; hsa-miR-6769b-5p; hsa-miR-4474-3p"
"Annotations derived over miRTarBase (Gene Ontology)","barbed-end actin filament capping GO0051016","enriched","0.0151327","0.0151327","0.510639","6","hsa-miR-4516; hsa-miR-6715b-5p; hsa-miR-520d-3p; hsa-miR-6769b-5p; hsa-miR-548h-5p; hsa-miR-5582-5p"
"Annotations derived over miRTarBase (Gene Ontology)","killing of cells of another organism GO0031640","enriched","0.0151327","0.0151327","0.510639","6","hsa-miR-1205; hsa-miR-4516; hsa-miR-6715b-5p; hsa-miR-520d-3p; hsa-miR-548h-5p; hsa-miR-6815-5p"
"Annotations derived over miRTarBase (Gene Ontology)","negative regulation of BMP signaling pathway GO0030514","enriched","0.0151327","0.0151327","0.510639","6","hsa-miR-1205; hsa-miR-29b-1-5p; hsa-miR-520d-3p; hsa-miR-6769b-5p; hsa-miR-548h-5p; hsa-miR-4803"
"Annotations derived over miRTarBase (Gene Ontology)","positive regulation of natural killer cell mediated cytotoxicity GO0045954","depleted","0.0151327","0.0151327","0.510639","6","hsa-miR-548h-5p; hsa-miR-4727-5p; hsa-miR-512-5p; hsa-miR-5582-5p; hsa-miR-139-3p; hsa-miR-548ah-5p"
"Annotations derived over miRTarBase (Gene Ontology)","precatalytic spliceosome GO0071011","enriched","0.0151327","0.0151327","0.510639","6","hsa-miR-1205; hsa-miR-4516; hsa-miR-520d-3p; hsa-miR-3975; hsa-miR-548h-5p; hsa-miR-6734-3p"
"Annotations derived over miRTarBase (Gene Ontology)","triglyceride catabolic process GO0019433","depleted","0.0151327","0.0151327","0.510639","6","hsa-miR-4516; hsa-miR-4727-5p; hsa-miR-6734-3p; hsa-miR-512-5p; hsa-miR-5582-5p; hsa-miR-548ah-5p"
"Annotations derived over miRTarBase (Gene Ontology)","androgen receptor signaling pathway GO0030521","depleted","0.0152326","0.0152326","0.510639","5","hsa-miR-6735-5p; hsa-miR-378c; hsa-miR-6734-3p; hsa-miR-134-3p; hsa-miR-548ah-5p"
"Annotations derived over miRTarBase (Gene Ontology)","lymphocyte chemotaxis GO0048247","enriched","0.0152326","0.0152326","0.510639","5","hsa-miR-4516; hsa-miR-6715b-5p; hsa-miR-520d-3p; hsa-miR-6769b-5p; hsa-miR-6756-5p"
"Annotations derived over miRTarBase (Gene Ontology)","negative regulation of cell-matrix adhesion GO0001953","enriched","0.0152326","0.0152326","0.510639","5","hsa-miR-1205; hsa-miR-4516; hsa-miR-6769b-5p; hsa-miR-548h-5p; hsa-miR-6756-5p"
"Annotations derived over miRTarBase (Gene Ontology)","ovarian follicle development GO0001541","enriched","0.0152326","0.0152326","0.510639","5","hsa-miR-4516; hsa-miR-520d-3p; hsa-miR-6769b-5p; hsa-miR-548h-5p; hsa-miR-6756-5p"
"Annotations derived over miRTarBase (Gene Ontology)","positive regulation of cytoplasmic translation GO2000767","enriched","0.0152326","0.0152326","0.510639","5","hsa-miR-1205; hsa-miR-4516; hsa-miR-548h-5p; hsa-miR-4474-3p; hsa-miR-6756-5p"
"Annotations derived over miRTarBase (Gene Ontology)","positive regulation of interleukin-1 production GO0032732","enriched","0.0152326","0.0152326","0.510639","5","hsa-miR-1205; hsa-miR-520d-3p; hsa-miR-6769b-5p; hsa-miR-4474-3p; hsa-miR-6756-5p"
"Annotations derived over miRTarBase (Gene Ontology)","prostaglandin metabolic process GO0006693","enriched","0.0152326","0.0152326","0.510639","5","hsa-miR-4516; hsa-miR-520d-3p; hsa-miR-6769b-5p; hsa-miR-4474-3p; hsa-miR-6756-5p"
"Annotations derived over miRTarBase (Gene Ontology)","SCF ubiquitin ligase complex GO0019005","enriched","0.015645","0.015645","0.510639","10","hsa-miR-1205; hsa-miR-4516; hsa-miR-6715b-5p; hsa-miR-520d-3p; hsa-miR-6769b-5p; hsa-miR-3975; hsa-miR-4511; hsa-miR-6756-5p; hsa-miR-6734-3p; hsa-miR-548ah-5p"
"Annotations derived over miRTarBase (Gene Ontology)","antimicrobial humoral immune response mediated by antimicrobial peptide GO0061844","enriched","0.015645","0.015645","0.510639","10","hsa-miR-1205; hsa-miR-4516; hsa-miR-6715b-5p; hsa-miR-520d-3p; hsa-miR-6769b-5p; hsa-miR-548h-5p; hsa-miR-4511; hsa-miR-6756-5p; hsa-miR-6815-5p; hsa-miR-548ah-5p"
"Annotations derived over miRTarBase (Gene Ontology)","condensed chromosome GO0000793","enriched","0.0169018","0.0169018","0.510639","7","hsa-miR-6715b-5p; hsa-miR-520d-3p; hsa-miR-6769b-5p; hsa-miR-548h-5p; hsa-miR-4474-3p; hsa-miR-4511; hsa-miR-548ah-5p"
"Pathways (KEGG)","Non-small cell lung cancer","depleted","0.0169018","0.0169018","0.599937","19","hsa-miR-29b-1-5p; hsa-miR-4516; hsa-miR-520d-3p; hsa-miR-3975; hsa-miR-548h-5p; hsa-miR-6756-5p; hsa-miR-1225-3p; hsa-miR-922; hsa-miR-6735-5p; hsa-miR-6815-5p; hsa-miR-378c; hsa-miR-4727-5p; hsa-miR-6734-3p; hsa-miR-512-5p; hsa-miR-4803; hsa-miR-5582-5p; hsa-miR-134-3p; hsa-miR-139-3p; hsa-miR-548ah-5p"
