"Category","Subcategory","Enrichment","P-value","P-adjusted","Q-value","Observed","miRNAs/precursors"
"Annotations derived over miRTarBase (Gene Ontology)","cellular response to interferon-beta GO0035458","enriched","8.46e-4","8.46e-4","0.456712","4","hsa-miR-1307-3p; hsa-miR-92a-2-5p; hsa-miR-125a-3p; hsa-miR-1228-5p"
"Annotations derived over miRTarBase (Gene Ontology)","U2-type prespliceosome GO0071004","enriched","0.0010101","0.0010101","0.456712","2","hsa-miR-3184-5p; hsa-miR-1307-3p"
"Target genes (miRTarBase)","WASF2","enriched","0.0010101","0.0010101","0.384805","2","hsa-miR-3184-5p; hsa-miR-1307-3p"
"Annotations derived over miRTarBase (Gene Ontology)","positive regulation of collagen biosynthetic process GO0032967","depleted","0.0010796","0.0010796","0.456712","5","hsa-miR-663a; hsa-miR-4706; hsa-miR-1343-3p; hsa-miR-4687-5p; hsa-miR-6746-5p"
"Annotations derived over miRTarBase (Gene Ontology)","regulation of postsynaptic neurotransmitter receptor activity GO0098962","enriched","0.0012623","0.0012623","0.456712","7","hsa-miR-3184-5p; hsa-miR-1307-3p; hsa-miR-92a-2-5p; hsa-miR-125a-3p; hsa-miR-1228-5p; hsa-miR-4481; hsa-miR-4276"
"Annotations derived over miRTarBase (Gene Ontology)","cellular response to type II interferon GO0071346","enriched","0.0014094","0.0014094","0.456712","3","hsa-miR-1307-3p; hsa-miR-92a-2-5p; hsa-miR-125a-3p"
"Annotations derived over miRTarBase (Gene Ontology)","monoatomic ion transmembrane transporter activity GO0015075","enriched","0.0014094","0.0014094","0.456712","3","hsa-miR-3184-5p; hsa-miR-4732-5p; hsa-miR-125a-3p"
"Annotations derived over miRTarBase (Gene Ontology)","negative regulation of stress-activated MAPK cascade GO0032873","enriched","0.0014094","0.0014094","0.456712","3","hsa-miR-1307-3p; hsa-miR-92a-2-5p; hsa-miR-125a-3p"
"Annotations derived over miRTarBase (Gene Ontology)","positive regulation of mesenchymal cell proliferation GO0002053","enriched","0.0014094","0.0014094","0.456712","3","hsa-miR-4732-5p; hsa-miR-92a-2-5p; hsa-miR-125a-3p"
"Annotations derived over miRTarBase (Gene Ontology)","protein kinase A regulatory subunit binding GO0034237","enriched","0.0014094","0.0014094","0.456712","3","hsa-miR-3184-5p; hsa-miR-1307-3p; hsa-miR-125a-3p"
"Annotations derived over miRTarBase (Gene Ontology)","somatic hypermutation of immunoglobulin genes GO0016446","enriched","0.0014094","0.0014094","0.456712","3","hsa-miR-3184-5p; hsa-miR-1307-3p; hsa-miR-125a-3p"
"Published Diseases","peridontitis downregulated","enriched","0.0014094","0.0014094","0.0563776","3","hsa-miR-1307-3p; hsa-miR-92a-2-5p; hsa-miR-125a-3p"
"Interactions (NPInter)","DYNLRB1","enriched","0.0014094","0.0014094","0.200071","3","hsa-miR-3184-5p; hsa-miR-92a-2-5p; hsa-miR-125a-3p"
"Interactions (NPInter)","HDGF","enriched","0.0014094","0.0014094","0.200071","3","hsa-miR-3184-5p; hsa-miR-92a-2-5p; hsa-miR-125a-3p"
"Interactions (NPInter)","MSN","enriched","0.0014094","0.0014094","0.200071","3","hsa-miR-3184-5p; hsa-miR-92a-2-5p; hsa-miR-125a-3p"
"Interactions (NPInter)","ZFP36","enriched","0.0014094","0.0014094","0.200071","3","hsa-miR-3184-5p; hsa-miR-92a-2-5p; hsa-miR-125a-3p"
"Annotations derived over miRTarBase (Gene Ontology)","MAP kinase kinase activity GO0004708","enriched","0.0015615","0.0015615","0.456712","9","hsa-miR-3184-5p; hsa-miR-4732-5p; hsa-miR-92a-2-5p; hsa-miR-125a-3p; hsa-miR-1228-5p; hsa-miR-5572; hsa-miR-4481; hsa-miR-128-1-5p; hsa-miR-6746-5p"
"Annotations derived over miRTarBase (Gene Ontology)","double-strand break repair via nonhomologous end joining GO0006303","enriched","0.0015615","0.0015615","0.456712","9","hsa-miR-3184-5p; hsa-miR-1307-3p; hsa-miR-92a-2-5p; hsa-miR-125a-3p; hsa-miR-6869-5p; hsa-miR-5572; hsa-miR-4481; hsa-miR-1233-5p; hsa-miR-6746-5p"
"Annotations derived over miRTarBase (Gene Ontology)","tau protein binding GO0048156","enriched","0.0016947","0.0016947","0.456712","14","hsa-miR-3184-5p; hsa-miR-1307-3p; hsa-miR-4732-5p; hsa-miR-125a-3p; hsa-miR-4648; hsa-miR-6869-5p; hsa-miR-1228-5p; hsa-miR-5572; hsa-miR-4481; hsa-miR-1233-5p; hsa-miR-6805-5p; hsa-miR-6857-5p; hsa-miR-1238-5p; hsa-miR-4706"
"Annotations derived over miRTarBase (Gene Ontology)","ubiquitin binding GO0043130","enriched","0.0018551","0.0018551","0.456712","23","hsa-miR-3184-5p; hsa-miR-1307-3p; hsa-miR-92a-2-5p; hsa-miR-125a-3p; hsa-miR-4648; hsa-miR-6869-5p; hsa-miR-1228-5p; hsa-miR-8069; hsa-miR-4481; hsa-miR-575; hsa-miR-1203; hsa-miR-6787-5p; hsa-miR-6802-5p; hsa-miR-7110-5p; hsa-miR-92b-5p; hsa-miR-3180; hsa-miR-1233-5p; hsa-miR-6805-5p; hsa-miR-6857-5p; hsa-miR-128-1-5p; hsa-miR-6131; hsa-miR-663a; hsa-miR-4706"
"Annotations derived over miRTarBase (Gene Ontology)","autophagosome maturation GO0097352","enriched","0.0019526","0.0019526","0.456712","6","hsa-miR-1307-3p; hsa-miR-4732-5p; hsa-miR-1228-5p; hsa-miR-4783-3p; hsa-miR-575; hsa-miR-6088"
"Annotations derived over miRTarBase (Gene Ontology)","ionotropic glutamate receptor binding GO0035255","enriched","0.0023857","0.0023857","0.456712","6","hsa-miR-3184-5p; hsa-miR-1307-3p; hsa-miR-92a-2-5p; hsa-miR-125a-3p; hsa-miR-8069; hsa-miR-128-1-5p"
"Annotations derived over miRTarBase (Gene Ontology)","cardiac right ventricle morphogenesis GO0003215","depleted","0.0024665","0.0024665","0.456712","3","hsa-miR-1343-3p; hsa-miR-4276; hsa-miR-4687-5p"
"Annotations derived over miRTarBase (Gene Ontology)","fibrinolysis GO0042730","depleted","0.0024665","0.0024665","0.456712","3","hsa-miR-1343-3p; hsa-miR-4687-5p; hsa-miR-6746-5p"
"Annotations derived over miRTarBase (Gene Ontology)","lipid glycosylation GO0030259","enriched","0.0024665","0.0024665","0.456712","3","hsa-miR-1307-3p; hsa-miR-125a-3p; hsa-miR-4648"
"Annotations derived over miRTarBase (Gene Ontology)","phospholipase A2 activity GO0004623","depleted","0.0024665","0.0024665","0.456712","3","hsa-miR-1343-3p; hsa-miR-4687-5p; hsa-miR-6746-5p"
"Chromosomal location (miRBase)","Chromosome 11","depleted","0.0024665","0.0024665","0.0443975","3","hsa-miR-1343-3p; hsa-miR-4687-5p; hsa-miR-6746-5p"
"Annotations derived over miRTarBase (Gene Ontology)","rRNA processing GO0006364","enriched","0.0025562","0.0025562","0.456712","15","hsa-miR-1307-3p; hsa-miR-92a-2-5p; hsa-miR-4730; hsa-miR-125a-3p; hsa-miR-6869-5p; hsa-miR-1228-5p; hsa-miR-8069; hsa-miR-4481; hsa-miR-575; hsa-miR-1203; hsa-miR-6088; hsa-miR-8073; hsa-miR-6131; hsa-miR-1238-5p; hsa-miR-6746-5p"
"Annotations derived over miRTarBase (Gene Ontology)","protein serinethreonine kinase activator activity GO0043539","enriched","0.0028148","0.0028148","0.456712","9","hsa-miR-3184-5p; hsa-miR-4732-5p; hsa-miR-92a-2-5p; hsa-miR-125a-3p; hsa-miR-4648; hsa-miR-8069; hsa-miR-6088; hsa-miR-7110-5p; hsa-miR-1233-5p"
"Annotations derived over miRTarBase (Gene Ontology)","regulation of signal transduction by p53 class mediator GO1901796","enriched","0.0028148","0.0028148","0.456712","9","hsa-miR-3184-5p; hsa-miR-92a-2-5p; hsa-miR-125a-3p; hsa-miR-6869-5p; hsa-miR-1228-5p; hsa-miR-4481; hsa-miR-4783-3p; hsa-miR-1238-5p; hsa-miR-6746-5p"
"Annotations derived over miRTarBase (Gene Ontology)","cytidine deamination GO0009972","enriched","0.0030303","0.0030303","0.456712","2","hsa-miR-3184-5p; hsa-miR-4732-5p"
"Annotations derived over miRTarBase (Gene Ontology)","inositol phosphate-mediated signaling GO0048016","depleted","0.0030303","0.0030303","0.456712","2","hsa-miR-6746-5p; hsa-miR-6880-3p"
"Annotations derived over miRTarBase (Gene Ontology)","interleukin-1 receptor binding GO0005149","enriched","0.0030303","0.0030303","0.456712","2","hsa-miR-3184-5p; hsa-miR-4732-5p"
"Annotations derived over miRTarBase (Gene Ontology)","mitochondrial cytochrome c oxidase assembly GO0033617","enriched","0.0030303","0.0030303","0.456712","2","hsa-miR-1307-3p; hsa-miR-4732-5p"
"Annotations derived over miRTarBase (Gene Ontology)","neutrophil degranulation GO0043312","enriched","0.0030303","0.0030303","0.456712","2","hsa-miR-1307-3p; hsa-miR-4732-5p"
"Annotations derived over miRTarBase (Gene Ontology)","sialyltransferase activity GO0008373","enriched","0.0030303","0.0030303","0.456712","2","hsa-miR-1307-3p; hsa-miR-4732-5p"
"Target genes (miRTarBase)","APOBEC3C","enriched","0.0030303","0.0030303","0.384805","2","hsa-miR-3184-5p; hsa-miR-4732-5p"
"Target genes (miRTarBase)","ZNF431","enriched","0.0030303","0.0030303","0.384805","2","hsa-miR-1307-3p; hsa-miR-4732-5p"
"Annotation (Gene Ontology)","extracellular space GO0005615","enriched","0.0030303","0.0030303","0.030303","2","hsa-miR-1307-3p; hsa-miR-4732-5p"
"Annotations derived over miRTarBase (Gene Ontology)","female gamete generation GO0007292","enriched","0.0033223","0.0033223","0.456712","4","hsa-miR-4732-5p; hsa-miR-92a-2-5p; hsa-miR-125a-3p; hsa-miR-4481"
"Annotations derived over miRTarBase (Gene Ontology)","glutathione binding GO0043295","enriched","0.0033223","0.0033223","0.456712","4","hsa-miR-1307-3p; hsa-miR-4732-5p; hsa-miR-6869-5p; hsa-miR-4481"
"Annotations derived over miRTarBase (Gene Ontology)","mitotic G2M transition checkpoint GO0044818","enriched","0.0033223","0.0033223","0.456712","4","hsa-miR-125a-3p; hsa-miR-6869-5p; hsa-miR-8069; hsa-miR-4481"
"Target genes (miRTarBase)","NPTXR","enriched","0.0033223","0.0033223","0.384805","4","hsa-miR-3184-5p; hsa-miR-1307-3p; hsa-miR-125a-3p; hsa-miR-4481"
"Target genes (miRTarBase)","TOB2","enriched","0.0033223","0.0033223","0.384805","4","hsa-miR-4732-5p; hsa-miR-92a-2-5p; hsa-miR-125a-3p; hsa-miR-4481"
"Annotations derived over miRTarBase (Gene Ontology)","5-deoxyribose-5-phosphate lyase activity GO0051575","enriched","0.0039179","0.0039179","0.456712","7","hsa-miR-3184-5p; hsa-miR-1307-3p; hsa-miR-92a-2-5p; hsa-miR-125a-3p; hsa-miR-6869-5p; hsa-miR-1233-5p; hsa-miR-6857-5p"
"Annotations derived over miRTarBase (Gene Ontology)","calcineurin-NFAT signaling cascade GO0033173","depleted","0.0039464","0.0039464","0.456712","3","hsa-miR-4706; hsa-miR-4687-5p; hsa-miR-6746-5p"
"Annotations derived over miRTarBase (Gene Ontology)","inflammatory response to antigenic stimulus GO0002437","enriched","0.0039464","0.0039464","0.456712","3","hsa-miR-1307-3p; hsa-miR-4732-5p; hsa-miR-6869-5p"
"Annotations derived over miRTarBase (Gene Ontology)","muscle system process GO0003012","enriched","0.0039464","0.0039464","0.456712","3","hsa-miR-1307-3p; hsa-miR-125a-3p; hsa-miR-6869-5p"
"Annotations derived over miRTarBase (Gene Ontology)","positive regulation of DNA-directed DNA polymerase activity GO1900264","enriched","0.0039464","0.0039464","0.456712","3","hsa-miR-3184-5p; hsa-miR-92a-2-5p; hsa-miR-6869-5p"
"Annotations derived over miRTarBase (Gene Ontology)","positive regulation of erythrocyte differentiation GO0045648","enriched","0.0039464","0.0039464","0.456712","3","hsa-miR-3184-5p; hsa-miR-125a-3p; hsa-miR-6869-5p"
"Pathways (KEGG)","African trypanosomiasis","enriched","0.0039464","0.0039464","0.338134","3","hsa-miR-92a-2-5p; hsa-miR-125a-3p; hsa-miR-6869-5p"
"Target genes (miRTarBase)","TRIM72","enriched","0.0039464","0.0039464","0.384805","3","hsa-miR-1307-3p; hsa-miR-125a-3p; hsa-miR-6869-5p"
"Annotations derived over miRTarBase (Gene Ontology)","muscle organ development GO0007517","enriched","0.0040705","0.0040705","0.456712","11","hsa-miR-3184-5p; hsa-miR-1307-3p; hsa-miR-92a-2-5p; hsa-miR-125a-3p; hsa-miR-4648; hsa-miR-6869-5p; hsa-miR-5572; hsa-miR-575; hsa-miR-7110-5p; hsa-miR-4276; hsa-miR-6746-5p"
"Annotations derived over miRTarBase (Gene Ontology)","regulation of macroautophagy GO0016241","enriched","0.0043728","0.0043728","0.456712","8","hsa-miR-3184-5p; hsa-miR-1307-3p; hsa-miR-125a-3p; hsa-miR-4648; hsa-miR-4783-3p; hsa-miR-1203; hsa-miR-6088; hsa-miR-6746-5p"
"Annotations derived over miRTarBase (Gene Ontology)","negative regulation of tyrosine phosphorylation of STAT protein GO0042532","enriched","0.0047988","0.0047988","0.456712","4","hsa-miR-3184-5p; hsa-miR-6869-5p; hsa-miR-1228-5p; hsa-miR-4783-3p"
"Diseases (MNDR)","Breast cancer","enriched","0.0048813","0.0048813","0.309465","9","hsa-miR-1307-3p; hsa-miR-4732-5p; hsa-miR-92a-2-5p; hsa-miR-125a-3p; hsa-miR-4648; hsa-miR-1228-5p; hsa-miR-575; hsa-miR-92b-5p; hsa-miR-663a"
"Annotations derived over miRTarBase (Gene Ontology)","regulation of G2M transition of mitotic cell cycle GO0010389","enriched","0.0049703","0.0049703","0.456712","12","hsa-miR-1307-3p; hsa-miR-4732-5p; hsa-miR-125a-3p; hsa-miR-4648; hsa-miR-5572; hsa-miR-6787-5p; hsa-miR-6802-5p; hsa-miR-7110-5p; hsa-miR-3180; hsa-miR-1233-5p; hsa-miR-6805-5p; hsa-miR-663a"
"Annotations derived over miRTarBase (Gene Ontology)","stress-induced premature senescence GO0090400","enriched","0.0049703","0.0049703","0.456712","12","hsa-miR-4732-5p; hsa-miR-125a-3p; hsa-miR-4648; hsa-miR-1228-5p; hsa-miR-5572; hsa-miR-6787-5p; hsa-miR-6802-5p; hsa-miR-7110-5p; hsa-miR-3180; hsa-miR-1233-5p; hsa-miR-6805-5p; hsa-miR-663a"
"Annotations derived over miRTarBase (Gene Ontology)","nucleic acid binding GO0003676","enriched","0.0054182","0.0054182","0.456712","15","hsa-miR-1307-3p; hsa-miR-4732-5p; hsa-miR-92a-2-5p; hsa-miR-125a-3p; hsa-miR-6869-5p; hsa-miR-8069; hsa-miR-5572; hsa-miR-4481; hsa-miR-575; hsa-miR-1203; hsa-miR-7110-5p; hsa-miR-6857-5p; hsa-miR-128-1-5p; hsa-miR-1343-3p; hsa-miR-6746-5p"
"Annotations derived over miRTarBase (Gene Ontology)","G2M transition of mitotic cell cycle GO0000086","enriched","0.0055352","0.0055352","0.456712","11","hsa-miR-3184-5p; hsa-miR-1307-3p; hsa-miR-125a-3p; hsa-miR-6869-5p; hsa-miR-8069; hsa-miR-575; hsa-miR-6088; hsa-miR-6802-5p; hsa-miR-7110-5p; hsa-miR-1233-5p; hsa-miR-663a"
"Diseases (MNDR)","Cardiovascular disease","enriched","0.0059197","0.0059197","0.309465","3","hsa-miR-1307-3p; hsa-miR-4732-5p; hsa-miR-1228-5p"
"Pathways (KEGG)","Non-homologous end-joining","enriched","0.0059215","0.0059215","0.338134","6","hsa-miR-3184-5p; hsa-miR-92a-2-5p; hsa-miR-125a-3p; hsa-miR-6869-5p; hsa-miR-4481; hsa-miR-1233-5p"
"Pathways (KEGG)","Ubiquitin mediated proteolysis","enriched","0.0060497","0.0060497","0.338134","22","hsa-miR-1307-3p; hsa-miR-92a-2-5p; hsa-miR-125a-3p; hsa-miR-4648; hsa-miR-6869-5p; hsa-miR-1228-5p; hsa-miR-8069; hsa-miR-5572; hsa-miR-4481; hsa-miR-575; hsa-miR-1203; hsa-miR-6787-5p; hsa-miR-6088; hsa-miR-6802-5p; hsa-miR-6805-5p; hsa-miR-4675; hsa-miR-663a; hsa-miR-1238-5p; hsa-miR-1343-3p; hsa-miR-4687-5p; hsa-miR-6746-5p; hsa-miR-6880-3p"
"Annotations derived over miRTarBase (Gene Ontology)","icosanoid metabolic process GO0006690","depleted","0.0060606","0.0060606","0.456712","2","hsa-miR-6784-5p; hsa-miR-6746-5p"
"Annotations derived over miRTarBase (Gene Ontology)","primary miRNA binding GO0070878","enriched","0.0060606","0.0060606","0.456712","2","hsa-miR-1307-3p; hsa-miR-92a-2-5p"
"Target genes (miRTarBase)","ANKRD13B","enriched","0.0060606","0.0060606","0.384805","2","hsa-miR-3184-5p; hsa-miR-92a-2-5p"
"Target genes (miRTarBase)","MEX3A","enriched","0.0060606","0.0060606","0.384805","2","hsa-miR-3184-5p; hsa-miR-92a-2-5p"
"Target genes (miRTarBase)","OTUD6A","enriched","0.0060606","0.0060606","0.384805","2","hsa-miR-4732-5p; hsa-miR-92a-2-5p"
"Target genes (miRTarBase)","RNF11","enriched","0.0060606","0.0060606","0.384805","2","hsa-miR-1307-3p; hsa-miR-92a-2-5p"
"Target genes (miRTarBase)","ZNF561","enriched","0.0060606","0.0060606","0.384805","2","hsa-miR-1307-3p; hsa-miR-92a-2-5p"
"GO Molecular function (miRPathDB)","RNA polymerase II regulatory region DNA binding","enriched","0.0060606","0.0060606","0.160606","2","hsa-miR-3184-5p; hsa-miR-92a-2-5p"
"GO Molecular function (miRPathDB)","RNA polymerase II regulatory region sequence-specific DNA binding","enriched","0.0060606","0.0060606","0.160606","2","hsa-miR-3184-5p; hsa-miR-92a-2-5p"
"GO Molecular function (miRPathDB)","histone methyltransferase activity H3-K4 specific","enriched","0.0060606","0.0060606","0.160606","2","hsa-miR-3184-5p; hsa-miR-92a-2-5p"
"GO Molecular function (miRPathDB)","proximal promoter sequence-specific DNA binding","enriched","0.0060606","0.0060606","0.160606","2","hsa-miR-3184-5p; hsa-miR-92a-2-5p"
"Interactions (NPInter)","AP2A1","enriched","0.0060606","0.0060606","0.200071","2","hsa-miR-3184-5p; hsa-miR-92a-2-5p"
"Interactions (NPInter)","BCL2L2-PABPN1","enriched","0.0060606","0.0060606","0.200071","2","hsa-miR-3184-5p; hsa-miR-92a-2-5p"
"Interactions (NPInter)","CALM3","enriched","0.0060606","0.0060606","0.200071","2","hsa-miR-3184-5p; hsa-miR-92a-2-5p"
"Interactions (NPInter)","LGMN","enriched","0.0060606","0.0060606","0.200071","2","hsa-miR-3184-5p; hsa-miR-92a-2-5p"
"Interactions (NPInter)","MYL3","enriched","0.0060606","0.0060606","0.200071","2","hsa-miR-3184-5p; hsa-miR-92a-2-5p"
"Interactions (NPInter)","PEA15","enriched","0.0060606","0.0060606","0.200071","2","hsa-miR-3184-5p; hsa-miR-92a-2-5p"
"Interactions (NPInter)","PHLDA3","enriched","0.0060606","0.0060606","0.200071","2","hsa-miR-3184-5p; hsa-miR-92a-2-5p"
"Interactions (NPInter)","SAMD4A","enriched","0.0060606","0.0060606","0.200071","2","hsa-miR-3184-5p; hsa-miR-92a-2-5p"
"Interactions (NPInter)","SCAF1","enriched","0.0060606","0.0060606","0.200071","2","hsa-miR-3184-5p; hsa-miR-92a-2-5p"
"Interactions (NPInter)","SLC25A4","enriched","0.0060606","0.0060606","0.200071","2","hsa-miR-3184-5p; hsa-miR-92a-2-5p"
"Interactions (NPInter)","SRCAP","enriched","0.0060606","0.0060606","0.200071","2","hsa-miR-3184-5p; hsa-miR-92a-2-5p"
"Annotations derived over miRTarBase (Gene Ontology)","DNA biosynthetic process GO0071897","enriched","0.0066691","0.0066691","0.456712","5","hsa-miR-3184-5p; hsa-miR-125a-3p; hsa-miR-4481; hsa-miR-575; hsa-miR-6088"
"Annotations derived over miRTarBase (Gene Ontology)","chemoattractant activity GO0042056","enriched","0.0066691","0.0066691","0.456712","5","hsa-miR-1307-3p; hsa-miR-125a-3p; hsa-miR-6869-5p; hsa-miR-1228-5p; hsa-miR-6088"
"Annotations derived over miRTarBase (Gene Ontology)","positive regulation of protein autophosphorylation GO0031954","enriched","0.0066691","0.0066691","0.456712","5","hsa-miR-3184-5p; hsa-miR-125a-3p; hsa-miR-6869-5p; hsa-miR-4481; hsa-miR-6088"
"Annotations derived over miRTarBase (Gene Ontology)","regulation of ATP-dependent activity GO0043462","enriched","0.0066691","0.0066691","0.456712","5","hsa-miR-4732-5p; hsa-miR-125a-3p; hsa-miR-4648; hsa-miR-6869-5p; hsa-miR-1233-5p"
"Annotations derived over miRTarBase (Gene Ontology)","response to organic substance GO0010033","enriched","0.0066691","0.0066691","0.456712","5","hsa-miR-3184-5p; hsa-miR-1307-3p; hsa-miR-125a-3p; hsa-miR-6869-5p; hsa-miR-6802-5p"
"Annotations derived over miRTarBase (Gene Ontology)","ribosomal small subunit assembly GO0000028","enriched","0.0066691","0.0066691","0.456712","5","hsa-miR-1307-3p; hsa-miR-4730; hsa-miR-8069; hsa-miR-1203; hsa-miR-6088"
"Target genes (miRTarBase)","SP110","enriched","0.0066691","0.0066691","0.384805","5","hsa-miR-1307-3p; hsa-miR-4732-5p; hsa-miR-92a-2-5p; hsa-miR-6869-5p; hsa-miR-6088"
"Annotations derived over miRTarBase (Gene Ontology)","mitochondrial intermembrane space GO0005758","enriched","0.0067181","0.0067181","0.456712","12","hsa-miR-3184-5p; hsa-miR-1307-3p; hsa-miR-4732-5p; hsa-miR-125a-3p; hsa-miR-6869-5p; hsa-miR-8069; hsa-miR-4783-3p; hsa-miR-575; hsa-miR-6088; hsa-miR-4675; hsa-miR-6131; hsa-miR-1343-3p"
"Annotations derived over miRTarBase (Gene Ontology)","autophagosome membrane docking GO0016240","enriched","0.0067183","0.0067183","0.456712","4","hsa-miR-1307-3p; hsa-miR-4732-5p; hsa-miR-4783-3p; hsa-miR-575"
"Annotations derived over miRTarBase (Gene Ontology)","cytosolic pattern recognition receptor signaling pathway GO0002753","enriched","0.0067183","0.0067183","0.456712","4","hsa-miR-1307-3p; hsa-miR-92a-2-5p; hsa-miR-6869-5p; hsa-miR-575"
"Annotations derived over miRTarBase (Gene Ontology)","small ribosomal subunit GO0015935","enriched","0.0067183","0.0067183","0.456712","4","hsa-miR-1307-3p; hsa-miR-4730; hsa-miR-125a-3p; hsa-miR-575"
"Target genes (miRTarBase)","MEF2D","enriched","0.0067183","0.0067183","0.384805","4","hsa-miR-92a-2-5p; hsa-miR-4648; hsa-miR-5572; hsa-miR-575"
"Interactions (NPInter)","TXNIP","enriched","0.0067183","0.0067183","0.200071","4","hsa-miR-3184-5p; hsa-miR-92a-2-5p; hsa-miR-125a-3p; hsa-miR-575"
"Pathways (KEGG)","Kaposi sarcoma-associated herpesvirus infection","enriched","0.006882","0.006882","0.338134","32","hsa-miR-3184-5p; hsa-miR-1307-3p; hsa-miR-4732-5p; hsa-miR-92a-2-5p; hsa-miR-125a-3p; hsa-miR-4648; hsa-miR-6869-5p; hsa-miR-1228-5p; hsa-miR-8069; hsa-miR-5572; hsa-miR-4481; hsa-miR-4783-3p; hsa-miR-575; hsa-miR-6787-5p; hsa-miR-6088; hsa-miR-6802-5p; hsa-miR-7110-5p; hsa-miR-92b-5p; hsa-miR-3180; hsa-miR-1233-5p; hsa-miR-6805-5p; hsa-miR-8073; hsa-miR-6857-5p; hsa-miR-128-1-5p; hsa-miR-3940-5p; hsa-miR-4675; hsa-miR-6131; hsa-miR-663a; hsa-miR-1238-5p; hsa-miR-1343-3p; hsa-miR-4276; hsa-miR-6746-5p"
"Annotations derived over miRTarBase (Gene Ontology)","DNA demethylation GO0080111","enriched","0.0069264","0.0069264","0.456712","4","hsa-miR-3184-5p; hsa-miR-1307-3p; hsa-miR-4732-5p; hsa-miR-6805-5p"
"Annotations derived over miRTarBase (Gene Ontology)","regulation of circadian rhythm GO0042752","depleted","0.0070471","0.0070471","0.456712","16","hsa-miR-125a-3p; hsa-miR-5572; hsa-miR-575; hsa-miR-1233-5p; hsa-miR-8073; hsa-miR-6857-5p; hsa-miR-128-1-5p; hsa-miR-3940-5p; hsa-miR-6131; hsa-miR-663a; hsa-miR-4787-3p; hsa-miR-4706; hsa-miR-1343-3p; hsa-miR-4687-5p; hsa-miR-6784-5p; hsa-miR-6746-5p"
