"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3"
"TMEM189","0.0405","0.224","0.169","2","hsa-miR-4472","hsa-miR-1253",""
"TMEM189-UBE2V1","0.0400","0.224","0.167","2","hsa-miR-4472","hsa-miR-1253",""
"TPRG1L","0.0117","0.224","0.0877","2","hsa-miR-548ah-5p","hsa-miR-6829-3p",""
"TXNIP","0.0908","0.224","0.263","2","hsa-miR-4439","hsa-miR-548ah-5p",""
"TXNRD3NB","0.00241","0.224","0.0392","2","hsa-miR-4472","hsa-miR-6829-3p",""
"UBE2V1","0.0395","0.224","0.166","2","hsa-miR-4472","hsa-miR-1253",""
"ZFP36","0.00581","0.224","0.0612","2","hsa-miR-4472","hsa-miR-6829-3p",""
"ZNF106","0.0117","0.224","0.0877","2","hsa-miR-4439","hsa-miR-6829-3p",""
"ZNF701","0.0159","0.224","0.103","2","hsa-miR-4439","hsa-miR-4472",""
"ZNF716","0.00790","0.224","0.0716","2","hsa-miR-6829-3p","hsa-miR-548ah-5p",""
"ZSWIM4","0.00241","0.224","0.0392","2","hsa-miR-1253","hsa-miR-6829-3p",""
