"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3","microRNA 4","microRNA 5"
"LLGL1","0.00815","0.389","0.144","3","hsa-miR-6769b-5p","hsa-miR-6756-5p","hsa-miR-6722-3p","",""
"LURAP1L","0.00764","0.389","0.0677","2","hsa-miR-4524b-5p","hsa-miR-7846-3p","","",""
"LY6E","0.0106","0.389","0.0800","2","hsa-miR-6756-5p","hsa-miR-6722-3p","","",""
"MCFD2","0.0177","0.389","0.191","3","hsa-miR-7846-3p","hsa-miR-5591-5p","hsa-miR-6735-5p","",""
"MDFI","0.0198","0.389","0.111","2","hsa-miR-6756-5p","hsa-miR-6769b-5p","","",""
"MDK","0.00607","0.389","0.129","3","hsa-miR-1229-3p","hsa-miR-6756-5p","hsa-miR-6769b-5p","",""
"MEX3A","0.0187","0.389","0.195","3","hsa-miR-6769b-5p","hsa-miR-6722-3p","hsa-miR-6735-5p","",""
"MFRP","0.0198","0.389","0.111","2","hsa-miR-6769b-5p","hsa-miR-6756-5p","","",""
"MLLT1","0.0163","0.389","0.257","4","hsa-miR-4741","hsa-miR-4749-5p","hsa-miR-6735-5p","hsa-miR-6756-5p",""
"MOB1A","0.0140","0.389","0.0923","2","hsa-miR-6857-3p","hsa-miR-6847-3p","","",""
"MPP2","0.00692","0.389","0.135","3","hsa-miR-1229-3p","hsa-miR-6756-5p","hsa-miR-6769b-5p","",""
"MTRNR2L5","0.0149","0.389","0.0954","2","hsa-miR-6722-3p","hsa-miR-4282","","",""
"MZT1","0.00834","0.389","0.0708","2","hsa-miR-4282","hsa-miR-412-3p","","",""
"NIF3L1","0.00834","0.389","0.0708","2","hsa-miR-5591-5p","hsa-miR-6722-3p","","",""
"NLRP6","0.00697","0.389","0.0646","2","hsa-miR-6769b-5p","hsa-miR-6756-5p","","",""
"NUCB1","0.0162","0.389","0.185","3","hsa-miR-6756-5p","hsa-miR-6769b-5p","hsa-miR-6857-3p","",""
"NUP62","0.00815","0.389","0.144","3","hsa-miR-6735-5p","hsa-miR-6756-5p","hsa-miR-6769b-5p","",""
"OTUD5","0.0149","0.389","0.0954","2","hsa-miR-6756-5p","hsa-miR-6722-3p","","",""
"OTUD7B","0.00398","0.389","0.172","4","hsa-miR-1229-3p","hsa-miR-7846-3p","hsa-miR-4282","hsa-miR-6847-3p",""
"P2RY2","0.00406","0.389","0.0492","2","hsa-miR-1229-3p","hsa-miR-412-3p","","",""
"PHYKPL","0.00572","0.389","0.0585","2","hsa-miR-6769b-5p","hsa-miR-6756-5p","","",""
"PKD1","0.0162","0.389","0.185","3","hsa-miR-412-3p","hsa-miR-5591-5p","hsa-miR-6722-3p","",""
"POC1B-GALNT4","0.0168","0.389","0.102","2","hsa-miR-6847-3p","hsa-miR-4282","","",""
"PPL","0.00764","0.389","0.0677","2","hsa-miR-412-3p","hsa-miR-1229-3p","","",""
"PPP6R1","0.0187","0.389","0.195","3","hsa-miR-1229-3p","hsa-miR-6769b-5p","hsa-miR-6756-5p","",""
"PRSS8","0.0220","0.389","0.117","2","hsa-miR-6735-5p","hsa-miR-6847-3p","","",""
"PTGES3L","0.00297","0.389","0.101","3","hsa-miR-4511","hsa-miR-6756-5p","hsa-miR-6769b-5p","",""
"RHEBP1","0.00834","0.389","0.0708","2","hsa-miR-4282","hsa-miR-6857-3p","","",""
"RNF40","0.0187","0.389","0.195","3","hsa-miR-1229-3p","hsa-miR-6756-5p","hsa-miR-6769b-5p","",""
"RPAP1","0.0220","0.389","0.117","2","hsa-miR-6722-3p","hsa-miR-6735-5p","","",""
"RPL22","0.0178","0.389","0.105","2","hsa-miR-5591-5p","hsa-miR-6857-3p","","",""
"RPP40","0.00458","0.389","0.0523","2","hsa-miR-4511","hsa-miR-4282","","",""
"SAA1","0.00906","0.389","0.0739","2","hsa-miR-6769b-5p","hsa-miR-6756-5p","","",""
"SCAMP4","0.00718","0.389","0.203","4","hsa-miR-4524b-5p","hsa-miR-4749-5p","hsa-miR-6756-5p","hsa-miR-6769b-5p",""
"SCD","0.0210","0.389","0.277","4","hsa-miR-1229-3p","hsa-miR-4511","hsa-miR-6857-3p","hsa-miR-5591-5p",""
"SETD1B","0.00118","0.389","0.174","5","hsa-miR-4524b-5p","hsa-miR-412-3p","hsa-miR-6756-5p","hsa-miR-5591-5p","hsa-miR-6769b-5p"
"SNX12","0.0122","0.389","0.0862","2","hsa-miR-1229-3p","hsa-miR-6735-5p","","",""
"SOWAHA","0.0140","0.389","0.0923","2","hsa-miR-6769b-5p","hsa-miR-6756-5p","","",""
"SOX12","0.0231","0.389","0.120","2","hsa-miR-6756-5p","hsa-miR-7846-3p","","",""
"TARDBP","0.00315","0.389","0.103","3","hsa-miR-1229-3p","hsa-miR-7846-3p","hsa-miR-4282","",""
"TESPA1","0.0209","0.389","0.114","2","hsa-miR-4741","hsa-miR-6756-5p","","",""
"TLN1","0.0187","0.389","0.195","3","hsa-miR-4282","hsa-miR-5591-5p","hsa-miR-6756-5p","",""
"YTHDF3","0.0114","0.389","0.0831","2","hsa-miR-6735-5p","hsa-miR-4282","","",""
"ZNF195","0.0168","0.389","0.102","2","hsa-miR-1229-3p","hsa-miR-412-3p","","",""
"ABCC5","0.0394","0.397","0.160","2","hsa-miR-1229-3p","hsa-miR-4741","","",""
"ABL1","0.0574","0.397","0.197","2","hsa-miR-4511","hsa-miR-5591-5p","","",""
"ACOX1","0.151","0.397","0.348","2","hsa-miR-6756-5p","hsa-miR-6769b-5p","","",""
"ACTB","0.139","0.397","0.329","2","hsa-miR-4282","hsa-miR-412-3p","","",""
"ADGRL1","0.108","0.397","0.283","2","hsa-miR-4741","hsa-miR-6756-5p","","",""
"AKT1S1","0.0466","0.397","0.175","2","hsa-miR-4741","hsa-miR-4749-5p","","",""
"ALDH6A1","0.0422","0.397","0.166","2","hsa-miR-4282","hsa-miR-6847-3p","","",""
"ANP32B","0.0795","0.397","0.237","2","hsa-miR-6769b-5p","hsa-miR-6756-5p","","",""
"ARHGAP18","0.0302","0.397","0.139","2","hsa-miR-4282","hsa-miR-6857-3p","","",""
"ARL6IP1","0.158","0.397","0.357","2","hsa-miR-1229-3p","hsa-miR-6735-5p","","",""
"ARL8A","0.0906","0.397","0.255","2","hsa-miR-4749-5p","hsa-miR-5591-5p","","",""
"ASNA1","0.0277","0.397","0.132","2","hsa-miR-6756-5p","hsa-miR-6769b-5p","","",""
"ATG9A","0.112","0.397","0.289","2","hsa-miR-6847-3p","hsa-miR-6756-5p","","",""
"ATXN7L3","0.0962","0.397","0.265","2","hsa-miR-412-3p","hsa-miR-6722-3p","","",""
"AVL9","0.0276","0.397","0.226","3","hsa-miR-5591-5p","hsa-miR-6847-3p","hsa-miR-4511","",""
"B4GALT1","0.0673","0.397","0.215","2","hsa-miR-6722-3p","hsa-miR-4511","","",""
"BAK1","0.0656","0.397","0.212","2","hsa-miR-5591-5p","hsa-miR-412-3p","","",""
"BARHL1","0.0327","0.397","0.145","2","hsa-miR-4741","hsa-miR-4749-5p","","",""
"BCL2L1","0.0647","0.397","0.316","3","hsa-miR-6722-3p","hsa-miR-6735-5p","hsa-miR-6756-5p","",""
"BCL2L12","0.0380","0.397","0.157","2","hsa-miR-6735-5p","hsa-miR-4524b-5p","","",""
"BCL7A","0.0725","0.397","0.225","2","hsa-miR-6769b-5p","hsa-miR-6756-5p","","",""
"BUB1","0.0623","0.397","0.206","2","hsa-miR-4282","hsa-miR-6847-3p","","",""
"C11orf58","0.0314","0.397","0.142","2","hsa-miR-6769b-5p","hsa-miR-6756-5p","","",""
"C12orf49","0.167","0.397","0.369","2","hsa-miR-4749-5p","hsa-miR-1229-3p","","",""
"C16orf58","0.160","0.397","0.360","2","hsa-miR-5591-5p","hsa-miR-6756-5p","","",""
"C3orf36","0.0606","0.397","0.203","2","hsa-miR-4282","hsa-miR-4749-5p","","",""
"C6orf223","0.0367","0.397","0.154","2","hsa-miR-6769b-5p","hsa-miR-6735-5p","","",""
"CACUL1","0.0496","0.397","0.182","2","hsa-miR-4524b-5p","hsa-miR-4282","","",""
"CANX","0.120","0.397","0.302","2","hsa-miR-4524b-5p","hsa-miR-6722-3p","","",""
"CASP16P","0.0906","0.397","0.255","2","hsa-miR-4282","hsa-miR-6756-5p","","",""
"CAVIN1","0.0832","0.397","0.243","2","hsa-miR-6735-5p","hsa-miR-1229-3p","","",""
"CBX6","0.0721","0.397","0.330","3","hsa-miR-5591-5p","hsa-miR-6735-5p","hsa-miR-6756-5p","",""
"CC2D1B","0.0253","0.397","0.126","2","hsa-miR-4749-5p","hsa-miR-6722-3p","","",""
"CCNT1","0.118","0.397","0.299","2","hsa-miR-6756-5p","hsa-miR-4524b-5p","","",""
"CDCA4","0.147","0.397","0.342","2","hsa-miR-4524b-5p","hsa-miR-6735-5p","","",""
"CDH6","0.0367","0.397","0.154","2","hsa-miR-6756-5p","hsa-miR-4511","","",""
"CDK9","0.0422","0.397","0.166","2","hsa-miR-4282","hsa-miR-7846-3p","","",""
"CEP97","0.167","0.397","0.369","2","hsa-miR-6756-5p","hsa-miR-6769b-5p","","",""
"CHAC1","0.0331","0.397","0.242","3","hsa-miR-4524b-5p","hsa-miR-6756-5p","hsa-miR-6857-3p","",""
"CLASP1","0.0574","0.397","0.197","2","hsa-miR-6722-3p","hsa-miR-6769b-5p","","",""
"CLIC5","0.0422","0.397","0.166","2","hsa-miR-4282","hsa-miR-412-3p","","",""
"COL1A1","0.118","0.397","0.299","2","hsa-miR-412-3p","hsa-miR-4741","","",""
"COL4A3BP","0.0962","0.397","0.265","2","hsa-miR-6769b-5p","hsa-miR-6756-5p","","",""
"COX6B1","0.0989","0.397","0.378","3","hsa-miR-4524b-5p","hsa-miR-4741","hsa-miR-6847-3p","",""
"CSDE1","0.0606","0.397","0.203","2","hsa-miR-1229-3p","hsa-miR-412-3p","","",""
"CSTF2","0.0623","0.397","0.206","2","hsa-miR-6756-5p","hsa-miR-4282","","",""
"DAB2IP","0.0265","0.397","0.129","2","hsa-miR-6756-5p","hsa-miR-6769b-5p","","",""
"DBN1","0.0496","0.397","0.182","2","hsa-miR-6857-3p","hsa-miR-4282","","",""
"DCAF7","0.0867","0.397","0.357","3","hsa-miR-1229-3p","hsa-miR-4282","hsa-miR-6769b-5p","",""
"DCP2","0.0527","0.397","0.188","2","hsa-miR-4282","hsa-miR-6857-3p","","",""
"DDX39B","0.0542","0.397","0.191","2","hsa-miR-6756-5p","hsa-miR-4741","","",""
"DDX3X","0.162","0.397","0.363","2","hsa-miR-4524b-5p","hsa-miR-4282","","",""
"DLC1","0.0850","0.397","0.246","2","hsa-miR-6722-3p","hsa-miR-412-3p","","",""
"DLGAP3","0.0394","0.397","0.160","2","hsa-miR-6756-5p","hsa-miR-4524b-5p","","",""
"DNLZ","0.0253","0.397","0.126","2","hsa-miR-6769b-5p","hsa-miR-6756-5p","","",""
"DOT1L","0.0314","0.397","0.142","2","hsa-miR-412-3p","hsa-miR-6756-5p","","",""
"EDEM3","0.0832","0.397","0.243","2","hsa-miR-412-3p","hsa-miR-4282","","",""
"EEF2","0.0850","0.397","0.246","2","hsa-miR-1229-3p","hsa-miR-4282","","",""
"EHD2","0.0542","0.397","0.191","2","hsa-miR-6847-3p","hsa-miR-7846-3p","","",""
"EIF5AL1","0.0310","0.397","0.236","3","hsa-miR-412-3p","hsa-miR-4741","hsa-miR-6735-5p","",""
"ENAH","0.108","0.397","0.283","2","hsa-miR-4282","hsa-miR-412-3p","","",""
"ERC1","0.0656","0.397","0.212","2","hsa-miR-1229-3p","hsa-miR-5591-5p","","",""
"ETNK1","0.102","0.397","0.274","2","hsa-miR-4282","hsa-miR-6847-3p","","",""
"EXTL3","0.0496","0.397","0.182","2","hsa-miR-5591-5p","hsa-miR-6847-3p","","",""
"FAM229B","0.0725","0.397","0.225","2","hsa-miR-4524b-5p","hsa-miR-1229-3p","","",""
"FBRS","0.122","0.397","0.305","2","hsa-miR-4741","hsa-miR-6857-3p","","",""
"FBXO45","0.0496","0.397","0.182","2","hsa-miR-6769b-5p","hsa-miR-6756-5p","","",""
"FGF19","0.0542","0.397","0.191","2","hsa-miR-4741","hsa-miR-6769b-5p","","",""
"FHL2","0.0981","0.397","0.268","2","hsa-miR-412-3p","hsa-miR-4282","","",""
"FIBCD1","0.0353","0.397","0.151","2","hsa-miR-412-3p","hsa-miR-5591-5p","","",""
"FOLR1","0.0656","0.397","0.212","2","hsa-miR-5591-5p","hsa-miR-6735-5p","","",""
"FOSL2","0.112","0.397","0.289","2","hsa-miR-6769b-5p","hsa-miR-6847-3p","","",""
"FRK","0.0400","0.397","0.261","3","hsa-miR-4282","hsa-miR-6735-5p","hsa-miR-6847-3p","",""
"FSCN1","0.122","0.397","0.305","2","hsa-miR-4749-5p","hsa-miR-6722-3p","","",""
"GDI1","0.0496","0.397","0.182","2","hsa-miR-6769b-5p","hsa-miR-6756-5p","","",""
"GFPT1","0.0962","0.397","0.265","2","hsa-miR-4282","hsa-miR-1229-3p","","",""
"GIGYF1","0.0610","0.397","0.386","4","hsa-miR-412-3p","hsa-miR-6735-5p","hsa-miR-6769b-5p","hsa-miR-6756-5p",""
"GJB1","0.0408","0.397","0.163","2","hsa-miR-4511","hsa-miR-6735-5p","","",""
"GLG1","0.102","0.397","0.274","2","hsa-miR-6722-3p","hsa-miR-5591-5p","","",""
"GOLGA8A","0.0265","0.397","0.129","2","hsa-miR-4282","hsa-miR-6857-3p","","",""
"GOLGA8B","0.0422","0.397","0.166","2","hsa-miR-4282","hsa-miR-6857-3p","","",""
"GRB2","0.116","0.397","0.295","2","hsa-miR-4749-5p","hsa-miR-4282","","",""
"HCFC1","0.0466","0.397","0.175","2","hsa-miR-6756-5p","hsa-miR-4749-5p","","",""
"HIST1H1E","0.0277","0.397","0.132","2","hsa-miR-6769b-5p","hsa-miR-6756-5p","","",""
"HLA-B","0.0289","0.397","0.135","2","hsa-miR-6756-5p","hsa-miR-4741","","",""
"HNRNPA1","0.0511","0.397","0.287","3","hsa-miR-1229-3p","hsa-miR-412-3p","hsa-miR-4524b-5p","",""
"HNRNPA3","0.0656","0.397","0.212","2","hsa-miR-1229-3p","hsa-miR-6722-3p","","",""
"HNRNPUL1","0.132","0.397","0.320","2","hsa-miR-1229-3p","hsa-miR-6722-3p","","",""
"HOXA3","0.0380","0.397","0.157","2","hsa-miR-4511","hsa-miR-6722-3p","","",""
"HOXC4","0.0422","0.397","0.166","2","hsa-miR-6722-3p","hsa-miR-6735-5p","","",""
"HSP90AB1","0.0742","0.397","0.228","2","hsa-miR-5591-5p","hsa-miR-6722-3p","","",""
"IL2RA","0.0367","0.397","0.154","2","hsa-miR-412-3p","hsa-miR-6857-3p","","",""
"INCENP","0.0481","0.397","0.179","2","hsa-miR-4282","hsa-miR-6847-3p","","",""
"INMT","0.0558","0.397","0.194","2","hsa-miR-6769b-5p","hsa-miR-6756-5p","","",""
"INO80D","0.0558","0.397","0.194","2","hsa-miR-1229-3p","hsa-miR-4511","","",""
"IPO7","0.0408","0.397","0.163","2","hsa-miR-1229-3p","hsa-miR-449c-3p","","",""
"KCNK3","0.0314","0.397","0.142","2","hsa-miR-6756-5p","hsa-miR-6722-3p","","",""
"KCTD15","0.0832","0.397","0.243","2","hsa-miR-1229-3p","hsa-miR-6857-3p","","",""
"KIF1C","0.147","0.397","0.342","2","hsa-miR-6847-3p","hsa-miR-412-3p","","",""
"KIF5B","0.112","0.397","0.289","2","hsa-miR-4282","hsa-miR-4524b-5p","","",""
"LDB1","0.0481","0.397","0.179","2","hsa-miR-6722-3p","hsa-miR-6735-5p","","",""
"LIMD1","0.0962","0.397","0.265","2","hsa-miR-6756-5p","hsa-miR-5591-5p","","",""
"LIMK1","0.0394","0.397","0.160","2","hsa-miR-6722-3p","hsa-miR-6756-5p","","",""
"LINC00346","0.0906","0.397","0.255","2","hsa-miR-5591-5p","hsa-miR-6847-3p","","",""
"LMNB1","0.0795","0.397","0.237","2","hsa-miR-449c-3p","hsa-miR-4282","","",""
"LMNB2","0.164","0.397","0.474","3","hsa-miR-6735-5p","hsa-miR-6756-5p","hsa-miR-6857-3p","",""
"LNPK","0.122","0.397","0.305","2","hsa-miR-6847-3p","hsa-miR-6722-3p","","",""
"LRIG2","0.151","0.397","0.348","2","hsa-miR-4282","hsa-miR-412-3p","","",""
"LRTOMT","0.0496","0.397","0.182","2","hsa-miR-6769b-5p","hsa-miR-6756-5p","","",""
"MAFK","0.0296","0.397","0.232","3","hsa-miR-4749-5p","hsa-miR-6722-3p","hsa-miR-6756-5p","",""
"MAGI3","0.0527","0.397","0.188","2","hsa-miR-6756-5p","hsa-miR-4282","","",""
"MAP3K2","0.116","0.397","0.295","2","hsa-miR-5591-5p","hsa-miR-4511","","",""
"MAPK8","0.0481","0.397","0.179","2","hsa-miR-4524b-5p","hsa-miR-4282","","",""
"MARK2","0.0639","0.397","0.209","2","hsa-miR-6722-3p","hsa-miR-6735-5p","","",""
"MBOAT2","0.0340","0.397","0.148","2","hsa-miR-4282","hsa-miR-5591-5p","","",""
"MED28","0.0312","0.397","0.312","4","hsa-miR-6847-3p","hsa-miR-6857-3p","hsa-miR-4741","hsa-miR-6769b-5p",""
"METTL14","0.0906","0.397","0.255","2","hsa-miR-6769b-5p","hsa-miR-6756-5p","","",""
"MIDN","0.0392","0.397","0.336","4","hsa-miR-6735-5p","hsa-miR-6722-3p","hsa-miR-6756-5p","hsa-miR-6769b-5p",""
"MRPS16","0.132","0.397","0.320","2","hsa-miR-4282","hsa-miR-6769b-5p","","",""
"MSN","0.141","0.397","0.332","2","hsa-miR-6756-5p","hsa-miR-5591-5p","","",""
"N4BP1","0.0590","0.397","0.200","2","hsa-miR-4524b-5p","hsa-miR-6735-5p","","",""
"NCKIPSD","0.0906","0.397","0.255","2","hsa-miR-5591-5p","hsa-miR-6847-3p","","",""
"NDUFB11","0.0353","0.397","0.151","2","hsa-miR-6722-3p","hsa-miR-6756-5p","","",""
"NFASC","0.0367","0.397","0.154","2","hsa-miR-5591-5p","hsa-miR-6722-3p","","",""
"NFE2L1","0.134","0.397","0.323","2","hsa-miR-6722-3p","hsa-miR-6735-5p","","",""
"NFIX","0.0433","0.397","0.269","3","hsa-miR-6769b-5p","hsa-miR-6756-5p","hsa-miR-4749-5p","",""
"NMNAT1","0.0408","0.397","0.163","2","hsa-miR-7846-3p","hsa-miR-6847-3p","","",""
"NUDT3","0.101","0.397","0.382","3","hsa-miR-4282","hsa-miR-6769b-5p","hsa-miR-6735-5p","",""
"NUP50","0.0742","0.397","0.228","2","hsa-miR-4282","hsa-miR-4524b-5p","","",""
"OTUB1","0.0302","0.397","0.139","2","hsa-miR-4749-5p","hsa-miR-6722-3p","","",""
"OTUD4","0.120","0.397","0.302","2","hsa-miR-4282","hsa-miR-4749-5p","","",""
"PABPN1","0.162","0.397","0.363","2","hsa-miR-6756-5p","hsa-miR-6769b-5p","","",""
"PACSIN1","0.0408","0.397","0.163","2","hsa-miR-6722-3p","hsa-miR-6735-5p","","",""
"PAK4","0.0481","0.397","0.179","2","hsa-miR-1229-3p","hsa-miR-4749-5p","","",""
"PARD6B","0.0369","0.397","0.252","3","hsa-miR-4282","hsa-miR-5591-5p","hsa-miR-4524b-5p","",""
"PARP15","0.132","0.397","0.320","2","hsa-miR-4282","hsa-miR-6847-3p","","",""
"PCBD2","0.0542","0.397","0.191","2","hsa-miR-4282","hsa-miR-6847-3p","","",""
"PCNP","0.0981","0.397","0.268","2","hsa-miR-6756-5p","hsa-miR-6857-3p","","",""
"PDE4D","0.0408","0.397","0.163","2","hsa-miR-4282","hsa-miR-6857-3p","","",""
"PHF19","0.118","0.397","0.299","2","hsa-miR-6756-5p","hsa-miR-4741","","",""
"PITPNM3","0.106","0.397","0.280","2","hsa-miR-6769b-5p","hsa-miR-6847-3p","","",""
"PLEKHA1","0.160","0.397","0.360","2","hsa-miR-4524b-5p","hsa-miR-6756-5p","","",""
"PLEKHG3","0.0496","0.397","0.182","2","hsa-miR-6756-5p","hsa-miR-6769b-5p","","",""
"PMEPA1","0.0496","0.397","0.182","2","hsa-miR-1229-3p","hsa-miR-6735-5p","","",""
"PMPCA","0.0777","0.397","0.234","2","hsa-miR-6769b-5p","hsa-miR-6756-5p","","",""
"PNPLA6","0.0656","0.397","0.212","2","hsa-miR-4524b-5p","hsa-miR-6756-5p","","",""
"PNRC2","0.0639","0.397","0.209","2","hsa-miR-4282","hsa-miR-4524b-5p","","",""
"POLR2E","0.0850","0.397","0.246","2","hsa-miR-6722-3p","hsa-miR-6769b-5p","","",""
"PPTC7","0.0868","0.397","0.249","2","hsa-miR-4749-5p","hsa-miR-6847-3p","","",""
"PRRT2","0.0690","0.397","0.219","2","hsa-miR-6756-5p","hsa-miR-4741","","",""
"PTPA","0.110","0.397","0.286","2","hsa-miR-4741","hsa-miR-5591-5p","","",""
"PTPN9","0.0289","0.397","0.135","2","hsa-miR-6756-5p","hsa-miR-6769b-5p","","",""
"RAB15","0.110","0.397","0.286","2","hsa-miR-6756-5p","hsa-miR-6722-3p","","",""
"RAB5B","0.0964","0.397","0.373","3","hsa-miR-6722-3p","hsa-miR-6756-5p","hsa-miR-6769b-5p","",""
"RALY","0.0777","0.397","0.234","2","hsa-miR-412-3p","hsa-miR-6847-3p","","",""
"RBM41","0.0981","0.397","0.268","2","hsa-miR-412-3p","hsa-miR-4282","","",""
"RCOR1","0.0314","0.397","0.142","2","hsa-miR-4282","hsa-miR-6735-5p","","",""
"REEP5","0.0451","0.397","0.172","2","hsa-miR-6735-5p","hsa-miR-1229-3p","","",""
"REXO1","0.124","0.397","0.308","2","hsa-miR-6756-5p","hsa-miR-6722-3p","","",""
"RHOA","0.106","0.397","0.280","2","hsa-miR-4741","hsa-miR-6769b-5p","","",""
"RHOB","0.108","0.397","0.283","2","hsa-miR-4282","hsa-miR-6756-5p","","",""
"RPL14","0.104","0.397","0.277","2","hsa-miR-6847-3p","hsa-miR-6769b-5p","","",""
"RPL41","0.114","0.397","0.292","2","hsa-miR-6769b-5p","hsa-miR-6735-5p","","",""
"SBF1","0.0924","0.397","0.259","2","hsa-miR-4741","hsa-miR-4749-5p","","",""
"SBNO1","0.0568","0.397","0.300","3","hsa-miR-4524b-5p","hsa-miR-6722-3p","hsa-miR-6735-5p","",""
"SCUBE3","0.0481","0.397","0.179","2","hsa-miR-6847-3p","hsa-miR-6857-3p","","",""
"SEC22C","0.0367","0.397","0.154","2","hsa-miR-6847-3p","hsa-miR-6756-5p","","",""
"SEC24A","0.0760","0.397","0.231","2","hsa-miR-4524b-5p","hsa-miR-412-3p","","",""
"SEC61A1","0.0481","0.397","0.179","2","hsa-miR-4524b-5p","hsa-miR-6735-5p","","",""
"SELENON","0.110","0.397","0.286","2","hsa-miR-412-3p","hsa-miR-6756-5p","","",""
"SENP2","0.0673","0.397","0.215","2","hsa-miR-4749-5p","hsa-miR-6756-5p","","",""
"SESTD1","0.0451","0.397","0.172","2","hsa-miR-6756-5p","hsa-miR-4524b-5p","","",""
"SETBP1","0.0277","0.397","0.132","2","hsa-miR-6769b-5p","hsa-miR-4282","","",""
