"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3","microRNA 4","microRNA 5","microRNA 6","microRNA 7"
"ALDOA","0.295","0.610","0.634","3","hsa-miR-4727-5p","hsa-miR-6734-3p","hsa-miR-1225-3p","","","",""
"ALOX15","0.0310","0.610","0.140","2","hsa-miR-139-3p","hsa-miR-6756-5p","","","","",""
"ANKRD33B","0.161","0.610","0.360","2","hsa-miR-1250-5p","hsa-miR-548ah-5p","","","","",""
"ANP32B","0.0399","0.610","0.257","3","hsa-miR-548h-5p","hsa-miR-6769b-5p","hsa-miR-6756-5p","","","",""
"AP2M1","0.150","0.610","0.345","2","hsa-miR-6756-5p","hsa-miR-6769b-5p","","","","",""
"APH1A","0.0790","0.610","0.235","2","hsa-miR-6769b-5p","hsa-miR-520d-3p","","","","",""
"APOH","0.0649","0.610","0.210","2","hsa-miR-4727-5p","hsa-miR-520d-3p","","","","",""
"ARIH1","0.227","0.610","0.450","2","hsa-miR-512-5p","hsa-miR-4803","","","","",""
"ARL5A","0.0820","0.610","0.240","2","hsa-miR-3975","hsa-miR-548ah-5p","","","","",""
"ASNA1","0.0676","0.610","0.215","2","hsa-miR-6756-5p","hsa-miR-6769b-5p","","","","",""
"ATP1B3","0.0572","0.610","0.297","3","hsa-miR-520d-3p","hsa-miR-922","hsa-miR-6735-5p","","","",""
"ATP5A1","0.00919","0.610","0.213","4","hsa-miR-139-3p","hsa-miR-6715b-5p","hsa-miR-5582-5p","hsa-miR-134-3p","","",""
"ATP5G3","0.245","0.610","0.475","2","hsa-miR-4803","hsa-miR-548h-5p","","","","",""
"ATXN2","0.110","0.610","0.285","2","hsa-miR-6769b-5p","hsa-miR-6756-5p","","","","",""
"ATXN7L3B","0.340","0.610","0.600","2","hsa-miR-6735-5p","hsa-miR-548ah-5p","","","","",""
"AVL9","0.0947","0.610","0.367","3","hsa-miR-922","hsa-miR-520d-3p","hsa-miR-4511","","","",""
"B2M","0.0704","0.610","0.220","2","hsa-miR-548ah-5p","hsa-miR-139-3p","","","","",""
"B4GALNT4","0.0106","0.610","0.0800","2","hsa-miR-6715b-5p","hsa-miR-5582-5p","","","","",""
"B4GALT1","0.154","0.610","0.350","2","hsa-miR-4511","hsa-miR-1225-3p","","","","",""
"BAZ2A","0.291","0.610","0.535","2","hsa-miR-3975","hsa-miR-512-5p","","","","",""
"BBC3","0.164","0.610","0.365","2","hsa-miR-1225-3p","hsa-miR-6769b-5p","","","","",""
"BBS5","0.133","0.610","0.320","2","hsa-miR-6734-3p","hsa-miR-6715b-5p","","","","",""
"BCAS4","0.238","0.610","0.465","2","hsa-miR-1225-3p","hsa-miR-520d-3p","","","","",""
"BCL2L1","0.197","0.610","0.514","3","hsa-miR-6735-5p","hsa-miR-6756-5p","hsa-miR-922","","","",""
"BCL2L2","0.116","0.610","0.295","2","hsa-miR-512-5p","hsa-miR-520d-3p","","","","",""
"BCL7A","0.164","0.610","0.365","2","hsa-miR-6769b-5p","hsa-miR-6756-5p","","","","",""
"BHMT2","0.143","0.610","0.335","2","hsa-miR-6715b-5p","hsa-miR-520d-3p","","","","",""
"BLCAP","0.147","0.610","0.340","2","hsa-miR-1225-3p","hsa-miR-520d-3p","","","","",""
"BMP2","0.0517","0.610","0.185","2","hsa-miR-6756-5p","hsa-miR-548ah-5p","","","","",""
"BRI3BP","0.351","0.610","0.615","2","hsa-miR-520d-3p","hsa-miR-548ah-5p","","","","",""
"BRIX1","0.249","0.610","0.480","2","hsa-miR-548h-5p","hsa-miR-512-5p","","","","",""
"BTG3","0.0880","0.610","0.250","2","hsa-miR-548ah-5p","hsa-miR-4511","","","","",""
"C10orf76","0.0412","0.610","0.260","3","hsa-miR-922","hsa-miR-6769b-5p","hsa-miR-6756-5p","","","",""
"C11orf54","0.124","0.610","0.413","3","hsa-miR-512-5p","hsa-miR-6734-3p","hsa-miR-520d-3p","","","",""
"C11orf58","0.0761","0.610","0.230","2","hsa-miR-6769b-5p","hsa-miR-6756-5p","","","","",""
"C15orf40","0.249","0.610","0.480","2","hsa-miR-520d-3p","hsa-miR-4727-5p","","","","",""
"C16orf58","0.0271","0.610","0.293","4","hsa-miR-1205","hsa-miR-5582-5p","hsa-miR-6715b-5p","hsa-miR-6756-5p","","",""
"C17orf51","0.00260","0.610","0.0400","2","hsa-miR-6715b-5p","hsa-miR-5582-5p","","","","",""
"C18orf32","0.0653","0.610","0.313","3","hsa-miR-4803","hsa-miR-520d-3p","hsa-miR-548ah-5p","","","",""
"C2orf48","0.0157","0.610","0.180","3","hsa-miR-6734-3p","hsa-miR-1225-3p","hsa-miR-512-5p","","","",""
"C3orf33","0.0290","0.610","0.135","2","hsa-miR-4803","hsa-miR-512-5p","","","","",""
"C6orf223","0.0128","0.610","0.167","3","hsa-miR-6769b-5p","hsa-miR-6734-3p","hsa-miR-6735-5p","","","",""
"C9orf40","0.0517","0.610","0.185","2","hsa-miR-520d-3p","hsa-miR-548ah-5p","","","","",""
"CALR","0.313","0.610","0.565","2","hsa-miR-1225-3p","hsa-miR-6756-5p","","","","",""
"CAPN15","0.291","0.610","0.535","2","hsa-miR-6756-5p","hsa-miR-548ah-5p","","","","",""
"CAPRIN2","0.123","0.610","0.305","2","hsa-miR-520d-3p","hsa-miR-548ah-5p","","","","",""
"CAPS","0.0164","0.610","0.100","2","hsa-miR-6735-5p","hsa-miR-6756-5p","","","","",""
"CAPZA1","0.347","0.610","0.610","2","hsa-miR-4516","hsa-miR-548h-5p","","","","",""
"CAPZA2","0.0947","0.610","0.367","3","hsa-miR-6715b-5p","hsa-miR-5582-5p","hsa-miR-520d-3p","","","",""
"CASKIN2","0.0251","0.610","0.125","2","hsa-miR-6756-5p","hsa-miR-6769b-5p","","","","",""
"CAVIN1","0.186","0.610","0.395","2","hsa-miR-6735-5p","hsa-miR-520d-3p","","","","",""
"CCDC198","0.0108","0.610","0.157","3","hsa-miR-520d-3p","hsa-miR-512-5p","hsa-miR-548ah-5p","","","",""
"CCDC59","0.0420","0.610","0.165","2","hsa-miR-6715b-5p","hsa-miR-5582-5p","","","","",""
"CCDC71L","0.190","0.610","0.400","2","hsa-miR-139-3p","hsa-miR-548ah-5p","","","","",""
"CCDC80","0.150","0.610","0.450","3","hsa-miR-4516","hsa-miR-6715b-5p","hsa-miR-548h-5p","","","",""
"CCL16","0.130","0.610","0.315","2","hsa-miR-4516","hsa-miR-6715b-5p","","","","",""
"CCNL1","0.0232","0.610","0.120","2","hsa-miR-6735-5p","hsa-miR-4803","","","","",""
"CCNT1","0.0704","0.610","0.323","3","hsa-miR-3975","hsa-miR-6756-5p","hsa-miR-4516","","","",""
"CCNY","0.0353","0.610","0.150","2","hsa-miR-1225-3p","hsa-miR-922","","","","",""
"CCSAP","0.0820","0.610","0.240","2","hsa-miR-6756-5p","hsa-miR-520d-3p","","","","",""
"CD276","0.0569","0.610","0.195","2","hsa-miR-6756-5p","hsa-miR-6769b-5p","","","","",""
"CDC14B","0.287","0.610","0.530","2","hsa-miR-4516","hsa-miR-512-5p","","","","",""
"CDC25A","0.0880","0.610","0.250","2","hsa-miR-512-5p","hsa-miR-4803","","","","",""
"CDC42SE1","0.0733","0.610","0.225","2","hsa-miR-4516","hsa-miR-6735-5p","","","","",""
"CDH6","0.0128","0.610","0.167","3","hsa-miR-6756-5p","hsa-miR-512-5p","hsa-miR-4511","","","",""
"CELSR3","0.157","0.610","0.355","2","hsa-miR-548h-5p","hsa-miR-6769b-5p","","","","",""
"CENPN","0.172","0.610","0.375","2","hsa-miR-1225-3p","hsa-miR-512-5p","","","","",""
"CEP97","0.115","0.610","0.400","3","hsa-miR-548ah-5p","hsa-miR-6756-5p","hsa-miR-6769b-5p","","","",""
"CFAP73","0.00332","0.610","0.0450","2","hsa-miR-1205","hsa-miR-6715b-5p","","","","",""
"CHAC1","0.332","0.610","0.590","2","hsa-miR-6756-5p","hsa-miR-4516","","","","",""
"CHEK2","0.0399","0.610","0.257","3","hsa-miR-4803","hsa-miR-548h-5p","hsa-miR-5582-5p","","","",""
"CHSY1","0.0790","0.610","0.235","2","hsa-miR-548ah-5p","hsa-miR-5582-5p","","","","",""
"CKS2","0.0569","0.610","0.195","2","hsa-miR-6715b-5p","hsa-miR-4511","","","","",""
"CLASP1","0.133","0.610","0.320","2","hsa-miR-1205","hsa-miR-6769b-5p","","","","",""
"CLDN12","0.253","0.610","0.485","2","hsa-miR-548h-5p","hsa-miR-3975","","","","",""
"CLIC4","0.253","0.610","0.485","2","hsa-miR-548ah-5p","hsa-miR-6715b-5p","","","","",""
"CLIP4","0.143","0.610","0.335","2","hsa-miR-520d-3p","hsa-miR-922","","","","",""
"CLPB","0.138","0.610","0.434","3","hsa-miR-512-5p","hsa-miR-6756-5p","hsa-miR-6769b-5p","","","",""
"CLPX","0.0420","0.610","0.165","2","hsa-miR-4511","hsa-miR-6715b-5p","","","","",""
"CMTM4","0.110","0.610","0.285","2","hsa-miR-4516","hsa-miR-922","","","","",""
"COL1A1","0.253","0.610","0.485","2","hsa-miR-29b-1-5p","hsa-miR-548ah-5p","","","","",""
"COL4A3BP","0.212","0.610","0.430","2","hsa-miR-6769b-5p","hsa-miR-6756-5p","","","","",""
"COL5A1","0.0375","0.610","0.155","2","hsa-miR-4516","hsa-miR-29b-1-5p","","","","",""
"COX19","0.179","0.610","0.385","2","hsa-miR-520d-3p","hsa-miR-548ah-5p","","","","",""
"COX6C","0.0375","0.610","0.155","2","hsa-miR-4511","hsa-miR-520d-3p","","","","",""
"CPS1","0.107","0.610","0.280","2","hsa-miR-4727-5p","hsa-miR-548ah-5p","","","","",""
"CREBZF","0.201","0.610","0.415","2","hsa-miR-5582-5p","hsa-miR-29b-1-5p","","","","",""
"CRK","0.234","0.610","0.560","3","hsa-miR-548ah-5p","hsa-miR-520d-3p","hsa-miR-512-5p","","","",""
"CRTAP","0.143","0.610","0.335","2","hsa-miR-6815-5p","hsa-miR-134-3p","","","","",""
"CRY2","0.0215","0.610","0.273","4","hsa-miR-6734-3p","hsa-miR-3975","hsa-miR-4474-3p","hsa-miR-5582-5p","","",""
"CSNK2A1","0.101","0.610","0.377","3","hsa-miR-3975","hsa-miR-1205","hsa-miR-6734-3p","","","",""
"CTDNEP1","0.190","0.610","0.400","2","hsa-miR-6756-5p","hsa-miR-6735-5p","","","","",""
"CTNNB1","0.0820","0.610","0.240","2","hsa-miR-512-5p","hsa-miR-4474-3p","","","","",""
"CUL3","0.0247","0.610","0.213","3","hsa-miR-1225-3p","hsa-miR-520d-3p","hsa-miR-6734-3p","","","",""
"CXorf38","0.133","0.610","0.320","2","hsa-miR-512-5p","hsa-miR-520d-3p","","","","",""
"CYP11A1","0.0180","0.610","0.105","2","hsa-miR-6769b-5p","hsa-miR-6756-5p","","","","",""
"CYP2W1","0.107","0.610","0.280","2","hsa-miR-6756-5p","hsa-miR-134-3p","","","","",""
"CYP4A11","0.0569","0.610","0.195","2","hsa-miR-6769b-5p","hsa-miR-6756-5p","","","","",""
"CYP4A22","0.0517","0.610","0.185","2","hsa-miR-6769b-5p","hsa-miR-6756-5p","","","","",""
"DAB2IP","0.0649","0.610","0.210","2","hsa-miR-6756-5p","hsa-miR-6769b-5p","","","","",""
"DARS","0.113","0.610","0.290","2","hsa-miR-6715b-5p","hsa-miR-5582-5p","","","","",""
"DAZAP2","0.343","0.610","0.605","2","hsa-miR-520d-3p","hsa-miR-4516","","","","",""
"DCAF7","0.251","0.610","0.580","3","hsa-miR-4516","hsa-miR-6769b-5p","hsa-miR-6715b-5p","","","",""
"DCP2","0.123","0.610","0.305","2","hsa-miR-4727-5p","hsa-miR-512-5p","","","","",""
"DCTN6","0.317","0.610","0.570","2","hsa-miR-520d-3p","hsa-miR-512-5p","","","","",""
"DDA1","0.227","0.610","0.450","2","hsa-miR-6756-5p","hsa-miR-4474-3p","","","","",""
"DDI2","0.260","0.610","0.495","2","hsa-miR-5582-5p","hsa-miR-520d-3p","","","","",""
"DESI1","0.120","0.610","0.300","2","hsa-miR-6815-5p","hsa-miR-548ah-5p","","","","",""
"DNAH10OS","0.130","0.610","0.315","2","hsa-miR-3975","hsa-miR-1225-3p","","","","",""
"DNAH9","0.126","0.610","0.310","2","hsa-miR-6715b-5p","hsa-miR-5582-5p","","","","",""
"DNAJC10","0.129","0.610","0.493","4","hsa-miR-4516","hsa-miR-520d-3p","hsa-miR-548ah-5p","hsa-miR-1225-3p","","",""
"DNAJC28","0.317","0.610","0.570","2","hsa-miR-4803","hsa-miR-548ah-5p","","","","",""
"DNLZ","0.0622","0.610","0.205","2","hsa-miR-6769b-5p","hsa-miR-6756-5p","","","","",""
"DNTTIP2","0.306","0.610","0.555","2","hsa-miR-4803","hsa-miR-548ah-5p","","","","",""
"DOT1L","0.0761","0.610","0.230","2","hsa-miR-512-5p","hsa-miR-6756-5p","","","","",""
"DPP9","0.0880","0.610","0.250","2","hsa-miR-5582-5p","hsa-miR-520d-3p","","","","",""
"DSN1","0.169","0.610","0.477","3","hsa-miR-6715b-5p","hsa-miR-6756-5p","hsa-miR-3975","","","",""
"DUSP2","0.0324","0.610","0.237","3","hsa-miR-922","hsa-miR-548ah-5p","hsa-miR-520d-3p","","","",""
"EGF","0.0214","0.610","0.115","2","hsa-miR-3975","hsa-miR-1225-3p","","","","",""
"EIF2S3","0.216","0.610","0.435","2","hsa-miR-6815-5p","hsa-miR-4474-3p","","","","",""
"EIF3H","0.0375","0.610","0.155","2","hsa-miR-5582-5p","hsa-miR-548ah-5p","","","","",""
"EIF4H","0.253","0.610","0.485","2","hsa-miR-548ah-5p","hsa-miR-134-3p","","","","",""
"EIF5AL1","0.321","0.610","0.575","2","hsa-miR-4516","hsa-miR-6735-5p","","","","",""
"ELAVL2","0.140","0.610","0.330","2","hsa-miR-548ah-5p","hsa-miR-520d-3p","","","","",""
"ELFN2","0.0145","0.610","0.243","4","hsa-miR-1225-3p","hsa-miR-1250-5p","hsa-miR-512-5p","hsa-miR-922","","",""
"EMC3","0.157","0.610","0.355","2","hsa-miR-6715b-5p","hsa-miR-5582-5p","","","","",""
"EN2","0.276","0.610","0.515","2","hsa-miR-922","hsa-miR-4516","","","","",""
"ENPP5","0.103","0.610","0.380","3","hsa-miR-1205","hsa-miR-548ah-5p","hsa-miR-548h-5p","","","",""
"EPS15L1","0.0569","0.610","0.195","2","hsa-miR-4803","hsa-miR-548ah-5p","","","","",""
"ERGIC2","0.257","0.610","0.490","2","hsa-miR-520d-3p","hsa-miR-548ah-5p","","","","",""
"ETNK1","0.223","0.610","0.445","2","hsa-miR-548h-5p","hsa-miR-520d-3p","","","","",""
"EXTL3","0.116","0.610","0.295","2","hsa-miR-4474-3p","hsa-miR-134-3p","","","","",""
"F2RL3","0.0312","0.610","0.233","3","hsa-miR-1205","hsa-miR-520d-3p","hsa-miR-548ah-5p","","","",""
"FAM102B","0.0360","0.610","0.247","3","hsa-miR-520d-3p","hsa-miR-139-3p","hsa-miR-5582-5p","","","",""
"FAM109A","0.0444","0.610","0.170","2","hsa-miR-5582-5p","hsa-miR-6715b-5p","","","","",""
"FAM129B","0.234","0.610","0.460","2","hsa-miR-4516","hsa-miR-922","","","","",""
"FAM19A3","0.00814","0.610","0.0700","2","hsa-miR-134-3p","hsa-miR-4511","","","","",""
"FAM212B","0.0165","0.610","0.183","3","hsa-miR-5582-5p","hsa-miR-6715b-5p","hsa-miR-6734-3p","","","",""
"FAM53C","0.150","0.610","0.345","2","hsa-miR-548h-5p","hsa-miR-1225-3p","","","","",""
"FAM83C","0.0164","0.610","0.100","2","hsa-miR-512-5p","hsa-miR-1225-3p","","","","",""
"FAM83F","0.120","0.610","0.407","3","hsa-miR-6734-3p","hsa-miR-6769b-5p","hsa-miR-6756-5p","","","",""
"FAM83H","0.0114","0.610","0.160","3","hsa-miR-4516","hsa-miR-5582-5p","hsa-miR-139-3p","","","",""
"FAM9C","0.133","0.610","0.320","2","hsa-miR-520d-3p","hsa-miR-6734-3p","","","","",""
"FBRS","0.260","0.610","0.495","2","hsa-miR-4727-5p","hsa-miR-6734-3p","","","","",""
"FBXO45","0.116","0.610","0.295","2","hsa-miR-6769b-5p","hsa-miR-6756-5p","","","","",""
"FEM1A","0.191","0.610","0.573","4","hsa-miR-922","hsa-miR-520d-3p","hsa-miR-6769b-5p","hsa-miR-1205","","",""
"FEM1C","0.0987","0.610","0.373","3","hsa-miR-548h-5p","hsa-miR-520d-3p","hsa-miR-548ah-5p","","","",""
"FGF5","0.0353","0.610","0.150","2","hsa-miR-6815-5p","hsa-miR-4511","","","","",""
"FGF7","0.0164","0.610","0.100","2","hsa-miR-4727-5p","hsa-miR-520d-3p","","","","",""
"FGFR1OP","0.0335","0.610","0.313","4","hsa-miR-548ah-5p","hsa-miR-1205","hsa-miR-6715b-5p","hsa-miR-6734-3p","","",""
"FLCN","0.179","0.610","0.385","2","hsa-miR-5582-5p","hsa-miR-6715b-5p","","","","",""
"FLVCR1","0.219","0.610","0.440","2","hsa-miR-4803","hsa-miR-6715b-5p","","","","",""
"FOLR1","0.0301","0.610","0.230","3","hsa-miR-134-3p","hsa-miR-29b-1-5p","hsa-miR-6735-5p","","","",""
"FOXC1","0.0869","0.610","0.353","3","hsa-miR-548ah-5p","hsa-miR-139-3p","hsa-miR-6715b-5p","","","",""
"FOXJ2","0.113","0.610","0.290","2","hsa-miR-520d-3p","hsa-miR-548ah-5p","","","","",""
"FOXK1","0.110","0.610","0.518","5","hsa-miR-548h-5p","hsa-miR-520d-3p","hsa-miR-134-3p","hsa-miR-548ah-5p","hsa-miR-6715b-5p","",""
"FOXK2","0.204","0.610","0.420","2","hsa-miR-520d-3p","hsa-miR-548ah-5p","","","","",""
"FOXRED2","0.175","0.610","0.380","2","hsa-miR-6769b-5p","hsa-miR-520d-3p","","","","",""
"FTSJ3","0.0420","0.610","0.165","2","hsa-miR-6769b-5p","hsa-miR-6756-5p","","","","",""
"FYCO1","0.0649","0.610","0.210","2","hsa-miR-4511","hsa-miR-4803","","","","",""
"FZD6","0.321","0.610","0.575","2","hsa-miR-6756-5p","hsa-miR-520d-3p","","","","",""
"FZD9","0.0301","0.610","0.230","3","hsa-miR-548ah-5p","hsa-miR-520d-3p","hsa-miR-922","","","",""
"FZR1","0.0209","0.610","0.200","3","hsa-miR-6735-5p","hsa-miR-6756-5p","hsa-miR-6769b-5p","","","",""
"G3BP2","0.201","0.610","0.415","2","hsa-miR-922","hsa-miR-6734-3p","","","","",""
"GALNT17","0.00702","0.610","0.0650","2","hsa-miR-6715b-5p","hsa-miR-5582-5p","","","","",""
"GATA6","0.343","0.610","0.690","3","hsa-miR-4516","hsa-miR-548ah-5p","hsa-miR-520d-3p","","","",""
"GCC1","0.0251","0.610","0.125","2","hsa-miR-5582-5p","hsa-miR-1205","","","","",""
"GDF11","0.0941","0.610","0.260","2","hsa-miR-520d-3p","hsa-miR-548ah-5p","","","","",""
"GDF15","0.0214","0.610","0.115","2","hsa-miR-1225-3p","hsa-miR-6735-5p","","","","",""
"GDF5OS","0.123","0.610","0.305","2","hsa-miR-139-3p","hsa-miR-520d-3p","","","","",""
"GDI1","0.116","0.610","0.295","2","hsa-miR-6769b-5p","hsa-miR-6756-5p","","","","",""
"GDPD5","0.0375","0.610","0.155","2","hsa-miR-1205","hsa-miR-922","","","","",""
"GIGYF1","0.00950","0.610","0.359","7","hsa-miR-6734-3p","hsa-miR-4516","hsa-miR-6735-5p","hsa-miR-6769b-5p","hsa-miR-548ah-5p","hsa-miR-520d-3p","hsa-miR-6756-5p"
"GINS4","0.0761","0.610","0.230","2","hsa-miR-520d-3p","hsa-miR-548ah-5p","","","","",""
"GJB1","0.0972","0.610","0.265","2","hsa-miR-4511","hsa-miR-6735-5p","","","","",""
"GLIS3","0.0148","0.610","0.0950","2","hsa-miR-548ah-5p","hsa-miR-6734-3p","","","","",""
"GLO1","0.00897","0.610","0.266","5","hsa-miR-6734-3p","hsa-miR-6815-5p","hsa-miR-4803","hsa-miR-548ah-5p","hsa-miR-520d-3p","",""
"GLP2R","0.216","0.610","0.435","2","hsa-miR-6715b-5p","hsa-miR-5582-5p","","","","",""
"GMDS","0.0310","0.610","0.140","2","hsa-miR-5582-5p","hsa-miR-4803","","","","",""
"GMEB2","0.0492","0.610","0.180","2","hsa-miR-1250-5p","hsa-miR-6734-3p","","","","",""
"GOLGA2","0.110","0.610","0.285","2","hsa-miR-6715b-5p","hsa-miR-520d-3p","","","","",""
"GOLGA8J","0.0214","0.610","0.115","2","hsa-miR-4516","hsa-miR-5582-5p","","","","",""
"GPR137B","0.100","0.610","0.270","2","hsa-miR-548ah-5p","hsa-miR-520d-3p","","","","",""
"GPR155","0.242","0.610","0.470","2","hsa-miR-520d-3p","hsa-miR-29b-1-5p","","","","",""
"GPR173","0.0820","0.610","0.240","2","hsa-miR-6769b-5p","hsa-miR-4516","","","","",""
"GPR27","0.0820","0.610","0.240","2","hsa-miR-922","hsa-miR-548h-5p","","","","",""
"GPR37L1","0.0468","0.610","0.175","2","hsa-miR-1225-3p","hsa-miR-512-5p","","","","",""
"GPR75","0.219","0.610","0.440","2","hsa-miR-1225-3p","hsa-miR-512-5p","","","","",""
"GPRC5A","0.343","0.610","0.605","2","hsa-miR-6734-3p","hsa-miR-6815-5p","","","","",""
"GPRC5B","0.0649","0.610","0.210","2","hsa-miR-512-5p","hsa-miR-1225-3p","","","","",""
"GRB10","0.0880","0.610","0.250","2","hsa-miR-548ah-5p","hsa-miR-520d-3p","","","","",""
"GSTO2","0.0420","0.610","0.165","2","hsa-miR-6734-3p","hsa-miR-1205","","","","",""
"HAS2","0.161","0.610","0.360","2","hsa-miR-4511","hsa-miR-520d-3p","","","","",""
"HAUS8","0.0468","0.610","0.175","2","hsa-miR-548ah-5p","hsa-miR-520d-3p","","","","",""
"HIPK3","0.0972","0.610","0.265","2","hsa-miR-548ah-5p","hsa-miR-378c","","","","",""
"HIST1H1E","0.0676","0.610","0.215","2","hsa-miR-6769b-5p","hsa-miR-6756-5p","","","","",""
"HIST1H2AE","0.0375","0.610","0.155","2","hsa-miR-6769b-5p","hsa-miR-6756-5p","","","","",""
"HIST1H2AG","0.137","0.610","0.325","2","hsa-miR-6756-5p","hsa-miR-512-5p","","","","",""
"HIST1H2AH","0.161","0.610","0.360","2","hsa-miR-29b-1-5p","hsa-miR-139-3p","","","","",""
"HIST1H2BD","0.310","0.610","0.560","2","hsa-miR-548ah-5p","hsa-miR-548h-5p","","","","",""
"HIST2H2BE","0.00687","0.610","0.133","3","hsa-miR-6769b-5p","hsa-miR-6756-5p","hsa-miR-6815-5p","","","",""
"HIST3H3","0.0331","0.610","0.145","2","hsa-miR-6769b-5p","hsa-miR-6756-5p","","","","",""
"HMBOX1","0.193","0.610","0.405","2","hsa-miR-520d-3p","hsa-miR-548h-5p","","","","",""
"HMGN2","0.0757","0.610","0.408","4","hsa-miR-548h-5p","hsa-miR-4516","hsa-miR-6715b-5p","hsa-miR-6815-5p","","",""
"HNRNPC","0.204","0.610","0.420","2","hsa-miR-4511","hsa-miR-139-3p","","","","",""
"HNRNPUL1","0.279","0.610","0.520","2","hsa-miR-134-3p","hsa-miR-520d-3p","","","","",""
"HOOK3","0.275","0.610","0.610","3","hsa-miR-520d-3p","hsa-miR-512-5p","hsa-miR-134-3p","","","",""
"HOXA13","0.306","0.610","0.555","2","hsa-miR-1205","hsa-miR-548h-5p","","","","",""
"HOXA3","0.0910","0.610","0.255","2","hsa-miR-4511","hsa-miR-4516","","","","",""
"HOXA7","0.0704","0.610","0.220","2","hsa-miR-6756-5p","hsa-miR-6769b-5p","","","","",""
"HOXB3","0.143","0.610","0.335","2","hsa-miR-520d-3p","hsa-miR-5582-5p","","","","",""
"HSP90B1","0.190","0.610","0.400","2","hsa-miR-512-5p","hsa-miR-4516","","","","",""
"HSPA4","0.0733","0.610","0.225","2","hsa-miR-6734-3p","hsa-miR-6715b-5p","","","","",""
"HSPA8","0.212","0.610","0.430","2","hsa-miR-6734-3p","hsa-miR-548ah-5p","","","","",""
"ICA1L","0.204","0.610","0.420","2","hsa-miR-520d-3p","hsa-miR-4727-5p","","","","",""
"IDH3A","0.0197","0.610","0.110","2","hsa-miR-4516","hsa-miR-922","","","","",""
"IGF1R","0.225","0.610","0.613","4","hsa-miR-548ah-5p","hsa-miR-520d-3p","hsa-miR-4511","hsa-miR-4727-5p","","",""
"INMT","0.130","0.610","0.315","2","hsa-miR-6769b-5p","hsa-miR-6756-5p","","","","",""
"INO80D","0.0237","0.610","0.210","3","hsa-miR-4511","hsa-miR-520d-3p","hsa-miR-5582-5p","","","",""
"IPP","0.283","0.610","0.525","2","hsa-miR-922","hsa-miR-520d-3p","","","","",""
"IRAK2","0.0880","0.610","0.250","2","hsa-miR-512-5p","hsa-miR-548ah-5p","","","","",""
"ISCA2","0.133","0.610","0.320","2","hsa-miR-4727-5p","hsa-miR-520d-3p","","","","",""
"ITGA2","0.291","0.610","0.535","2","hsa-miR-6756-5p","hsa-miR-520d-3p","","","","",""
"ITGA3","0.268","0.610","0.505","2","hsa-miR-1225-3p","hsa-miR-5582-5p","","","","",""
"KBTBD6","0.164","0.610","0.365","2","hsa-miR-4474-3p","hsa-miR-520d-3p","","","","",""
"KCNH1","0.0310","0.610","0.140","2","hsa-miR-6735-5p","hsa-miR-6715b-5p","","","","",""
"KCNH2","0.0850","0.610","0.245","2","hsa-miR-1205","hsa-miR-4516","","","","",""
"KCNJ6","0.227","0.610","0.450","2","hsa-miR-378c","hsa-miR-6734-3p","","","","",""
