Score,SuperPath Name,# SuperPath Total Genes,# SuperPath Matched Genes,Matched Genes (Symbols),Evidence URL
20.05,RNA Polymerase I Promoter Opening,555,59,"POLR1B, DR1, B2M, GTF2H5, CCNB1, POLR2E, TNKS1BP1, GATAD2A, MYC, MYH11, HCFC1, NCOR2, SFN, TP53, AGO2, KMT2A, KMT2B, KMT2D, CBX3, RBBP5, EP300, KPNA1, USP9X, APH1A, YAP1, H2AC12, OGT, PYGO2, TAL1, H2AC8, H2AX, YWHAE, H2BC15, H2BC21, YWHAZ, YY1, H2BC5, SUV39H1, SUZ12, JUN, H3-3B, H3-4, RRN3, PABPN1, ACTB, KDM5A, PAGR1, KDM6B, RHOA, EED, TET3, SIN3A, H4C3, HOXD3, CDK4, POLA2, SAA1, ARID5B, PYGO1",https://pathcards.genecards.org/card/rna_polymerase_i_promoter_opening
19.93,Toll Comparative Pathway,101,20,"MAP2K3, MAP2K4, TAB1, ELAVL1, TIRAP, IRAK3, TP53, EP300, GNB2, FOS, FOSL1, FOSL2, JUN, JUNB, JUND, CXCL8, TRAF6, IFNGR2, NFKBIB, CALM2",https://pathcards.genecards.org/card/toll_comparative_pathway
19.39,Cellular Senescence,195,29,"MAP2K3, MAP2K4, MAP2K7, MDM4, UBE2D1, TP53, COMMD3-BMI1, MAPKAPK5, H1-4, H2AC8, FOS, H2AX, E2F3, H2BC15, H2BC21, H2BC5, SUZ12, JUN, H3-3B, H3-4, CXCL8, TERF2, KDM6B, EED, FZR1, BMI1, H4C3, CDK4, CDK6",https://pathcards.genecards.org/card/cellular_senescence
18.83,MAPK Signaling: Oxidative Stress,79,17,"MAP2K1, MAP2K3, MAP2K4, MAP2K7, SFN, TP53, USP9X, RPS6KA4, FOS, YWHAE, FOSL1, YWHAZ, JUN, JUNB, JUND, TRAF6, CAMK2A",https://pathcards.genecards.org/card/mapk_signaling_oxidative_stress
18.74,Signaling By Rho GTPases,722,70,"NHS, NCKAP1, RANBP2, PFN1, WDR91, DIAPH1, LRRC1, SPC25, HSP90AA1, CENPA, CENPN, MYH11, SFN, RND2, ABI2, DBN1, CEP97, OCRL, FAM135A, USP9X, FMNL3, LETM1, CTTN, H2AC8, H2AX, SH3PXD2A, YWHAE, H2BC15, H2BC21, RCC2, YWHAZ, H2BC5, H3-3B, DDX39B, TAOK1, PLEKHG3, TRA2B, ACTB, SHMT2, DOCK11, PIN1, CLASP1, RHOA, PAK2, CDC37, VAV3, HNRNPC, TPM3, PEAK1, CLIP1, TFRC, EFHD2, ARHGAP15, ARHGAP18, ARHGAP29, ESYT1, ARHGAP31, ARHGAP39, WASF2, GRB2, RAC3, RACGAP1, CALM2, ARHGEF18, H4C3, KIF2C, ZWINT, ARL13B, PAK4, CSK",https://pathcards.genecards.org/card/signaling_by_rho_gtpases
18.73,Signaling By Receptor Tyrosine Kinases,532,56,"MAP2K1, NCKAP1, STAT5A, AXL, PTPN1, RANBP10, TIAL1, DIAPH1, POLR2E, VEGFA, PTPN3, MDK, MYC, PTPN6, HSP90AA1, FGF1, PTPRF, FGF19, FGF9, FGFR4, ABI2, AP2M1, EP300, CHEK1, TRIB1, PXN, APH1A, YAP1, YES1, FOS, BCAR1, FOSL1, GIPC1, SPRY1, JUNB, JUND, ACTB, PDGFRA, RHOA, PAK2, CDC37, VAV3, RICTOR, NAB2, ATP6V0E1, TGFA, ATP6V1F, SIN3A, WASF2, GRB2, THBS2, PTBP1, CALM2, LAMC1, MEF2D, CSK",https://pathcards.genecards.org/card/signaling_by_receptor_tyrosine_kinases
18.16,TCR Signaling (Qiagen),238,32,"MAP2K1, MAP2K3, MAP2K4, MAP2K7, STAT5A, CACNG8, RASGRP3, SLC9A3, SLC9A4, FOS, FOSL1, FOSL2, CD3D, CD3E, JUN, JUNB, JUND, ACTB, PDGFRA, RHOA, PAK2, CACNA1A, VAV3, NFAT5, TRAT1, NFKBIB, GRB2, RAC3, CALM2, CAMK2A, PAK4, CSK",https://pathcards.genecards.org/card/tcr_signaling_(qiagen)
17.79,Regulation of TP53 Activity,362,42,"LRPPRC, TOPBP1, GTF2H5, CCNB1, POLR2E, TNKS1BP1, GATAD2A, MDM4, BRPF1, ZNF385A, TACO1, BTG2, CCNK, TAF1, SFN, DNA2, TP53, AGO2, EP300, MAPKAPK5, CHEK1, CHEK2, BBC3, COX6B1, COX8A, FOS, HUS1, YWHAE, PRELID1, DDIT4, E2F4, YWHAZ, RFC5, JUN, GPI, PIN1, RICTOR, G6PD, RPA1, MLH1, DYRK2, CDK9",https://pathcards.genecards.org/card/regulation_of_tp53_activity
17.36,Signaling By TGFB Family Members,124,21,"MYC, CCNK, NCOR2, UBE2D1, BAMBI, EP300, LTBP4, USP9X, SMAD2, SMAD5, E2F4, JUNB, RHOA, PMEPA1, BMPR1A, ARHGEF18, SKI, AMH, INHBA, CDK9, ITGB8",https://pathcards.genecards.org/card/signaling_by_tgfb_family_members
17.27,Sertoli-Sertoli Cell Junction Dynamics,393,44,"MAP2K1, MAP2K3, MAP2K4, NPR1, MAP2K7, MYH11, TJAP1, CSTF1, CSTF2, RND2, STX4, NECTIN1, NECTIN3, PXN, CTTN, FOS, BCAR1, FOSL1, FOSL2, RAB11B, MYO10, JUN, JUNB, JUND, MYO1F, ACTB, ACTN4, RAB14, PRKG2, RHOA, PAK2, LLGL1, CLDN12, CLDN16, RAB8B, RAC3, TUBD1, CDK4, RAB17, RAB15, RAB5B, PAK4, ITGB8, RAB32",https://pathcards.genecards.org/card/sertoli-sertoli_cell_junction_dynamics
17.21,"Tacrolimus/Cyclosporine Pathway, Pharmacodynamics",44,12,"MAP2K3, MAP2K4, MAP2K7, REL, FOS, FOSL1, FOSL2, JUN, JUNB, JUND, MAF, MAFK",https://pathcards.genecards.org/card/tacrolimuscyclosporine_pathway_pharmacodynamics
16.93,IL-1 Family Signaling Pathways,158,24,"MAP2K1, MAP2K3, MAP2K4, MAP2K7, TAB1, PTPN6, TIRAP, IRAK3, UBE2V1, EP300, REL, FOS, FOSL1, FOSL2, JUN, JUNB, JUND, CXCL8, TRAF6, RHOA, TGFA, NFKBIB, GRB2, MKNK2",https://pathcards.genecards.org/card/il-1_family_signaling_pathways
16.66,GPCR Pathway,712,67,"MAP2K1, MAP2K3, PPP1R10, MAP2K4, MAP2K7, STAT5A, HDGF, AXL, GTF2H5, CCNB1, CCNF, VEGFA, MDK, MYC, HSP90AA1, FGF1, FGF19, TIMP1, TAF1, FGF9, NCOR2, TLN1, PHB2, FGFR4, TP53, RND2, GNAI2, EP300, KPNA1, LTBP4, TNPO1, GNB2, GNG12, TBRG1, GFER, PXN, EPHB4, SMAD2, UHMK1, FOS, BCAR1, E2F3, E2F4, RCAN1, DDR2, CD3D, CD3E, JUN, PLD3, ACTB, PDGFRA, RHOA, PAK2, IL2RA, NFAT5, TGFA, NFKBIB, SIN3A, GRB2, RAC3, CALM2, CAMK2A, CDK4, MMP11, PAK4, CSK, ITGB8",https://pathcards.genecards.org/card/gpcr_pathway
16.58,MAPK Family Signaling Cascades,588,58,"MAP2K1, STAT5A, RANBP2, CCNB1, POLR2E, PTPN3, MYC, FGB, PTPN6, HSP90AA1, FGF1, FGF19, DAB2IP, FGF9, NCOR2, TLN1, HHAT, RASGRP3, FGFR4, TP53, AGO2, CEP43, EP300, MAPKAPK5, AGTRAP, KREMEN1, GFRA1, APH1A, SMAD2, YES1, ATIC, MSN, RBX1, RCE1, JUN, JUNB, MYO18A, ACTB, AKT1S1, PDGFRA, SEM1, SHOC2, PRKG2, PPFIBP1, PAK2, CDC37, IL2RA, TPM3, PEA15, RICTOR, TGFA, TRAT1, IL6ST, GRB2, CALM2, CAMK2A, MPRIP, CSK",https://pathcards.genecards.org/card/mapk_family_signaling_cascades
16.41,Assembly of The Pre-replicative Complex,314,37,"DNA2, UBE2D1, AGO2, KMT2A, KMT2B, KMT2D, COMMD3-BMI1, RBBP5, EP300, KPNA1, PCGF5, YAP1, TAL1, TCF3, H2AC8, H2AX, RBX1, H2BC15, H2BC21, GINS3, H2BC5, RFC5, H3-3B, SEM1, IL2RA, CDC6, SIN3A, RYBP, FZR1, BMI1, RPA1, MCM8, H4C3, POLA2, POLD3, PAX5, CDK6",https://pathcards.genecards.org/card/assembly_of_the_pre-replicative_complex
16.37,Regulation of Actin Cytoskeleton,151,23,"MAP2K1, NCKAP1, PFN1, DIAPH1, FGF1, F2R, FGF19, FGF9, FGFR4, ABI2, GNG12, PXN, BCAR1, MSN, ACTB, RDX, PDGFRA, RHOA, PAK2, WASF2, RAC3, PAK4, CSK",https://pathcards.genecards.org/card/regulation_of_actin_cytoskeleton
16.14,Cell Cycle Checkpoints,292,35,"RANBP2, TOPBP1, WEE1, CCNB1, MDM4, SPC25, ZNF385A, CENPA, CENPN, SFN, DNA2, UBE2D1, TP53, CHEK1, CHEK2, H2AX, HUS1, YWHAE, H2BC15, H2BC21, RCC2, YWHAZ, H2BC5, RFC5, H3-4, TAOK1, SEM1, CLASP1, CDC6, CLIP1, RPA1, MCM8, H4C3, KIF2C, ZWINT",https://pathcards.genecards.org/card/cell_cycle_checkpoints
15.94,TGF-Beta Pathway,653,62,"MAP2K1, MAP2K3, MAP2K4, MAP2K7, STAT5A, HDGF, AXL, EIF4EBP1, EIF4EBP2, TAB1, VEGFA, SAR1B, MDK, MYC, FGF1, F2R, FGF19, TIMP1, FGF9, FGFR4, UBE2I, TP53, ELP2, MAPK8IP2, EP300, KPNA1, MAPKAPK5, LTBP4, DUSP14, GNB2, GNG12, TBRG1, GFER, XIAP, RPS6KA4, PXN, EPHB4, SMAD2, SUMO1, TCF3, SMAD5, FOS, RBX1, DDR2, JUN, H3-3B, H3-4, CXCL8, PDGFRA, RHOA, PAK2, IL2RA, IFNGR2, TGFA, NFKBIB, GRB2, RAC3, MKNK2, SKI, CCL16, PAK4, ITGB8",https://pathcards.genecards.org/card/tgf-beta_pathway
15.89,Class I MHC Mediated Antigen Processing and Presentation,854,76,"CAPZA1, CAPZA2, FBXL4, FEM1A, FEM1C, B2M, FBXO32, CCNF, SAR1B, FGB, PTPN6, KLHL11, KLHL21, TIRAP, RASGRP3, UBE2D1, UBE2D2, UBE2G1, UBE2H, UBE2Q1, ASB16, UBE2V1, COPS7B, RBBP5, AP2M1, UBE2Z, RBCK1, PVR, DCAF16, STX4, DCAF7, CD1D, DCTN6, UBXN7, RNF19B, DDA1, HLA-A, HLA-B, HLA-C, YES1, DDB1, RNF217, REL, TRIM37, CD300E, RBX1, YWHAZ, CD3D, CD3E, ICOSLG, ASB6, ULBP3, ACTR1A, ORAI2, SEM1, TRAF6, PAK2, LILRB2, SIGLEC12, ZNRF2, CLEC2D, RICTOR, TRAT1, NFKBIB, FZR1, PEDS1-UBE2V1, GRB2, RACGAP1, CALM2, CALR, KIF2C, KIF3A, ARIH2, FBXL13, FBXL18, CSK",https://pathcards.genecards.org/card/class_i_mhc_mediated_antigen_processing_and_presentation
15.89,Chromatin Organization,270,33,"DR1, GATAD2A, BRPF1, SETD7, HCFC1, USP22, NCOR2, KMT2A, ELP2, KMT2B, KMT2D, RBBP5, EP300, H2AC12, OGT, ATF7IP, H2AC8, H2AX, H2BC15, H2BC21, H2BC5, SUV39H1, SUZ12, ACTB, PADI1, KAT6B, KDM5A, KDM6B, EED, DOT1L, H4C3, CDK4, ARID5B",https://pathcards.genecards.org/card/chromatin_organization
15.88,Toll-Like Receptor Signaling Pathways,133,21,"MAP2K3, MAP2K4, MAP2K7, TAB1, TIRAP, IRAK3, UBE2V1, NLRP12, RNF216, REL, FOS, FOSL1, FOSL2, JUN, JUNB, JUND, CXCL8, TRAF3, TRAF6, PANX1, NFKBIB",https://pathcards.genecards.org/card/toll-like_receptor_signaling_pathways
15.79,Cytoskeletal Signaling,308,36,"PFN1, DIAPH1, TLN1, RASGRP3, DBN1, AP2M1, PVR, USP9X, PXN, CTTN, MSN, ERC1, RCC2, RAB11B, PLEC, ACTB, SRCIN1, ACTN4, FSCN1, RDX, RHOA, PAK2, LLGL1, CDC37, VAV3, CLIP1, TFRC, LMNB2, ARHGAP31, WASF2, RAC3, VDAC2, LPP, KIF3A, MPRIP, PAK4",https://pathcards.genecards.org/card/cytoskeletal_signaling
15.77,Homology Directed Repair,346,39,"INO80B, TOPBP1, GTF2H5, WEE1, CCNB1, POLR2E, SFN, DNA2, UBE2I, TP53, COPS7B, EP300, GEN1, CHEK1, CHEK2, XRCC3, XRCC6, APEX1, DDB1, SUMO1, H2AC8, H2AX, HUS1, YWHAE, RBX1, H2BC15, H2BC21, YWHAZ, YY1, H2BC5, RFC5, H3-4, ACTB, TERF2, SEM1, RPA1, H4C3, MLH1, POLD3",https://pathcards.genecards.org/card/homology_directed_repair
15.53,PDGFR-beta Signaling Pathway,146,22,"MAP2K1, MAP2K4, NCKAP1, STAT5A, PTPN1, MYC, SFN, ZFP36, USP6NL, CTTN, FOS, BCAR1, YWHAZ, JUN, JUND, ACTN4, PIN1, RHOA, RICTOR, WASF2, GRB2, CSK",https://pathcards.genecards.org/card/pdgfr-beta_signaling_pathway
15.38,Innate Immune System,2054,153,"MUC17, MAP2K1, MAP2K3, CAPZA1, CAPZA2, MAP2K4, FBXL4, NCKAP1, TNIP2, TXLNA, MAP2K7, STAT5A, ARL8A, PTPN1, RANBP2, TXNIP, NUP62, TAB1, B2M, FBXO32, CFHR5, DIAPH1, POLR2E, CCNF, CEBPD, VEGFA, SAR1B, MYC, FGB, PTPN6, PTPN9, GBP6, HSP90AA1, KLHL11, TIMP1, HSPA1B, KLHL21, TIRAP, CGAS, RASGRP3, LEAP2, IRAK3, UBE2D1, UBE2D2, UBE2G1, UBE2H, UBE2I, UBE2Q1, TP53, ABI2, ASB16, GDI2, UBE2V1, AP2M1, EP300, KPNA1, UBE2Z, RBCK1, PVR, PKM, STX4, CD1D, TMT1A, TRIM10, GZMM, XRCC6, DCTN6, RNF19B, PRCP, HLA-A, HLA-B, HLA-C, YES1, REG3A, RNF216, RNF217, REL, TRIM37, SUMO1, FOS, CD300E, QSOX1, MSN, RBX1, YWHAZ, PDE12, SURF4, MYO10, CD3D, CD3E, JUN, JUNB, PLD3, ICOSLG, CXCL8, CD47, PSAP, IL17RA, ACTB, ASB6, SVIP, GPI, ULBP3, TARBP2, ACTR1A, RAB14, FSCN1, ORAI2, ERP44, TRAF3, SEM1, PAFAH1B2, PIN1, TRAF6, RHOA, PAK2, LILRB2, IL2RA, VAV3, PDZD11, IFNGR2, PANX1, SIGLEC12, ZNRF2, IFNLR1, ALOX15, CLEC2D, RICTOR, ATP6V0E1, TRAT1, ATP6V1F, NFKBIB, WASF2, FZR1, PEDS1-UBE2V1, IL6ST, ATP8B4, GRB2, RACGAP1, CLU, CALM2, CALR, CMTM6, CAMK2A, KIF2C, KIF3A, SAA1, ARIH2, FBXL13, FBXL18, AMPD3, RAB5B, CSK",https://pathcards.genecards.org/card/innate_immune_system
