Score,Name,Disease categories,# Total Genes,# Matched Genes,Matched Genes (Symbols),Evidence URL,Genetic Associations,Matched Genes for Genetic Associations,Diferentially Expressed Genes in Tissue Samples,Genes Matched to Differentially Expressed Genes
4.90,Kidney Disease,"Nephrological diseases, Blood diseases, Genetic diseases",317,6,"CXCL8, CCN2, CDH1, GREM1, TNF, SMAD3",https://www.malacards.org/card/kidney_disease,,,,
4.84,Inflammatory Bowel Disease,"Blood diseases, Gastrointestinal diseases, Immune diseases, Infectious diseases, Genetic diseases, Rare diseases",422,6,"MMP2, REG3A, SLC9A3, CXCL8, CDH1, TNF",https://www.malacards.org/card/inflammatory_bowel_disease,,,,
4.84,Autism Spectrum Disorder,"Neuronal diseases, Mental diseases, Genetic diseases, Rare diseases",683,6,"NOTCH2NLA, ADCYAP1, BMERB1, TCF4, SNAP25, TNF",https://www.malacards.org/card/autism_spectrum_disorder,Causative mutation,TCF4,,
4.78,Sudden Infant Death Syndrome,"Metabolic diseases, Genetic diseases, Rare diseases",114,5,"CXCL8, ADCYAP1, SLC9A3, TNF, SNAP25",https://www.malacards.org/card/sudden_infant_death_syndrome,,,,
4.77,Osteoporosis,"Bone diseases, Genetic diseases, Rare diseases, Fetal diseases",408,6,"CXCL8, IGFBP5, TNF, SMAD3, SOX6, SOX9",https://www.malacards.org/card/osteoporosis,,,,
4.77,Asthma,"Mental diseases, Respiratory diseases, Genetic diseases, Rare diseases",388,5,"TNF, CXCL8, CCN2, ADORA2B, PTAFR",https://www.malacards.org/card/asthma,"Causative mutation, Risk factor",TNF,,
4.57,Leptospirosis,"Infectious diseases, Rare diseases",26,4,"TNF, CXCL8, CDH1, SLC9A3",https://www.malacards.org/card/leptospirosis,,,,
4.57,Ulcerative Colitis,"Gastrointestinal diseases, Immune diseases",151,5,"TNF, SMAD3, CXCL8, IGFBP5, REG3A",https://www.malacards.org/card/ulcerative_colitis,,,Colon,"CXCL8, IGFBP5, REG3A"
4.56,Esophageal Cancer,"Gastrointestinal diseases, Cancer diseases, Genetic diseases, Rare diseases",345,6,"CDH2, MMP2, CXCL8, CDH1, TNF, SNAI1",https://www.malacards.org/card/esophageal_cancer,,,,
4.54,Schizophrenia,"Neuronal diseases, Mental diseases, Ear diseases, Genetic diseases",557,6,"CXCL8, GABRB1, ADCYAP1, TNF, SNAP25, TCF4",https://www.malacards.org/card/schizophrenia,,,,
4.54,Diabetes Mellitus,"Endocrine diseases, Immune diseases, Metabolic diseases, Genetic diseases, Rare diseases",615,6,"TNF, SMAD3, CXCL8, CCN2, MMP2, IGFBP5",https://www.malacards.org/card/diabetes_mellitus,,,,
4.49,Aortic Aneurysm,"Blood diseases, Cardiovascular diseases",93,4,"CXCL8, MMP2, TNF, SMAD3",https://www.malacards.org/card/aortic_aneurysm,Causative mutation,SMAD3,,
4.42,Autism,"Neuronal diseases, Mental diseases, Genetic diseases, Rare diseases",544,6,"GABRB1, NOTCH2NLA, SNAP25, SOX6, TCF4, TNF",https://www.malacards.org/card/autism,,,,
4.28,Aortic Valve Disease 1,"Blood diseases, Respiratory diseases, Cardiovascular diseases, Genetic diseases, Rare diseases, Fetal diseases",151,5,"SOX9, SNAI1, SMAD3, MMP2, CCN2",https://www.malacards.org/card/aortic_valve_disease_1,,,,
4.22,Gingival Overgrowth,"Gastrointestinal diseases, Oral diseases",44,4,"TNF, MMP2, CXCL8, CCN2",https://www.malacards.org/card/gingival_overgrowth,,,,
4.18,Tongue Carcinoma,"Gastrointestinal diseases, Oral diseases, Smell/Taste diseases, Cancer diseases, Rare diseases",57,4,"MMP2, CDH2, CDH1, SNAI1",https://www.malacards.org/card/tongue_carcinoma,,,,
4.12,Heart Disease,"Mental diseases, Respiratory diseases, Cardiovascular diseases, Genetic diseases, Rare diseases, Fetal diseases",314,5,"CCN2, CXCL8, MMP2, CDH2, TNF",https://www.malacards.org/card/heart_disease,,,,
4.09,Gastroenteritis,"Gastrointestinal diseases, Infectious diseases",49,4,"TNF, MMP2, CXCL8, CDH1",https://www.malacards.org/card/gastroenteritis,,,,
4.09,Meningioma,"Neuronal diseases, Endocrine diseases, Cancer diseases, Genetic diseases, Rare diseases",207,5,"CXCL8, CDH1, CDH2, MMP2, TNF",https://www.malacards.org/card/meningioma,,,,
3.99,Cataract,"Neuronal diseases, Nephrological diseases, Oral diseases, Mental diseases, Eye diseases, Metabolic diseases, Genetic diseases, Rare diseases, Fetal diseases",295,5,"TNF, CXCL8, CDH1, MMP2, CDH2",https://www.malacards.org/card/cataract,,,,
3.98,Aortic Dissection,Cardiovascular diseases,56,4,"TNF, SMAD3, MMP2, CCN2",https://www.malacards.org/card/aortic_dissection,,,,
3.95,Bladder Cancer,"Nephrological diseases, Blood diseases, Cancer diseases, Genetic diseases, Rare diseases",594,5,"TNF, CDH2, MMP2, CDH1, CXCL8",https://www.malacards.org/card/bladder_cancer,,,,
3.88,Myocardial Infarction,"Cardiovascular diseases, Genetic diseases",371,5,"MMP2, CXCL8, CCN2, TNF, SMAD3",https://www.malacards.org/card/myocardial_infarction,,,,
3.85,Retinal Detachment,"Neuronal diseases, Eye diseases",66,4,"MMP2, CXCL8, CCN2, TNF",https://www.malacards.org/card/retinal_detachment,,,,
3.85,Type 2 Diabetes Mellitus,"Endocrine diseases, Immune diseases, Metabolic diseases, Genetic diseases, Rare diseases",675,5,"TNF, CXCL8, CCN2, NOTCH2NLA, REG3A",https://www.malacards.org/card/type_2_diabetes_mellitus,,,"Pancreas, Skeletal Muscle","CCN2, NOTCH2NLA, REG3A"
3.84,Laryngeal Squamous Cell Carcinoma,"Skin diseases, Oral diseases, Respiratory diseases, Cancer diseases, Rare diseases",90,4,"TNF, CXCL8, CDH1, MMP2",https://www.malacards.org/card/laryngeal_squamous_cell_carcinoma,,,,
3.84,Hypertension,"Nephrological diseases, Blood diseases, Reproductive diseases, Mental diseases, Cardiovascular diseases, Cancer diseases, Genetic diseases, Rare diseases",343,5,"CCN2, CXCL8, MMP2, TNF, SMAD3",https://www.malacards.org/card/hypertension,,,,
3.84,Skin Disease,Skin diseases,427,5,"TNF, CXCL8, CDH1, CCN2, MMP2",https://www.malacards.org/card/skin_disease,,,,
3.84,Endometriosis,"Nephrological diseases, Gastrointestinal diseases, Reproductive diseases",621,6,"CXCL8, MMP2, NOTCH2NLA, JUNB, IGFBP5, ZNF91",https://www.malacards.org/card/endometriosis,,,Uterus,"IGFBP5, JUNB, MMP2, NOTCH2NLA, ZNF91"
3.77,Stereotypic Movement Disorder,"Mental diseases, Eye diseases",43,2,"SNAP25, TCF4",https://www.malacards.org/card/stereotypic_movement_disorder,Causative mutation,"SNAP25, TCF4",,
3.72,Suppurative Periapical Periodontitis,"Gastrointestinal diseases, Oral diseases",17,3,"TNF, CXCL8, MMP2",https://www.malacards.org/card/suppurative_periapical_periodontitis,,,,
3.70,Migraine With Or Without Aura 1,"Neuronal diseases, Blood diseases, Eye diseases, Genetic diseases",230,4,"CXCL8, ADCYAP1, SNAP25, TNF",https://www.malacards.org/card/migraine_with_or_without_aura_1,Genetic tests,TNF,,
3.69,Primary Ciliary Dyskinesia,"Reproductive diseases, Respiratory diseases, Ear diseases, Genetic diseases, Rare diseases, Fetal diseases",362,4,"CCDC39, DNAH17, CXCL8, TNF",https://www.malacards.org/card/primary_ciliary_dyskinesia,Causative mutation,CCDC39,,
3.69,Eye Disease,"Neuronal diseases, Eye diseases, Infectious diseases",491,5,"TNF, MMP2, CDH1, CCN2, CXCL8",https://www.malacards.org/card/eye_disease,,,,
3.69,Alzheimer'S Disease,"Neuronal diseases, Oral diseases, Mental diseases, Cardiovascular diseases, Genetic diseases, Rare diseases",544,4,"PRNP, ADCYAP1, TNF, SNAP25",https://www.malacards.org/card/alzheimers_disease,Risk factor,TNF,,
3.68,"Glaucoma, Primary Open Angle","Neuronal diseases, Eye diseases, Genetic diseases, Rare diseases",91,4,"TBK1, TNF, CCN2, MMP2",https://www.malacards.org/card/glaucoma_primary_open_angle,,,,
3.68,Diarrhea,"Gastrointestinal diseases, Infectious diseases, Genetic diseases, Rare diseases",111,4,"SLC9A3, CXCL8, CDH1, TNF",https://www.malacards.org/card/diarrhea,,,,
3.64,Melanoma,"Skin diseases, Eye diseases, Cancer diseases, Rare diseases",548,4,"CXCL8, CDH1, MMP2, TNF",https://www.malacards.org/card/melanoma,Risk factor,CXCL8,,
3.63,Loeys-Dietz Syndrome,"Bone diseases, Skin diseases, Eye diseases, Cardiovascular diseases, Genetic diseases, Rare diseases, Fetal diseases",81,3,"SMAD3, CCN2, MMP2",https://www.malacards.org/card/loeys_dietz_syndrome,Causative mutation,SMAD3,,
3.63,Rheumatoid Arthritis,"Bone diseases, Immune diseases, Respiratory diseases, Genetic diseases, Rare diseases",674,6,"TNF, SMAD3, SOX9, CXCL8, JUNB, MMP2",https://www.malacards.org/card/rheumatoid_arthritis,,,Cartilage,"JUNB, SMAD3, SOX9"
3.61,Dilated Cardiomyopathy,"Bone diseases, Neuronal diseases, Immune diseases, Muscle diseases, Cardiovascular diseases, Ear diseases, Cancer diseases, Genetic diseases, Rare diseases",544,5,"MMP2, CDH2, CCN2, TNF, SMAD3",https://www.malacards.org/card/dilated_cardiomyopathy,,,,
3.57,Craniosynostosis,"Bone diseases, Neuronal diseases, Mental diseases, Eye diseases, Genetic diseases, Rare diseases, Fetal diseases",124,4,"SNAI1, SMAD3, SOX9, SOX6",https://www.malacards.org/card/craniosynostosis,,,,
3.57,Colon Adenocarcinoma,"Gastrointestinal diseases, Cancer diseases",135,4,"TNF, SMAD3, SOX9, CDH1",https://www.malacards.org/card/colon_adenocarcinoma,,,,
3.55,Renal Cell Carcinoma,"Nephrological diseases, Cancer diseases, Rare diseases",225,4,"CDH1, MMP2, EGLN1, CDH2",https://www.malacards.org/card/renal_cell_carcinoma,,,,
3.53,Anxiety,"Neuronal diseases, Mental diseases, Genetic diseases",146,4,"TNF, PTAFR, ADCYAP1, CXCL8",https://www.malacards.org/card/anxiety,,,,
3.53,Amyotrophic Lateral Sclerosis,"Neuronal diseases, Oral diseases, Mental diseases, Muscle diseases, Respiratory diseases, Genetic diseases, Rare diseases",571,4,"PRNP, TNF, SNAP25, TBK1",https://www.malacards.org/card/amyotrophic_lateral_sclerosis,"Causative mutation, Risk factor",TBK1,,
3.51,Lung Cancer Susceptibility 3,"Respiratory diseases, Cancer diseases, Rare diseases",674,5,"CDH1, CCN2, MMP2, CDH2, GREM1",https://www.malacards.org/card/lung_cancer_susceptibility_3,,,Lung,GREM1
3.49,Breast Adenocarcinoma,"Reproductive diseases, Cancer diseases, Rare diseases",134,4,"MMP2, CDH1, TNF, SNAI1",https://www.malacards.org/card/breast_adenocarcinoma,,,,
3.49,Squamous Cell Carcinoma,"Skin diseases, Cancer diseases, Rare diseases",257,4,"MMP2, CDH2, BMI1, CDH1",https://www.malacards.org/card/squamous_cell_carcinoma,,,,
3.47,"Cholangitis, Primary Sclerosing","Gastrointestinal diseases, Liver diseases, Rare diseases",96,3,"CXCL8, TNF, TCF4",https://www.malacards.org/card/cholangitis_primary_sclerosing,Risk factor,TCF4,,
3.46,Dementia,"Neuronal diseases, Mental diseases, Rare diseases",132,3,"TNF, TBK1, PRNP",https://www.malacards.org/card/dementia,Causative mutation,PRNP,,
3.42,Gallbladder Cancer,"Gastrointestinal diseases, Liver diseases, Immune diseases, Cancer diseases, Rare diseases",138,4,"SNAI1, CDH1, MMP2, CDH2",https://www.malacards.org/card/gallbladder_cancer,,,,
3.42,Infertility,Reproductive diseases,175,3,"MMP2, CCDC39, DNAH17",https://www.malacards.org/card/infertility,Causative mutation,CCDC39,,
3.40,Oral Submucous Fibrosis,"Gastrointestinal diseases, Oral diseases, Smell/Taste diseases, Cancer diseases, Rare diseases",27,3,"MMP2, CDH1, TNF",https://www.malacards.org/card/oral_submucous_fibrosis,,,,
3.39,Bacterial Meningitis,"Neuronal diseases, Infectious diseases, Rare diseases",33,3,"CXCL8, MMP2, TNF",https://www.malacards.org/card/bacterial_meningitis,,,,
3.39,Systemic Lupus Erythematosus,"Bone diseases, Nephrological diseases, Skin diseases, Immune diseases, Genetic diseases, Rare diseases",720,4,"CXCL8, MMP2, TNF, TCF4",https://www.malacards.org/card/systemic_lupus_erythematosus,Risk factor,TNF,,
3.34,Myelitis,"Neuronal diseases, Rare diseases",30,3,"TNF, CXCL8, MMP2",https://www.malacards.org/card/myelitis,,,,
3.34,Cartilage Disease,Bone diseases,30,3,"SOX6, SOX9, TNF",https://www.malacards.org/card/cartilage_disease,,,,
3.34,Urethral Syndrome,"Nephrological diseases, Reproductive diseases",30,3,"TNF, CXCL8, CDH1",https://www.malacards.org/card/urethral_syndrome,,,,
3.32,Uterine Corpus Cancer,"Reproductive diseases, Cancer diseases",194,4,"TNF, SNAI1, CDH1, CDH2",https://www.malacards.org/card/uterine_corpus_cancer,,,,
3.31,Obstructive Nephropathy,Nephrological diseases,31,3,"CCN2, CDH1, SMAD3",https://www.malacards.org/card/obstructive_nephropathy,,,,
3.28,Acute Pancreatitis,"Bone diseases, Gastrointestinal diseases, Endocrine diseases, Immune diseases, Cancer diseases, Infectious diseases, Genetic diseases, Rare diseases",47,3,"TNF, CXCL8, REG3A",https://www.malacards.org/card/acute_pancreatitis,,,,
3.27,Frontotemporal Dementia And/Or Amyotrophic Lateral Sclerosis 1,"Neuronal diseases, Oral diseases, Mental diseases, Genetic diseases, Rare diseases",352,4,"IGFBP5, RNF41, SNAP25, TBK1",https://www.malacards.org/card/frontotemporal_dementia_and_or_amyotrophic_lateral_sclerosis_1,Causative mutation,TBK1,,
3.26,Silicosis,"Respiratory diseases, Rare diseases",34,3,"MMP2, CXCL8, TNF",https://www.malacards.org/card/silicosis,,,,
3.26,Wilms Tumor 1,"Nephrological diseases, Blood diseases, Cancer diseases, Genetic diseases, Rare diseases, Fetal diseases",217,4,"SNAI1, SOX9, CDH1, CCN2",https://www.malacards.org/card/wilms_tumor_1,,,,
3.25,Body Mass Index Quantitative Trait Locus 11,"Bone diseases, Endocrine diseases, Metabolic diseases, Genetic diseases",926,6,"TNF, SOX6, RNF41, POU3F3, CXCL8, CCN2",https://www.malacards.org/card/body_mass_index_quantitative_trait_locus_11,,,"Adipose, Blood, Liver","CCN2, CXCL8, POU3F3, RNF41, SOX6"
3.22,"Microcephalic Osteodysplastic Primordial Dwarfism, Type I","Bone diseases, Neuronal diseases, Endocrine diseases, Eye diseases, Genetic diseases, Rare diseases, Fetal diseases",28,2,"SNRNP48, CLASP1",https://www.malacards.org/card/microcephalic_osteodysplastic_primordial_dwarfism_type_i,Causative mutation,CLASP1,,
3.21,Bronchiectasis,"Respiratory diseases, Genetic diseases",42,3,"TNF, CXCL8, CCDC39",https://www.malacards.org/card/bronchiectasis,,,,
3.18,Pneumoconiosis,"Respiratory diseases, Rare diseases",39,3,"CCN2, CXCL8, TNF",https://www.malacards.org/card/pneumoconiosis,,,,
3.17,Paranasal Sinus Disease,Respiratory diseases,41,3,"CCDC39, CXCL8, TNF",https://www.malacards.org/card/paranasal_sinus_disease,,,,
3.16,Preterm Premature Rupture Of The Membranes,"Reproductive diseases, Genetic diseases",40,3,"CXCL8, MMP2, TNF",https://www.malacards.org/card/preterm_premature_rupture_of_the_membranes,,,,
3.16,Cystitis,Nephrological diseases,41,3,"CXCL8, CDH1, TNF",https://www.malacards.org/card/cystitis,,,,
3.14,Thrombocytopenia,"Bone diseases, Blood diseases, Immune diseases, Genetic diseases, Rare diseases",343,4,"TBK1, TNF, MMP2, CXCL8",https://www.malacards.org/card/thrombocytopenia,,,,
3.13,Varicose Veins,"Blood diseases, Skin diseases, Cardiovascular diseases",44,3,"TNF, CXCL8, MMP2",https://www.malacards.org/card/varicose_veins,,,,
3.12,Middle Ear Disease,Ear diseases,45,3,"CCDC39, CXCL8, TNF",https://www.malacards.org/card/middle_ear_disease,,,,
3.12,Huntington Disease,"Neuronal diseases, Oral diseases, Mental diseases, Eye diseases, Infectious diseases, Genetic diseases, Rare diseases",459,5,"PRNP, BMI1, CXCL8, SLC38A2, TNF",https://www.malacards.org/card/huntington_disease,,,Blood,"BMI1, CXCL8, SLC38A2"
3.10,Takayasu Arteritis,"Bone diseases, Nephrological diseases, Blood diseases, Immune diseases, Respiratory diseases, Cardiovascular diseases, Rare diseases, Fetal diseases",44,3,"CXCL8, MMP2, TNF",https://www.malacards.org/card/takayasu_arteritis,,,,
3.10,Chronic Fatigue Syndrome,Neuronal diseases,46,3,"TNF, CXCL8, ADCYAP1",https://www.malacards.org/card/chronic_fatigue_syndrome,,,,
3.10,Gastritis,"Gastrointestinal diseases, Liver diseases, Immune diseases, Infectious diseases",54,3,"CDH1, CXCL8, TNF",https://www.malacards.org/card/gastritis,,,,
3.09,Keratitis,"Neuronal diseases, Eye diseases, Cardiovascular diseases, Genetic diseases, Rare diseases",46,3,"MMP2, CXCL8, TNF",https://www.malacards.org/card/keratitis,,,,
3.09,Pulmonary Edema,Respiratory diseases,47,3,"CXCL8, EGLN1, TNF",https://www.malacards.org/card/pulmonary_edema,,,,
3.09,Wilson Disease,"Neuronal diseases, Nephrological diseases, Liver diseases, Endocrine diseases, Eye diseases, Metabolic diseases, Genetic diseases, Rare diseases",56,3,"TNF, PRNP, CXCL8",https://www.malacards.org/card/wilson_disease,,,,
3.08,Breast Lobular Carcinoma,Cancer diseases,38,2,"SNAI1, CDH1",https://www.malacards.org/card/breast_lobular_carcinoma,Causative mutation,CDH1,,
3.07,Cholera,"Gastrointestinal diseases, Infectious diseases, Rare diseases",46,3,"TNF, CXCL8, SLC9A3",https://www.malacards.org/card/cholera,,,,
3.07,Cleidocranial Dysplasia,"Bone diseases, Oral diseases, Genetic diseases, Rare diseases, Fetal diseases",46,3,"SMAD3, SOX9, SOX6",https://www.malacards.org/card/cleidocranial_dysplasia,,,,
3.07,Covid-19,"Respiratory diseases, Infectious diseases",90,3,"TNF, TBK1, CXCL8",https://www.malacards.org/card/covid_19,,,,
3.07,Alcoholic Hepatitis,"Gastrointestinal diseases, Liver diseases",432,4,"CXCL8, JUNB, TNF, SOX9",https://www.malacards.org/card/alcoholic_hepatitis,,,Liver,"CXCL8, JUNB, SOX9"
3.06,Aggressive Periodontitis,"Bone diseases, Gastrointestinal diseases, Oral diseases, Genetic diseases",49,3,"TNF, CXCL8, MMP2",https://www.malacards.org/card/aggressive_periodontitis,,,,
3.06,Creutzfeldt-Jakob Disease,"Neuronal diseases, Mental diseases, Eye diseases, Infectious diseases, Genetic diseases, Rare diseases",47,2,"PRNP, SNAP25",https://www.malacards.org/card/creutzfeldt_jakob_disease,"Causative mutation, Genetic tests",PRNP,,
3.05,Relapsing-Remitting Multiple Sclerosis,"Neuronal diseases, Immune diseases",47,3,"MMP2, CXCL8, TNF",https://www.malacards.org/card/relapsing_remitting_multiple_sclerosis,,,,
3.05,Campomelic Dysplasia,"Bone diseases, Neuronal diseases, Endocrine diseases, Reproductive diseases, Genetic diseases, Rare diseases, Fetal diseases",39,2,"SOX9, SOX6",https://www.malacards.org/card/campomelic_dysplasia,"Causative mutation, Genetic tests",SOX9,,
3.05,Coronary Artery Anomaly,"Blood diseases, Muscle diseases, Cardiovascular diseases, Genetic diseases",373,4,"TNF, SMAD3, CXCL8, CCN2",https://www.malacards.org/card/coronary_artery_anomaly,,,,
3.03,Coronary Heart Disease 1,"Cardiovascular diseases, Genetic diseases",155,4,"SNRNP48, PTAFR, GTPBP1, CXCL8",https://www.malacards.org/card/coronary_heart_disease_1,,,"Endothelium, Heart","CXCL8, GTPBP1, PTAFR, SNRNP48"
3.00,Pancreatitis,"Bone diseases, Gastrointestinal diseases, Endocrine diseases, Immune diseases, Cancer diseases, Infectious diseases, Genetic diseases, Rare diseases",66,3,"TNF, REG3A, CXCL8",https://www.malacards.org/card/pancreatitis,,,,
3.00,Peripheral Nervous System Disease,"Neuronal diseases, Immune diseases, Muscle diseases",432,4,"TNF, CDH1, CXCL8, MMP2",https://www.malacards.org/card/peripheral_nervous_system_disease,,,,
2.99,Periodontitis,"Blood diseases, Gastrointestinal diseases, Oral diseases, Rare diseases",56,3,"TNF, CXCL8, MMP2",https://www.malacards.org/card/periodontitis,,,,
