Score,Name,Disease categories,# Total Genes,# Matched Genes,Matched Genes (Symbols),Evidence URL,Genetic Associations,Matched Genes for Genetic Associations,Diferentially Expressed Genes in Tissue Samples,Genes Matched to Differentially Expressed Genes
5.61,Microcephaly,"Eye diseases, Neuronal diseases, Mental diseases, Oral diseases, Skin diseases, Genetic diseases, Rare diseases, Fetal diseases",690,8,"MRE11, NARS1, PIK3CB, POC1A, PRRT2, RNF168, SAMHD1, TERT",https://www.malacards.org/card/microcephaly,,,,
5.59,Hyperphosphatasia With Impaired Intellectual Development Syndrome 1,"Gastrointestinal diseases, Neuronal diseases, Mental diseases, Genetic diseases",4,2,"PIGG, PIGO",https://www.malacards.org/card/hyperphosphatasia_with_impaired_intellectual_development_syndrome_1,Causative mutation,"PIGG, PIGO",,
5.43,Thrombocytopenia,"Bone diseases, Immune diseases, Blood diseases, Genetic diseases, Rare diseases",343,7,"ABCG8, DNASE2, ITGA2, KDSR, PCCB, SAMHD1, TERT",https://www.malacards.org/card/thrombocytopenia,,,,
4.82,Aplastic Anemia,"Bone diseases, Immune diseases, Blood diseases, Genetic diseases, Rare diseases",215,5,"MRE11, REV3L, RFWD3, RNF168, TERT",https://www.malacards.org/card/aplastic_anemia,"Causative mutation, Genetic tests",TERT,,
4.50,Cystic Fibrosis,"Gastrointestinal diseases, Liver diseases, Respiratory diseases, Reproductive diseases, Metabolic diseases, Genetic diseases, Rare diseases",406,5,"APEX1, LACTB, PSMA1, SLC4A4, SLC9A3",https://www.malacards.org/card/cystic_fibrosis,Risk factor,SLC9A3,,
4.33,Isobutyryl-Coa Dehydrogenase Deficiency,"Cardiovascular diseases, Muscle diseases, Mental diseases, Metabolic diseases, Genetic diseases, Rare diseases",3,2,"ACAD8, ETFDH",https://www.malacards.org/card/isobutyryl_coa_dehydrogenase_deficiency,"Causative mutation, Genetic tests",ACAD8,,
4.26,Congenital Nervous System Abnormality,"Neuronal diseases, Immune diseases, Blood diseases, Rare diseases",625,6,"FKTN, NARS1, PARD3, PIK3CB, PRRT2, SAMHD1",https://www.malacards.org/card/congenital_nervous_system_abnormality,,,,
4.25,Neural Tube Defects,"Neuronal diseases, Mental diseases, Metabolic diseases, Genetic diseases, Rare diseases, Fetal diseases",573,6,"AP1S3, BHMT2, CCBE1, PARD3, RGS17, RNF168",https://www.malacards.org/card/neural_tube_defects,"Causative mutation, Risk factor",PARD3,Amnion,"AP1S3, CCBE1, RGS17, RNF168"
4.21,Autism Spectrum Disorder,"Neuronal diseases, Mental diseases, Genetic diseases, Rare diseases",683,6,"BACE2, FUS, HTR5A-AS1, KIAA1586, LMAN2L, PRRT2",https://www.malacards.org/card/autism_spectrum_disorder,,,,
4.17,Neuroblastoma 1,"Endocrine diseases, Neuronal diseases, Genetic diseases, Rare diseases, Fetal diseases, Cancer diseases",876,9,"BHMT2, CAV2, H2BC11, NMNAT2, PRRT2, RAB6B, REEP2, SAMD8, TXK",https://www.malacards.org/card/neuroblastoma_1,,,"Adrenal Gland, Blood","BHMT2, CAV2, H2BC11, NMNAT2, PRRT2, RAB6B, REEP2, SAMD8, TXK"
4.00,Myeloid Leukemia,"Immune diseases, Blood diseases, Genetic diseases, Rare diseases, Cancer diseases",102,4,"FUS, IDH2, PIK3CB, TERT",https://www.malacards.org/card/myeloid_leukemia,,,,
3.99,Noonan Syndrome 1,"Bone diseases, Nephrological diseases, Eye diseases, Endocrine diseases, Neuronal diseases, Cardiovascular diseases, Mental diseases, Reproductive diseases, Skin diseases, Ear diseases, Genetic diseases, Rare diseases, Fetal diseases",213,4,"CCBE1, PIK3CB, PRRT2, RASA2",https://www.malacards.org/card/noonan_syndrome_1,Causative mutation,RASA2,,
3.97,Neuromuscular Disease,"Neuronal diseases, Muscle diseases, Rare diseases",228,4,"FIG4, FKTN, FUS, GOLGA2",https://www.malacards.org/card/neuromuscular_disease,Causative mutation,GOLGA2,,
3.95,Erythrokeratodermia Variabilis Et Progressiva 1,"Eye diseases, Reproductive diseases, Skin diseases, Genetic diseases, Rare diseases",45,3,"ABHD5, KDSR, OTOG",https://www.malacards.org/card/erythrokeratodermia_variabilis_et_progressiva_1,Causative mutation,KDSR,,
3.88,Renal Oncocytoma,"Nephrological diseases, Genetic diseases, Rare diseases, Cancer diseases",334,6,"ACP3, BACE2, BHMT2, GLYAT, SLC4A4, UGT3A1",https://www.malacards.org/card/renal_oncocytoma,,,Kidney,"ACP3, BACE2, BHMT2, GLYAT, SLC4A4, UGT3A1"
3.88,Huntington Disease,"Eye diseases, Neuronal diseases, Mental diseases, Oral diseases, Genetic diseases, Rare diseases, Infectious diseases",459,6,"CAPZA2, FUS, MARCHF7, PAWR, RANBP2, TMED7",https://www.malacards.org/card/huntington_disease,,,Blood,"CAPZA2, MARCHF7, RANBP2, TMED7"
3.87,Body Mass Index Quantitative Trait Locus 11,"Bone diseases, Endocrine diseases, Metabolic diseases, Genetic diseases",926,7,"CAPZA2, DIO2, DNASE2, FDFT1, NMNAT2, PIK3CB, POU3F3",https://www.malacards.org/card/body_mass_index_quantitative_trait_locus_11,,,"Blood, Liver","CAPZA2, DIO2, DNASE2, NMNAT2, POU3F3"
3.79,"Spastic Paraplegia 82, Autosomal Recessive","Gastrointestinal diseases, Nephrological diseases, Eye diseases, Neuronal diseases, Respiratory diseases, Muscle diseases, Mental diseases, Oral diseases, Skin diseases, Ear diseases, Metabolic diseases, Genetic diseases, Rare diseases",12,2,"PCYT2, REEP2",https://www.malacards.org/card/spastic_paraplegia_82_autosomal_recessive,"Causative mutation, Genetic tests",PCYT2,,
3.64,Bladder Cancer,"Nephrological diseases, Blood diseases, Genetic diseases, Rare diseases, Cancer diseases",594,4,"APEX1, PIK3CB, PRC1, TERT",https://www.malacards.org/card/bladder_cancer,Causative mutation,TERT,,
3.61,Primary Ciliary Dyskinesia,"Respiratory diseases, Reproductive diseases, Ear diseases, Genetic diseases, Rare diseases, Fetal diseases",362,3,"DNAJB13, IFT22, RSPH3",https://www.malacards.org/card/primary_ciliary_dyskinesia,Causative mutation,"DNAJB13, RSPH3",,
3.59,Amyotrophic Lateral Sclerosis 11,"Neuronal diseases, Respiratory diseases, Muscle diseases, Mental diseases, Oral diseases, Genetic diseases, Rare diseases",16,2,"FIG4, FUS",https://www.malacards.org/card/amyotrophic_lateral_sclerosis_11,"Causative mutation, Genetic tests",FIG4,,
3.56,Gliosarcoma,"Neuronal diseases, Rare diseases, Cancer diseases",99,4,"FUS, IDH2, PIK3CB, TERT",https://www.malacards.org/card/gliosarcoma,,,,
3.54,Polycystic Kidney Disease,"Nephrological diseases, Liver diseases, Endocrine diseases, Reproductive diseases, Genetic diseases, Rare diseases",610,6,"ACP3, ANGPTL3, GLYAT, SLC4A4, UGT3A1, VAV3",https://www.malacards.org/card/polycystic_kidney_disease,,,Kidney,"ACP3, ANGPTL3, GLYAT, SLC4A4, UGT3A1, VAV3"
3.53,Frontotemporal Dementia And/Or Amyotrophic Lateral Sclerosis 1,"Neuronal diseases, Mental diseases, Oral diseases, Genetic diseases, Rare diseases",352,4,"FIG4, FUS, NMNAT2, SLC7A11",https://www.malacards.org/card/frontotemporal_dementia_and_or_amyotrophic_lateral_sclerosis_1,Risk factor,FUS,,
3.52,Wolf-Hirschhorn Syndrome,"Eye diseases, Neuronal diseases, Ear diseases, Genetic diseases, Rare diseases, Fetal diseases",85,3,"LETM2, PIGG, SLBP",https://www.malacards.org/card/wolf_hirschhorn_syndrome,Risk factor,PIGG,,
3.51,Cervical Squamous Cell Carcinoma,"Reproductive diseases, Rare diseases, Cancer diseases",394,8,"ACP3, CENPM, CERS4, DIO2, ECHDC3, GAS7, MRE11, PRC1",https://www.malacards.org/card/cervical_squamous_cell_carcinoma,,,Uterus,"ACP3, CENPM, CERS4, DIO2, ECHDC3, GAS7, MRE11, PRC1"
3.49,Muscular Dystrophy,"Neuronal diseases, Respiratory diseases, Cardiovascular diseases, Muscle diseases, Oral diseases, Genetic diseases, Rare diseases",225,4,"FKTN, GGPS1, LRIF1, TOR1AIP1",https://www.malacards.org/card/muscular_dystrophy,,,,
3.48,"Chromosome 17p13.3, Centromeric, Duplication Syndrome","Neuronal diseases, Genetic diseases, Rare diseases, Fetal diseases",22,3,"CENPI, CENPM, FKBP14",https://www.malacards.org/card/chromosome_17p133_centromeric_duplication_syndrome,,,,
3.48,"Spastic Paraplegia 45, Autosomal Recessive","Gastrointestinal diseases, Nephrological diseases, Eye diseases, Neuronal diseases, Respiratory diseases, Muscle diseases, Mental diseases, Oral diseases, Skin diseases, Ear diseases, Metabolic diseases, Genetic diseases, Rare diseases",18,2,"NT5C2, REEP2",https://www.malacards.org/card/spastic_paraplegia_45_autosomal_recessive,"Causative mutation, Genetic tests",NT5C2,,
3.48,Hereditary Ataxia,"Eye diseases, Neuronal diseases, Rare diseases",141,4,"ACO1, FUS, MRE11, PRRT2",https://www.malacards.org/card/hereditary_ataxia,,,,
3.46,Alpha-Methylacetoacetic Aciduria,"Nephrological diseases, Liver diseases, Neuronal diseases, Respiratory diseases, Metabolic diseases, Genetic diseases, Rare diseases",23,3,"ACAD8, ETFDH, PCCB",https://www.malacards.org/card/alpha_methylacetoacetic_aciduria,,,,
3.41,"Melanoma, Cutaneous Malignant 1","Nephrological diseases, Endocrine diseases, Skin diseases, Genetic diseases, Rare diseases, Cancer diseases",120,3,"PIK3CB, RASA2, TERT",https://www.malacards.org/card/melanoma_cutaneous_malignant_1_2,"Causative mutation, Risk factor",TERT,,
3.40,"Xeroderma Pigmentosum, Variant Type","Eye diseases, Neuronal diseases, Skin diseases, Genetic diseases, Rare diseases, Fetal diseases",158,4,"APEX1, GPN1, REV3L, RNF168",https://www.malacards.org/card/xeroderma_pigmentosum_variant_type,,,,
3.38,"Leukemia, Acute Myeloid","Immune diseases, Blood diseases, Genetic diseases, Rare diseases, Cancer diseases",644,3,"IDH2, PIK3CB, TERT",https://www.malacards.org/card/leukemia_acute_myeloid,"Causative mutation, Risk factor, Genetic tests","IDH2, TERT",,
3.36,Congenital Stationary Night Blindness,"Eye diseases, Neuronal diseases, Mental diseases, Genetic diseases, Rare diseases",133,3,"CAV2, GRM6, NLRP12",https://www.malacards.org/card/congenital_stationary_night_blindness,Causative mutation,GRM6,,
3.34,"Dyskeratosis Congenita, Autosomal Dominant 1","Bone diseases, Eye diseases, Neuronal diseases, Immune diseases, Blood diseases, Skin diseases, Genetic diseases, Rare diseases, Fetal diseases",19,2,"NT5C2, TERT",https://www.malacards.org/card/dyskeratosis_congenita_autosomal_dominant_1,"Causative mutation, Genetic tests",TERT,,
3.33,Glioblastoma,"Neuronal diseases, Rare diseases, Cancer diseases",340,4,"E2F2, IDH2, ITGA2, TERT",https://www.malacards.org/card/glioblastoma,,,,
3.31,Chromophobe Renal Cell Carcinoma,"Nephrological diseases, Rare diseases, Cancer diseases",410,5,"BAIAP2L1, GLYAT, PIK3CB, TERT, UGT3A1",https://www.malacards.org/card/chromophobe_renal_cell_carcinoma,,,Kidney,"BAIAP2L1, GLYAT, UGT3A1"
3.29,Hepatocellular Carcinoma,"Gastrointestinal diseases, Liver diseases, Genetic diseases, Rare diseases, Cancer diseases",878,3,"FUS, IDH2, TERT",https://www.malacards.org/card/hepatocellular_carcinoma,Causative mutation,"IDH2, TERT",Liver,FUS
3.26,Amyotrophic Lateral Sclerosis 6 With Or Without Frontotemporal Dementia,"Neuronal diseases, Mental diseases, Oral diseases, Genetic diseases",26,2,"FIG4, FUS",https://www.malacards.org/card/amyotrophic_lateral_sclerosis_6_with_or_without_frontotemporal_dementia_2,"Causative mutation, Genetic tests",FUS,,
3.25,Parkinson'S Disease,"Eye diseases, Neuronal diseases, Muscle diseases, Mental diseases, Metabolic diseases, Genetic diseases, Rare diseases",403,4,"ACO1, FUS, PAWR, PSMA1",https://www.malacards.org/card/parkinsons_disease,,,,
3.24,Paraplegia,"Neuronal diseases, Rare diseases",61,3,"NT5C2, PCYT2, REEP2",https://www.malacards.org/card/paraplegia,,,,
3.24,Plasma Cell Neoplasm,"Immune diseases, Blood diseases, Cancer diseases",105,2,"IDH2, SAMHD1",https://www.malacards.org/card/plasma_cell_neoplasm,Causative mutation,"IDH2, SAMHD1",,
3.23,Hereditary Breast Ovarian Cancer Syndrome,"Reproductive diseases, Genetic diseases, Rare diseases, Cancer diseases",160,3,"MRE11, RFWD3, RNF168",https://www.malacards.org/card/hereditary_breast_ovarian_cancer_syndrome,"Causative mutation, Unconfirmed association",MRE11,,
3.23,Benign Epilepsy With Centrotemporal Spikes,"Neuronal diseases, Oral diseases, Genetic diseases, Rare diseases",167,3,"PRRT2, RBFOX2, SNIP1",https://www.malacards.org/card/benign_epilepsy_with_centrotemporal_spikes,Causative mutation,SNIP1,,
3.21,"Acyl-Coa Dehydrogenase, Very Long-Chain, Deficiency Of","Neuronal diseases, Metabolic diseases, Genetic diseases, Rare diseases",34,3,"ACAD8, ETFDH, PCCB",https://www.malacards.org/card/acyl_coa_dehydrogenase_very_long_chain_deficiency_of,,,,
3.21,"Ataxia, Early-Onset, With Oculomotor Apraxia And Hypoalbuminemia","Eye diseases, Neuronal diseases, Skin diseases, Metabolic diseases, Genetic diseases, Rare diseases",26,2,"APEX1, MRE11",https://www.malacards.org/card/ataxia_early_onset_with_oculomotor_apraxia_and_hypoalbuminemia,Causative mutation,MRE11,,
3.21,West Syndrome,"Neuronal diseases, Mental diseases, Metabolic diseases, Rare diseases",171,3,"CSNK1E, PIGO, PRRT2",https://www.malacards.org/card/west_syndrome,Causative mutation,CSNK1E,,
3.18,Gastroenteritis,"Gastrointestinal diseases, Infectious diseases",49,3,"LACTB, NLRP12, PRRT2",https://www.malacards.org/card/gastroenteritis,,,,
3.17,Organic Acidemia,"Endocrine diseases, Metabolic diseases, Genetic diseases, Rare diseases",41,3,"ACAD8, ETFDH, PCCB",https://www.malacards.org/card/organic_acidemia,,,,
3.17,Diamond-Blackfan Anemia,"Bone diseases, Neuronal diseases, Immune diseases, Blood diseases, Metabolic diseases, Genetic diseases, Rare diseases, Fetal diseases",207,3,"RPL37, RPS15A, TERT",https://www.malacards.org/card/diamond_blackfan_anemia,Causative mutation,RPS15A,,
3.16,Familial Hemiplegic Migraine,"Eye diseases, Neuronal diseases, Genetic diseases, Rare diseases",39,3,"CAV2, PRRT2, SLC4A4",https://www.malacards.org/card/familial_hemiplegic_migraine,,,,
3.13,Alpha-1-Antitrypsin Deficiency,"Nephrological diseases, Liver diseases, Endocrine diseases, Respiratory diseases, Blood diseases, Metabolic diseases, Genetic diseases, Rare diseases",80,3,"GOLGA2, PLXNA3, TXK",https://www.malacards.org/card/alpha_1_antitrypsin_deficiency_2,,,Lung,"GOLGA2, PLXNA3, TXK"
3.12,"Muscular Dystrophy, Limb-Girdle, Autosomal Recessive 2","Neuronal diseases, Respiratory diseases, Cardiovascular diseases, Muscle diseases, Mental diseases, Oral diseases, Metabolic diseases, Genetic diseases, Rare diseases",231,2,"FKTN, TOR1AIP1",https://www.malacards.org/card/muscular_dystrophy_limb_girdle_autosomal_recessive_2,"Causative mutation, Genetic tests","FKTN, TOR1AIP1",,
3.11,Chanarin-Dorfman Syndrome,"Eye diseases, Endocrine diseases, Neuronal diseases, Skin diseases, Metabolic diseases, Genetic diseases, Rare diseases",35,2,"ABHD5, ETFDH",https://www.malacards.org/card/chanarin_dorfman_syndrome,"Causative mutation, Genetic tests",ABHD5,,
3.10,Macrocytic Anemia,Blood diseases,36,2,"RPS15A, TERT",https://www.malacards.org/card/macrocytic_anemia,Causative mutation,TERT,,
3.10,Inherited Cancer-Predisposing Syndrome,"Rare diseases, Cancer diseases",119,2,"MRE11, TERT",https://www.malacards.org/card/inherited_cancer_predisposing_syndrome,Causative mutation,"MRE11, TERT",,
3.09,Glutaric Acidemia I,"Neuronal diseases, Metabolic diseases, Genetic diseases, Rare diseases",43,3,"ACAD8, ETFDH, PCCB",https://www.malacards.org/card/glutaric_acidemia_i,,,,
3.09,Sitosterolemia,"Gastrointestinal diseases, Endocrine diseases, Metabolic diseases, Genetic diseases, Rare diseases",35,2,"ABCG8, ANGPTL3",https://www.malacards.org/card/sitosterolemia,Causative mutation,ABCG8,,
3.07,Chilblain Lupus,"Bone diseases, Neuronal diseases, Immune diseases, Skin diseases, Ear diseases, Smell/Taste diseases, Genetic diseases, Rare diseases",36,2,"DNASE2, SAMHD1",https://www.malacards.org/card/chilblain_lupus,Causative mutation,SAMHD1,,
3.04,Tremor,"Neuronal diseases, Muscle diseases, Oral diseases, Metabolic diseases, Genetic diseases, Rare diseases",32,2,"FIG4, FUS",https://www.malacards.org/card/tremor,Causative mutation,FIG4,,
3.03,Diabetes Mellitus,"Endocrine diseases, Immune diseases, Metabolic diseases, Genetic diseases, Rare diseases",615,4,"ANGPTL3, CNDP1, DIO2, ITGA2",https://www.malacards.org/card/diabetes_mellitus,,,,
3.00,Adult Spinal Cord Glioblastoma Multiforme,"Neuronal diseases, Cancer diseases",6,2,"IDH2, TERT",https://www.malacards.org/card/adult_spinal_cord_glioblastoma_multiforme,,,,
3.00,Posterior Cerebral Artery Infarction,"Neuronal diseases, Cardiovascular diseases",7,2,"ACP3, TACR2",https://www.malacards.org/card/posterior_cerebral_artery_infarction,,,,
3.00,Peripheral Nervous System Disease,"Neuronal diseases, Muscle diseases, Immune diseases",432,4,"FIG4, FUS, PIK3CB, TERT",https://www.malacards.org/card/peripheral_nervous_system_disease,,,,
2.99,Propionic Acidemia,"Metabolic diseases, Genetic diseases, Rare diseases",43,2,"ACAD8, PCCB",https://www.malacards.org/card/propionic_acidemia,"Causative mutation, Genetic tests",PCCB,,
2.99,Type 2 Diabetes Mellitus,"Endocrine diseases, Immune diseases, Metabolic diseases, Genetic diseases, Rare diseases",675,4,"BAIAP2L1, DIO2, PIK3CB, TERT",https://www.malacards.org/card/type_2_diabetes_mellitus,,,,
2.96,Brain Glioma,"Neuronal diseases, Cancer diseases",60,3,"IDH2, PIK3CB, TERT",https://www.malacards.org/card/brain_glioma,,,,
2.95,Hypertrophic Cardiomyopathy,"Cardiovascular diseases, Muscle diseases, Metabolic diseases, Genetic diseases, Rare diseases, Cancer diseases",368,3,"DNAJB4, ETFDH, PIK3CB",https://www.malacards.org/card/hypertrophic_cardiomyopathy,Causative mutation,ETFDH,,
2.94,Multiple Acyl-Coa Dehydrogenase Deficiency,"Neuronal diseases, Metabolic diseases, Genetic diseases, Rare diseases",47,2,"ACAD8, ETFDH",https://www.malacards.org/card/multiple_acyl_coa_dehydrogenase_deficiency,"Causative mutation, Genetic tests",ETFDH,,
2.94,Malaria,"Gastrointestinal diseases, Respiratory diseases, Blood diseases, Genetic diseases, Rare diseases, Cancer diseases, Infectious diseases",398,3,"MARVELD3, NLRP12, TIRAP",https://www.malacards.org/card/malaria,"Causative mutation, Risk factor, Genetic tests",TIRAP,,
2.92,Low Grade Glioma,"Neuronal diseases, Cancer diseases",67,3,"IDH2, PIK3CB, TERT",https://www.malacards.org/card/low_grade_glioma,,,,
2.92,Leber Plus Disease,"Eye diseases, Neuronal diseases, Metabolic diseases, Rare diseases",373,3,"GRM6, NMNAT2, SLC7A14",https://www.malacards.org/card/leber_plus_disease_2,Causative mutation,GRM6,,
2.92,Gastric Cancer,"Gastrointestinal diseases, Immune diseases, Blood diseases, Genetic diseases, Rare diseases, Cancer diseases",919,4,"APEX1, ITGA2, PIK3CB, TERT",https://www.malacards.org/card/gastric_cancer,,,,
2.90,Gilbert Syndrome,"Endocrine diseases, Metabolic diseases, Genetic diseases, Rare diseases",61,3,"B3GAT2, NT5C2, UGT3A1",https://www.malacards.org/card/gilbert_syndrome,,,,
2.90,Central Nervous System Benign Neoplasm,"Neuronal diseases, Cancer diseases",70,3,"IDH2, PIK3CB, TERT",https://www.malacards.org/card/central_nervous_system_benign_neoplasm,,,,
2.90,Human Immunodeficiency Virus Type 1,"Immune diseases, Genetic diseases, Infectious diseases",400,6,"GAS7, KDSR, PDE4C, PIK3CB, RFWD3, RSL1D1",https://www.malacards.org/card/human_immunodeficiency_virus_type_1,,,Blood,"GAS7, KDSR, PDE4C, PIK3CB, RFWD3, RSL1D1"
2.90,"Myeloma, Multiple","Neuronal diseases, Blood diseases, Genetic diseases, Rare diseases, Cancer diseases",297,2,"IDH2, SAMHD1",https://www.malacards.org/card/myeloma_multiple,Causative mutation,"IDH2, SAMHD1",,
2.89,Cervical Cancer,"Reproductive diseases, Genetic diseases, Cancer diseases",511,5,"APEX1, LRIF1, PRC1, SLBP, TERT",https://www.malacards.org/card/cervical_cancer,,,Uterus,"LRIF1, PRC1, SLBP"
2.89,Cone-Rod Dystrophy 2,"Eye diseases, Neuronal diseases, Genetic diseases, Rare diseases",468,4,"GRM6, IFT22, NFATC2IP, POC1A",https://www.malacards.org/card/cone_rod_dystrophy_2,,,,
2.88,Methylmalonic Acidemia,"Eye diseases, Metabolic diseases, Genetic diseases, Rare diseases",69,3,"ACAD8, ETFDH, PCCB",https://www.malacards.org/card/methylmalonic_acidemia,,,,
2.87,Spinal Cord Disease,Neuronal diseases,75,3,"IDH2, PIK3CB, TERT",https://www.malacards.org/card/spinal_cord_disease,,,,
2.87,Hepatitis C Virus,"Gastrointestinal diseases, Liver diseases, Immune diseases, Blood diseases, Oral diseases, Genetic diseases, Rare diseases, Cancer diseases, Infectious diseases",452,5,"ANGPTL3, CFAP68, EMC7, FUS, SAMHD1",https://www.malacards.org/card/hepatitis_c_virus,,,Liver,"ANGPTL3, CFAP68, EMC7, FUS, SAMHD1"
2.85,Interstitial Lung Disease,"Neuronal diseases, Respiratory diseases, Blood diseases, Genetic diseases, Rare diseases, Cancer diseases",74,2,"NARS1, TERT",https://www.malacards.org/card/interstitial_lung_disease,Causative mutation,TERT,,
2.84,Malignant Inflammatory Fibrous Histiocytoma,"Muscle diseases, Immune diseases, Skin diseases, Cancer diseases",9,2,"FUS, RANBP2",https://www.malacards.org/card/malignant_inflammatory_fibrous_histiocytoma,,,,
2.83,"Blood Group, Emm System","Blood diseases, Genetic diseases",1,1,PIGG,https://www.malacards.org/card/blood_group_emm_system,"Causative mutation, Unconfirmed association, Genetic tests",PIGG,,
2.83,Congenital Myopathy 21 With Early Respiratory Failure,Genetic diseases,1,1,DNAJB4,https://www.malacards.org/card/congenital_myopathy_21_with_early_respiratory_failure,Causative mutation,DNAJB4,,
2.83,"Spastic Paraplegia 72b, Autosomal Recessive","Gastrointestinal diseases, Nephrological diseases, Eye diseases, Neuronal diseases, Respiratory diseases, Muscle diseases, Mental diseases, Oral diseases, Skin diseases, Ear diseases, Metabolic diseases, Genetic diseases, Rare diseases",1,1,REEP2,https://www.malacards.org/card/spastic_paraplegia_72b_autosomal_recessive,"Causative mutation, Unconfirmed association",REEP2,,
2.83,"Spastic Paraplegia 72a, Autosomal Dominant","Gastrointestinal diseases, Nephrological diseases, Eye diseases, Neuronal diseases, Respiratory diseases, Muscle diseases, Mental diseases, Oral diseases, Skin diseases, Ear diseases, Metabolic diseases, Genetic diseases, Rare diseases",1,1,REEP2,https://www.malacards.org/card/spastic_paraplegia_72a_autosomal_dominant,Causative mutation,REEP2,,
2.83,Familial Acute Necrotizing Encephalopathy,"Neuronal diseases, Genetic diseases, Rare diseases",1,1,RANBP2,https://www.malacards.org/card/familial_acute_necrotizing_encephalopathy,"Causative mutation, Genetic tests",RANBP2,,
2.83,Erythrokeratodermia Variabilis Et Progressiva 4,"Eye diseases, Reproductive diseases, Skin diseases, Genetic diseases, Rare diseases",1,1,KDSR,https://www.malacards.org/card/erythrokeratodermia_variabilis_et_progressiva_4,"Causative mutation, Genetic tests",KDSR,,
