Score,Name,Disease categories,# Total Genes,# Matched Genes,Matched Genes (Symbols),Evidence URL,Genetic Associations,Matched Genes for Genetic Associations,Diferentially Expressed Genes in Tissue Samples,Genes Matched to Differentially Expressed Genes
5.24,Gliosarcoma,"Neuronal diseases, Rare diseases, Cancer diseases",99,5,"EGFR, PIK3CB, MMP9, MMP2, TERT",https://www.malacards.org/card/gliosarcoma,"Causative mutation, Structural gene variation",EGFR,,
5.10,Gastric Cancer,"Gastrointestinal diseases, Immune diseases, Blood diseases, Genetic diseases, Rare diseases, Cancer diseases",919,7,"CYP1A1, EGFR, PIK3CB, MMP2, MMP9, TERT, RHOC",https://www.malacards.org/card/gastric_cancer,,,,
5.06,Tongue Carcinoma,"Gastrointestinal diseases, Oral diseases, Smell/Taste diseases, Rare diseases, Cancer diseases",57,5,"MMP9, MMP2, PIK3CB, EGFR, TERT",https://www.malacards.org/card/tongue_carcinoma,,,,
5.01,Endometrial Cancer,"Reproductive diseases, Genetic diseases, Cancer diseases",386,6,"CYP1A1, EGFR, PIK3CB, MMP9, MMP2, TERT",https://www.malacards.org/card/endometrial_cancer,,,,
4.99,Colorectal Cancer,"Gastrointestinal diseases, Metabolic diseases, Genetic diseases, Rare diseases, Cancer diseases",1701,8,"NRXN1, PIK3CB, MMP9, MMP2, EGFR, B3GAT2, CYP1A1, TERT",https://www.malacards.org/card/colorectal_cancer,,,"Blood, Colon","B3GAT2, NRXN1"
4.95,Laryngeal Squamous Cell Carcinoma,"Skin diseases, Oral diseases, Respiratory diseases, Rare diseases, Cancer diseases",90,5,"TERT, EGFR, CYP1A1, MMP9, MMP2",https://www.malacards.org/card/laryngeal_squamous_cell_carcinoma,,,,
4.91,Meningioma,"Endocrine diseases, Neuronal diseases, Genetic diseases, Rare diseases, Cancer diseases",207,5,"EGFR, MMP9, MMP2, TERT, TNKS2",https://www.malacards.org/card/meningioma,Causative mutation,TERT,,
4.83,Microcephaly,"Skin diseases, Neuronal diseases, Oral diseases, Mental diseases, Eye diseases, Genetic diseases, Rare diseases, Fetal diseases",690,6,"PIK3CB, NRXN1, FANCA, VPS53, TERT, SNAP25",https://www.malacards.org/card/microcephaly,Causative mutation,SNAP25,,
4.75,Interstitial Lung Disease 2,"Blood diseases, Neuronal diseases, Respiratory diseases, Genetic diseases, Rare diseases, Cancer diseases",238,5,"EGFR, PIK3CB, MMP9, MMP2, TERT",https://www.malacards.org/card/interstitial_lung_disease_2,"Causative mutation, Risk factor, Genetic tests",TERT,,
4.75,Glioblastoma,"Neuronal diseases, Rare diseases, Cancer diseases",340,5,"TERT, RHOC, MMP9, MMP2, EGFR",https://www.malacards.org/card/glioblastoma,Causative mutation,EGFR,,
4.54,Retinitis Pigmentosa,"Nephrological diseases, Liver diseases, Bone diseases, Neuronal diseases, Eye diseases, Ear diseases, Genetic diseases, Rare diseases",1243,6,"GRK7, EGFR, MMP9, PIK3CB, SLC7A14, TERT",https://www.malacards.org/card/retinitis_pigmentosa,Causative mutation,SLC7A14,,
4.51,Skin Disease,Skin diseases,427,6,"MMP9, MMP2, PIK3CB, EGFR, TERT, TYRP1",https://www.malacards.org/card/skin_disease,,,,
4.49,Thrombocytopenia,"Bone diseases, Immune diseases, Blood diseases, Genetic diseases, Rare diseases",343,5,"FANCA, MMP2, MMP9, MED12L, TERT",https://www.malacards.org/card/thrombocytopenia,Causative mutation,MED12L,,
4.43,Eye Disease,"Neuronal diseases, Eye diseases, Infectious diseases",491,6,"TYRP1, TERT, MMP2, MMP9, PIK3CB, EGFR",https://www.malacards.org/card/eye_disease,,,,
4.38,Schizophrenia,"Neuronal diseases, Mental diseases, Ear diseases, Genetic diseases",557,5,"NRXN1, PIK3CB, MMP9, SNAP25, NQO2",https://www.malacards.org/card/schizophrenia,Causative mutation,NRXN1,,
4.34,Infertility,Reproductive diseases,175,4,"MMP9, MMP2, DNAJB13, CCDC39",https://www.malacards.org/card/infertility,Causative mutation,CCDC39,,
4.30,"Melanoma, Uveal","Liver diseases, Skin diseases, Neuronal diseases, Eye diseases, Genetic diseases, Rare diseases, Cancer diseases",144,5,"TERT, TYRP1, EGFR, MMP2, PIK3CB",https://www.malacards.org/card/melanoma_uveal,,,,
4.29,"Melanoma, Cutaneous Malignant 1","Nephrological diseases, Skin diseases, Endocrine diseases, Genetic diseases, Rare diseases, Cancer diseases",120,4,"TERT, TYRP1, PIK3CB, EGFR",https://www.malacards.org/card/melanoma_cutaneous_malignant_1_2,"Causative mutation, Risk factor",TERT,,
4.28,Primary Ciliary Dyskinesia,"Reproductive diseases, Respiratory diseases, Ear diseases, Genetic diseases, Rare diseases, Fetal diseases",362,3,"CCDC39, DNAL1, DNAJB13",https://www.malacards.org/card/primary_ciliary_dyskinesia,Causative mutation,"CCDC39, DNAJB13, DNAL1",,
4.27,Gallbladder Cancer,"Gastrointestinal diseases, Liver diseases, Immune diseases, Rare diseases, Cancer diseases",138,5,"PIK3CB, MMP9, MMP2, EGFR, TERT",https://www.malacards.org/card/gallbladder_cancer,,,,
4.23,Lung Cancer Susceptibility 3,"Respiratory diseases, Rare diseases, Cancer diseases",674,5,"MMP2, MMP9, EGFR, CYP1A1, TERT",https://www.malacards.org/card/lung_cancer_susceptibility_3,Causative mutation,EGFR,Lung,MMP9
4.19,Hepatoblastoma,"Gastrointestinal diseases, Liver diseases, Bone diseases, Genetic diseases, Rare diseases, Cancer diseases",111,3,"EGFR, FANCA, TERT",https://www.malacards.org/card/hepatoblastoma,Causative mutation,"FANCA, TERT",,
4.19,Congenital Nervous System Abnormality,"Immune diseases, Blood diseases, Neuronal diseases, Rare diseases",625,5,"RMND1, VPS53, PIK3CB, NRXN1, FANCA",https://www.malacards.org/card/congenital_nervous_system_abnormality,Causative mutation,RMND1,,
4.15,Lung Non-Small Cell Carcinoma,"Respiratory diseases, Cancer diseases",659,5,"EGFR, MMP2, MMP9, PIK3CB, TERT",https://www.malacards.org/card/lung_non_small_cell_carcinoma,Causative mutation,EGFR,,
4.13,Pulmonary Fibrosis,Respiratory diseases,234,4,"EGFR, MMP9, MMP2, TERT",https://www.malacards.org/card/pulmonary_fibrosis,Causative mutation,TERT,,
3.99,Acute Promyelocytic Leukemia,"Blood diseases, Genetic diseases, Rare diseases, Cancer diseases",249,5,"TERT, PIN1, EGFR, PIK3CB, MLLT1",https://www.malacards.org/card/acute_promyelocytic_leukemia,,,,
3.94,Anaplastic Astrocytoma,"Neuronal diseases, Mental diseases, Rare diseases, Cancer diseases",71,4,"EGFR, MMP9, MMP2, TERT",https://www.malacards.org/card/anaplastic_astrocytoma,,,,
3.88,Adenocarcinoma,"Endocrine diseases, Cancer diseases",124,4,"EGFR, MMP9, MMP2, PIK3CB",https://www.malacards.org/card/adenocarcinoma,,,,
3.83,Pancreatic Cancer,"Gastrointestinal diseases, Endocrine diseases, Genetic diseases, Rare diseases, Cancer diseases",640,5,"MMP9, MMP2, EGFR, TERT, RHOC",https://www.malacards.org/card/pancreatic_cancer,,,,
3.81,Neuroblastoma,"Endocrine diseases, Neuronal diseases, Genetic diseases, Rare diseases, Cancer diseases, Fetal diseases",346,5,"MMP9, MMP2, PIK3CB, EGFR, TERT",https://www.malacards.org/card/neuroblastoma,,,,
3.80,Interstitial Lung Disease,"Blood diseases, Neuronal diseases, Respiratory diseases, Genetic diseases, Rare diseases, Cancer diseases",74,3,"EGFR, MMP9, TERT",https://www.malacards.org/card/interstitial_lung_disease,Causative mutation,TERT,,
3.75,Peripheral Nervous System Disease,"Muscle diseases, Immune diseases, Neuronal diseases",432,5,"MMP2, MMP9, PIK3CB, EGFR, TERT",https://www.malacards.org/card/peripheral_nervous_system_disease,,,,
3.70,Connective Tissue Disease,"Skin diseases, Bone diseases, Muscle diseases, Rare diseases, Cancer diseases",477,5,"EGFR, MMP2, MMP9, PIK3CB, MFAP2",https://www.malacards.org/card/connective_tissue_disease,,,,
3.63,Ameloblastoma,"Oral diseases, Rare diseases, Cancer diseases",26,3,"TERT, MMP9, MMP2",https://www.malacards.org/card/ameloblastoma,,,,
3.62,Type 2 Diabetes Mellitus,"Endocrine diseases, Immune diseases, Metabolic diseases, Genetic diseases, Rare diseases",675,5,"GOT1, PIK3CB, MMP9, TERT, SEC14L3",https://www.malacards.org/card/type_2_diabetes_mellitus,,,Pancreas,SEC14L3
3.61,Dilated Cardiomyopathy,"Bone diseases, Muscle diseases, Immune diseases, Neuronal diseases, Cardiovascular diseases, Ear diseases, Genetic diseases, Rare diseases, Cancer diseases",544,5,"TRIM63, KCNJ8, MMP2, MMP9, PIK3CB",https://www.malacards.org/card/dilated_cardiomyopathy,,,,
3.59,Endometriosis,"Gastrointestinal diseases, Nephrological diseases, Reproductive diseases",621,6,"TNKS2, WSB1, GRAMD1C, CYP1A1, MFAP2, MMP2",https://www.malacards.org/card/endometriosis,,,Uterus,"GRAMD1C, MFAP2, MMP2, TNKS2, WSB1"
3.55,Nasopharyngeal Carcinoma,"Gastrointestinal diseases, Oral diseases, Respiratory diseases, Genetic diseases, Rare diseases, Cancer diseases",185,4,"EGFR, CYP1A1, MMP9, TERT",https://www.malacards.org/card/nasopharyngeal_carcinoma,,,,
3.55,Renal Cell Carcinoma,"Nephrological diseases, Rare diseases, Cancer diseases",225,4,"MMP2, MMP9, ELOC, EGFR",https://www.malacards.org/card/renal_cell_carcinoma,,,,
3.49,Breast Adenocarcinoma,"Reproductive diseases, Rare diseases, Cancer diseases",134,4,"MMP2, MMP9, PIK3CB, EGFR",https://www.malacards.org/card/breast_adenocarcinoma,,,,
3.49,Body Mass Index Quantitative Trait Locus 11,"Bone diseases, Endocrine diseases, Metabolic diseases, Genetic diseases",926,5,"RNF41, MMP9, PIK3CB, NRXN1, EFCAB11",https://www.malacards.org/card/body_mass_index_quantitative_trait_locus_11,Causative mutation,NRXN1,Liver,"EFCAB11, RNF41"
3.42,Amelogenesis Imperfecta,"Nephrological diseases, Oral diseases, Genetic diseases, Rare diseases, Fetal diseases",149,4,"CYP1A1, DNAL1, EGFR, PIK3CB",https://www.malacards.org/card/amelogenesis_imperfecta,,,,
3.41,Lynch Syndrome,"Gastrointestinal diseases, Reproductive diseases, Genetic diseases, Rare diseases, Cancer diseases",156,4,"TERT, PIK3CB, EGFR, FANCA",https://www.malacards.org/card/lynch_syndrome,,,,
3.40,Oral Submucous Fibrosis,"Gastrointestinal diseases, Oral diseases, Smell/Taste diseases, Rare diseases, Cancer diseases",27,3,"MMP9, MMP2, EGFR",https://www.malacards.org/card/oral_submucous_fibrosis,,,,
3.37,Brain Cancer,"Neuronal diseases, Mental diseases, Rare diseases, Cancer diseases",134,3,"EGFR, CYP1A1, TERT",https://www.malacards.org/card/brain_cancer,Causative mutation,EGFR,,
3.34,"Dyskeratosis Congenita, Autosomal Dominant 1","Skin diseases, Bone diseases, Immune diseases, Blood diseases, Neuronal diseases, Eye diseases, Genetic diseases, Rare diseases, Fetal diseases",19,2,"TERT, KCNK6",https://www.malacards.org/card/dyskeratosis_congenita_autosomal_dominant_1,"Causative mutation, Genetic tests",TERT,,
3.34,High Grade Glioma,"Neuronal diseases, Cancer diseases",154,4,"EGFR, MMP2, MMP9, TERT",https://www.malacards.org/card/high_grade_glioma,,,,
3.32,"Renal Cell Carcinoma, Papillary, 1","Nephrological diseases, Genetic diseases, Rare diseases, Cancer diseases",330,4,"HS3ST1, ELOC, SNAP25, TYRP1",https://www.malacards.org/card/renal_cell_carcinoma_papillary_1,Causative mutation,ELOC,Kidney,"HS3ST1, SNAP25, TYRP1"
3.31,Adrenal Cortical Carcinoma,"Nephrological diseases, Endocrine diseases, Rare diseases, Cancer diseases",153,3,"PIK3CB, EGFR, TERT",https://www.malacards.org/card/adrenal_cortical_carcinoma,Causative mutation,TERT,,
3.31,"Squamous Cell Carcinoma, Head And Neck","Gastrointestinal diseases, Genetic diseases, Rare diseases, Cancer diseases",459,4,"FANCA, EGFR, MMP9, MMP2",https://www.malacards.org/card/squamous_cell_carcinoma_head_and_neck,Drug response,EGFR,,
3.27,Neuroblastoma 1,"Endocrine diseases, Neuronal diseases, Genetic diseases, Rare diseases, Cancer diseases, Fetal diseases",876,8,"MMP9, NRXN1, BHMT2, H2BC11, NQO2, OLAH, TXK, STK35",https://www.malacards.org/card/neuroblastoma_1,,,"Adrenal Gland, Blood","BHMT2, H2BC11, MMP9, NQO2, NRXN1, OLAH, STK35, TXK"
3.22,Chromophobe Renal Cell Carcinoma,"Nephrological diseases, Rare diseases, Cancer diseases",410,4,"TYRP1, TERT, EGFR, PIK3CB",https://www.malacards.org/card/chromophobe_renal_cell_carcinoma,,,Kidney,TYRP1
3.21,West Syndrome,"Neuronal diseases, Mental diseases, Metabolic diseases, Rare diseases",171,3,"NRXN1, MLLT1, SNAP25",https://www.malacards.org/card/west_syndrome,Causative mutation,MLLT1,,
3.17,Melanoma,"Skin diseases, Eye diseases, Rare diseases, Cancer diseases",548,4,"PIK3CB, MMP2, TERT, TYRP1",https://www.malacards.org/card/melanoma,,,,
3.16,Parkinson'S Disease,"Muscle diseases, Neuronal diseases, Mental diseases, Eye diseases, Metabolic diseases, Genetic diseases, Rare diseases",403,4,"CYP1A1, MMP9, NQO2, SNAP25",https://www.malacards.org/card/parkinsons_disease,,,,
3.15,"3-Methylglutaconic Aciduria, Type Iii","Nephrological diseases, Neuronal diseases, Eye diseases, Metabolic diseases, Genetic diseases, Rare diseases",179,2,"ISCA2, SNAP25",https://www.malacards.org/card/3_methylglutaconic_aciduria_type_iii,Causative mutation,"ISCA2, SNAP25",,
3.13,Pulmonary Emphysema,Respiratory diseases,63,3,"MMP9, MMP2, GOLGA2",https://www.malacards.org/card/pulmonary_emphysema,,,Lung,GOLGA2
3.13,Medulloblastoma,"Skin diseases, Neuronal diseases, Genetic diseases, Rare diseases, Cancer diseases, Fetal diseases",351,4,"EGFR, PIK3CB, MMP9, TERT",https://www.malacards.org/card/medulloblastoma,,,,
3.11,Keratosis,Skin diseases,44,3,"MMP2, MMP9, EGFR",https://www.malacards.org/card/keratosis,,,,
3.11,Kartagener Syndrome,"Reproductive diseases, Genetic diseases, Rare diseases",51,3,"DNAJB13, DNAL1, CCDC39",https://www.malacards.org/card/kartagener_syndrome,,,,
3.11,"Leukemia, Acute Lymphoblastic","Immune diseases, Blood diseases, Genetic diseases, Rare diseases, Cancer diseases",298,4,"MLLT1, PIK3CB, CYP1A1, EGFR",https://www.malacards.org/card/leukemia_acute_lymphoblastic,,,,
3.10,Inherited Cancer-Predisposing Syndrome,"Rare diseases, Cancer diseases",119,2,"EGFR, TERT",https://www.malacards.org/card/inherited_cancer_predisposing_syndrome,Causative mutation,"EGFR, TERT",,
3.08,Lung Sarcomatoid Carcinoma,"Respiratory diseases, Cancer diseases",35,2,"TERT, EGFR",https://www.malacards.org/card/lung_sarcomatoid_carcinoma,Causative mutation,TERT,,
3.05,Breast Carcinoma In Situ,"Skin diseases, Reproductive diseases, Immune diseases, Genetic diseases, Rare diseases, Cancer diseases",51,3,"EGFR, MMP9, PIK3CB",https://www.malacards.org/card/breast_carcinoma_in_situ,,,,
3.00,Verrucous Papilloma,Cancer diseases,7,2,"CCDC39, KLHL8",https://www.malacards.org/card/verrucous_papilloma,,,,
3.00,Systemic Lupus Erythematosus,"Nephrological diseases, Skin diseases, Bone diseases, Immune diseases, Genetic diseases, Rare diseases",720,5,"CYP1A1, MMP9, MMP2, TXNDC12, WSB1",https://www.malacards.org/card/systemic_lupus_erythematosus,,,Blood,"TXNDC12, WSB1"
2.99,Pancreatic Adenocarcinoma,"Endocrine diseases, Cancer diseases",91,3,"MMP9, MMP2, EGFR",https://www.malacards.org/card/pancreatic_adenocarcinoma,,,,
2.97,Larynx Cancer,"Oral diseases, Respiratory diseases, Rare diseases, Cancer diseases",58,3,"EGFR, MMP2, TERT",https://www.malacards.org/card/larynx_cancer,,,,
2.97,Fibrosarcoma,"Bone diseases, Rare diseases, Cancer diseases",87,3,"EGFR, MMP9, MMP2",https://www.malacards.org/card/fibrosarcoma,,,,
2.96,Brain Glioma,"Neuronal diseases, Cancer diseases",60,3,"EGFR, PIK3CB, TERT",https://www.malacards.org/card/brain_glioma,,,,
2.94,Spastic Quadriplegic Cerebral Palsy,"Neuronal diseases, Genetic diseases, Rare diseases",47,2,"VPS53, ISCA2",https://www.malacards.org/card/spastic_quadriplegic_cerebral_palsy,Causative mutation,ISCA2,,
2.92,"Amelogenesis Imperfecta, Type Ig","Nephrological diseases, Oral diseases, Genetic diseases, Rare diseases, Fetal diseases",66,3,"CYP1A1, EGFR, PIK3CB",https://www.malacards.org/card/amelogenesis_imperfecta_type_ig,,,,
2.92,Low Grade Glioma,"Neuronal diseases, Cancer diseases",67,3,"EGFR, PIK3CB, TERT",https://www.malacards.org/card/low_grade_glioma,,,,
2.90,Central Nervous System Benign Neoplasm,"Neuronal diseases, Cancer diseases",70,3,"EGFR, PIK3CB, TERT",https://www.malacards.org/card/central_nervous_system_benign_neoplasm,,,,
2.89,Stereotypic Movement Disorder,"Mental diseases, Eye diseases",43,2,"NRXN1, SNAP25",https://www.malacards.org/card/stereotypic_movement_disorder,Causative mutation,SNAP25,,
2.88,Bone Cancer,"Bone diseases, Rare diseases, Cancer diseases",74,3,"PIK3CB, MMP9, EGFR",https://www.malacards.org/card/bone_cancer,,,,
2.87,Spinal Cord Disease,Neuronal diseases,75,3,"PIK3CB, EGFR, TERT",https://www.malacards.org/card/spinal_cord_disease,,,,
2.86,Basal Cell Nevus Syndrome 1,"Skin diseases, Neuronal diseases, Oral diseases, Genetic diseases, Rare diseases, Cancer diseases, Fetal diseases",71,3,"EGFR, PIK3CB, TERT",https://www.malacards.org/card/basal_cell_nevus_syndrome_1,,,,
2.84,Bile Duct Cancer,"Gastrointestinal diseases, Liver diseases, Skin diseases, Cancer diseases",80,3,"MMP2, PIK3CB, EGFR",https://www.malacards.org/card/bile_duct_cancer,,,,
2.83,Chromosome 2p16.3 Deletion Syndrome,"Mental diseases, Genetic diseases",1,1,NRXN1,https://www.malacards.org/card/chromosome_2p163_deletion_syndrome,"Causative mutation, Risk factor, Genetic tests",NRXN1,,
2.83,Metaphyseal Anadysplasia 2,"Bone diseases, Genetic diseases, Rare diseases, Fetal diseases",1,1,MMP9,https://www.malacards.org/card/metaphyseal_anadysplasia_2,"Causative mutation, Genetic tests",MMP9,,
2.83,"Aspartate Aminotransferase, Serum Level Of, Quantitative Trait Locus 1",Genetic diseases,1,1,GOT1,https://www.malacards.org/card/aspartate_aminotransferase_serum_level_of_quantitative_trait_locus_1,"Causative mutation, Genetic tests",GOT1,,
2.83,"Developmental Delay With Hypotonia, Myopathy, And Brain Abnormalities",Genetic diseases,1,1,GOLGA2,https://www.malacards.org/card/developmental_delay_with_hypotonia_myopathy_and_brain_abnormalities,Causative mutation,GOLGA2,,
2.83,"Ciliary Dyskinesia, Primary, 16","Reproductive diseases, Respiratory diseases, Ear diseases, Genetic diseases, Rare diseases, Fetal diseases",1,1,DNAL1,https://www.malacards.org/card/ciliary_dyskinesia_primary_16,"Causative mutation, Genetic tests",DNAL1,,
2.83,Immunodeficiency 86,"Immune diseases, Genetic diseases",1,1,SPPL2A,https://www.malacards.org/card/immunodeficiency_86,Causative mutation,SPPL2A,,
2.83,Memory Quantitative Trait Locus,Genetic diseases,1,1,WWC1,https://www.malacards.org/card/memory_quantitative_trait_locus,"Causative mutation, Unconfirmed association, Genetic tests",WWC1,,
2.83,"Hyperopia, High",,1,1,NRXN1,https://www.malacards.org/card/hyperopia_high,Causative mutation,NRXN1,,
2.83,"Ciliary Dyskinesia, Primary, 34","Reproductive diseases, Respiratory diseases, Ear diseases, Genetic diseases, Rare diseases, Fetal diseases",1,1,DNAJB13,https://www.malacards.org/card/ciliary_dyskinesia_primary_34,"Causative mutation, Genetic tests",DNAJB13,,
2.83,Glycosylphosphatidylinositol Biosynthesis Defect 25,"Bone diseases, Blood diseases, Neuronal diseases, Mental diseases, Cardiovascular diseases, Genetic diseases, Rare diseases, Fetal diseases",2,1,RPL17-C18orf32,https://www.malacards.org/card/glycosylphosphatidylinositol_biosynthesis_defect_25,Causative mutation,RPL17-C18orf32,,
2.83,Nizon-Isidor Syndrome,"Neuronal diseases, Oral diseases, Mental diseases, Genetic diseases",2,1,MED12L,https://www.malacards.org/card/nizon_isidor_syndrome,Causative mutation,MED12L,,
2.83,"Melanoma, Cutaneous Malignant 9","Nephrological diseases, Skin diseases, Endocrine diseases, Genetic diseases, Rare diseases, Cancer diseases",2,1,TERT,https://www.malacards.org/card/melanoma_cutaneous_malignant_9_2,"Causative mutation, Risk factor, Genetic tests",TERT,,
2.83,Sedoheptulokinase Deficiency,"Nephrological diseases, Metabolic diseases, Genetic diseases, Rare diseases",2,1,SHPK,https://www.malacards.org/card/sedoheptulokinase_deficiency,"Causative mutation, Unconfirmed association, Genetic tests",SHPK,,
2.83,"Multicentric Osteolysis, Nodulosis, And Arthropathy","Nephrological diseases, Skin diseases, Bone diseases, Genetic diseases, Rare diseases, Fetal diseases",2,1,MMP2,https://www.malacards.org/card/multicentric_osteolysis_nodulosis_and_arthropathy,Causative mutation,MMP2,,
2.83,Neonatal Inflammatory Skin And Bowel Disease,"Gastrointestinal diseases, Skin diseases, Bone diseases, Blood diseases, Neuronal diseases, Genetic diseases, Rare diseases",2,1,EGFR,https://www.malacards.org/card/neonatal_inflammatory_skin_and_bowel_disease,Causative mutation,EGFR,,
2.83,"Pulmonary Fibrosis And/Or Bone Marrow Failure Syndrome, Telomere-Related, 1","Bone diseases, Immune diseases, Respiratory diseases, Genetic diseases, Cancer diseases",2,1,TERT,https://www.malacards.org/card/pulmonary_fibrosis_and_or_bone_marrow_failure_syndrome_telomere_related_1,"Causative mutation, Genetic tests",TERT,,
2.83,Metaphyseal Anadysplasia,"Bone diseases, Genetic diseases, Rare diseases, Fetal diseases",2,1,MMP9,https://www.malacards.org/card/metaphyseal_anadysplasia,Causative mutation,MMP9,,
2.83,"Skin/Hair/Eye Pigmentation, Variation In, 11","Skin diseases, Eye diseases, Genetic diseases",2,1,TYRP1,https://www.malacards.org/card/skin_hair_eye_pigmentation_variation_in_11,"Causative mutation, Unconfirmed association, Genetic tests",TYRP1,,
2.83,"Inflammatory Skin And Bowel Disease, Neonatal, 2","Gastrointestinal diseases, Skin diseases, Bone diseases, Blood diseases, Neuronal diseases, Genetic diseases, Rare diseases",2,1,EGFR,https://www.malacards.org/card/inflammatory_skin_and_bowel_disease_neonatal_2,"Causative mutation, Unconfirmed association, Genetic tests",EGFR,,
2.83,"Adrenal Hyperplasia, Congenital, Due To 17-Alpha-Hydroxylase Deficiency","Reproductive diseases, Endocrine diseases, Genetic diseases, Rare diseases, Fetal diseases",3,1,CYB5A,https://www.malacards.org/card/adrenal_hyperplasia_congenital_due_to_17_alpha_hydroxylase_deficiency,Causative mutation,CYB5A,,
2.83,Multicentric Osteolysis-Nodulosis-Arthropathy Spectrum,"Nephrological diseases, Skin diseases, Bone diseases, Genetic diseases, Rare diseases, Fetal diseases",3,1,MMP2,https://www.malacards.org/card/multicentric_osteolysis_nodulosis_arthropathy_spectrum,Causative mutation,MMP2,,
2.83,"Ciliary Dyskinesia, Primary, 14","Reproductive diseases, Respiratory diseases, Ear diseases, Genetic diseases, Rare diseases, Fetal diseases",5,1,CCDC39,https://www.malacards.org/card/ciliary_dyskinesia_primary_14,"Causative mutation, Genetic tests",CCDC39,,
2.83,"Myasthenic Syndrome, Congenital, 18","Muscle diseases, Neuronal diseases, Mental diseases, Eye diseases, Respiratory diseases, Genetic diseases, Rare diseases, Fetal diseases",6,1,SNAP25,https://www.malacards.org/card/myasthenic_syndrome_congenital_18,"Causative mutation, Unconfirmed association, Genetic tests",SNAP25,,
2.83,Tongue Disease,"Gastrointestinal diseases, Oral diseases, Smell/Taste diseases",81,3,"EGFR, PIK3CB, MMP9",https://www.malacards.org/card/tongue_disease,,,,
2.82,"Renal Cell Carcinoma, Nonpapillary","Nephrological diseases, Genetic diseases, Cancer diseases",361,3,"TYRP1, ELOC, EGFR",https://www.malacards.org/card/renal_cell_carcinoma_nonpapillary,Causative mutation,ELOC,Kidney,"EGFR, TYRP1"
2.82,Rheumatoid Arthritis,"Bone diseases, Immune diseases, Respiratory diseases, Genetic diseases, Rare diseases",674,4,"EGFR, MMP2, MMP9, OLAH",https://www.malacards.org/card/rheumatoid_arthritis,,,Cartilage,EGFR
2.80,Loeys-Dietz Syndrome,"Skin diseases, Bone diseases, Eye diseases, Cardiovascular diseases, Genetic diseases, Rare diseases, Fetal diseases",81,3,"MMP9, MMP2, MFAP2",https://www.malacards.org/card/loeys_dietz_syndrome,,,,
