"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3","microRNA 4","microRNA 5","microRNA 6","microRNA 7"
"PPIB","0.00223","0.228","0.0903","3","hsa-miR-6784-5p","hsa-miR-3184-5p","hsa-miR-4481","","","",""
"PPP1R14A","0.00295","0.228","0.0423","2","hsa-miR-1228-5p","hsa-miR-6784-5p","","","","",""
"RPS6KA4","0.00300","0.228","0.157","4","hsa-miR-3184-5p","hsa-miR-4481","hsa-miR-6857-5p","hsa-miR-92a-2-5p","","",""
"RTN4RL2","0.00295","0.228","0.0423","2","hsa-miR-128-1-5p","hsa-miR-1203","","","","",""
"SDK1","0.00223","0.228","0.0903","3","hsa-miR-125a-3p","hsa-miR-128-1-5p","hsa-miR-6784-5p","","","",""
"SHANK3","0.00266","0.228","0.0959","3","hsa-miR-125a-3p","hsa-miR-128-1-5p","hsa-miR-3184-5p","","","",""
"SUMO1","0.00323","0.235","0.212","5","hsa-miR-6857-5p","hsa-miR-4276","hsa-miR-4481","hsa-miR-92a-2-5p","hsa-miR-125a-3p","",""
"ARRB2","0.00340","0.238","0.104","3","hsa-miR-3184-5p","hsa-miR-125a-3p","hsa-miR-6857-5p","","","",""
"AFG1L","0.00429","0.263","0.0508","2","hsa-miR-1228-5p","hsa-miR-4730","","","","",""
"KCNN3","0.00436","0.263","0.174","4","hsa-miR-92a-2-5p","hsa-miR-6857-5p","hsa-miR-125a-3p","hsa-miR-6729-5p","","",""
"MSI1","0.00425","0.263","0.113","3","hsa-miR-6805-5p","hsa-miR-3180","hsa-miR-6857-5p","","","",""
"SNX11","0.00425","0.263","0.113","3","hsa-miR-4481","hsa-miR-575","hsa-miR-6729-5p","","","",""
"ATL2","0.00488","0.275","0.119","3","hsa-miR-1228-5p","hsa-miR-7110-5p","hsa-miR-92a-2-5p","","","",""
"NFIC","0.00480","0.275","0.322","7","hsa-miR-125a-3p","hsa-miR-4481","hsa-miR-6729-5p","hsa-miR-6805-5p","hsa-miR-6857-5p","hsa-miR-7110-5p","hsa-miR-92a-2-5p"
"ADIRF","0.00504","0.276","0.0550","2","hsa-miR-3184-5p","hsa-miR-6805-5p","","","","",""
"SETD1B","0.00545","0.289","0.239","5","hsa-miR-3940-5p","hsa-miR-7110-5p","hsa-miR-4481","hsa-miR-8069","hsa-miR-92a-2-5p","",""
"DDA1","0.00610","0.296","0.190","4","hsa-miR-92a-2-5p","hsa-miR-7110-5p","hsa-miR-4481","hsa-miR-6805-5p","","",""
"OTUB1","0.00594","0.296","0.127","3","hsa-miR-3180","hsa-miR-6805-5p","hsa-miR-7110-5p","","","",""
"PTPRF","0.00610","0.296","0.190","4","hsa-miR-575","hsa-miR-4730","hsa-miR-7110-5p","hsa-miR-4787-5p","","",""
"KCNK3","0.00632","0.299","0.130","3","hsa-miR-7110-5p","hsa-miR-3180","hsa-miR-3184-5p","","","",""
"AP1S1","0.00988","0.307","0.152","3","hsa-miR-4276","hsa-miR-6805-5p","hsa-miR-7110-5p","","","",""
"COLGALT1","0.00843","0.307","0.144","3","hsa-miR-4648","hsa-miR-125a-3p","hsa-miR-128-1-5p","","","",""
"CTXN1","0.00988","0.307","0.152","3","hsa-miR-4787-5p","hsa-miR-7110-5p","hsa-miR-92a-2-5p","","","",""
"DYNAP","0.00964","0.307","0.0762","2","hsa-miR-6857-5p","hsa-miR-575","","","","",""
"ENG","0.00862","0.307","0.0720","2","hsa-miR-1228-5p","hsa-miR-3180","","","","",""
"GPRIN1","0.0107","0.307","0.0804","2","hsa-miR-6784-5p","hsa-miR-3184-5p","","","","",""
"HDAC7","0.00964","0.307","0.0762","2","hsa-miR-1203","hsa-miR-575","","","","",""
"HEMK1","0.00764","0.307","0.0677","2","hsa-miR-92a-2-5p","hsa-miR-7110-5p","","","","",""
"HIST1H2BE","0.0107","0.307","0.0804","2","hsa-miR-3940-5p","hsa-miR-4481","","","","",""
"HIST1H2BL","0.00862","0.307","0.0720","2","hsa-miR-3940-5p","hsa-miR-4481","","","","",""
"KCNE3","0.0107","0.307","0.0804","2","hsa-miR-92a-2-5p","hsa-miR-7110-5p","","","","",""
"MAP2K3","0.00798","0.307","0.141","3","hsa-miR-128-1-5p","hsa-miR-4481","hsa-miR-92a-2-5p","","","",""
"MIDN","0.00772","0.307","0.308","6","hsa-miR-3180","hsa-miR-4481","hsa-miR-7110-5p","hsa-miR-92a-2-5p","hsa-miR-3184-5p","hsa-miR-6729-5p",""
"PNMA8B","0.00938","0.307","0.150","3","hsa-miR-3184-5p","hsa-miR-125a-3p","hsa-miR-6784-5p","","","",""
"RICTOR","0.00890","0.307","0.147","3","hsa-miR-92a-2-5p","hsa-miR-7110-5p","hsa-miR-8069","","","",""
"RNF40","0.00739","0.307","0.201","4","hsa-miR-128-1-5p","hsa-miR-6805-5p","hsa-miR-92a-2-5p","hsa-miR-7110-5p","","",""
"SLITRK5","0.0107","0.307","0.0804","2","hsa-miR-3180","hsa-miR-3184-5p","","","","",""
"STRN4","0.00862","0.307","0.0720","2","hsa-miR-3184-5p","hsa-miR-6784-5p","","","","",""
"THBS1","0.00739","0.307","0.201","4","hsa-miR-4276","hsa-miR-6857-5p","hsa-miR-92a-2-5p","hsa-miR-125a-3p","","",""
"UNK","0.00739","0.307","0.201","4","hsa-miR-4481","hsa-miR-3180","hsa-miR-3184-5p","hsa-miR-6784-5p","","",""
"VPS36","0.00862","0.307","0.0720","2","hsa-miR-125a-3p","hsa-miR-575","","","","",""
"VPS72","0.00672","0.307","0.0635","2","hsa-miR-6857-5p","hsa-miR-92a-2-5p","","","","",""
"WFIKKN2","0.0107","0.307","0.0804","2","hsa-miR-128-1-5p","hsa-miR-3184-5p","","","","",""
"ZNF764","0.00964","0.307","0.0762","2","hsa-miR-6857-5p","hsa-miR-92a-2-5p","","","","",""
"SESTD1","0.0109","0.308","0.158","3","hsa-miR-92a-2-5p","hsa-miR-7110-5p","hsa-miR-3180","","","",""
"LSP1","0.0119","0.319","0.0846","2","hsa-miR-575","hsa-miR-3180","","","","",""
"NKX2-2","0.0119","0.319","0.0846","2","hsa-miR-92a-2-5p","hsa-miR-128-1-5p","","","","",""
"TOLLIP","0.0119","0.319","0.0846","2","hsa-miR-1203","hsa-miR-6805-5p","","","","",""
"BICDL1","0.0157","0.355","0.181","3","hsa-miR-3180","hsa-miR-128-1-5p","hsa-miR-3184-5p","","","",""
"CFL1","0.0144","0.355","0.175","3","hsa-miR-6805-5p","hsa-miR-6857-5p","hsa-miR-92a-2-5p","","","",""
"EN1","0.0155","0.355","0.0973","2","hsa-miR-128-1-5p","hsa-miR-3184-5p","","","","",""
"FAM43A","0.0155","0.355","0.0973","2","hsa-miR-3180","hsa-miR-128-1-5p","","","","",""
"MAPK8IP2","0.0143","0.355","0.0931","2","hsa-miR-92a-2-5p","hsa-miR-3180","","","","",""
"MCM5","0.0169","0.355","0.102","2","hsa-miR-3184-5p","hsa-miR-6729-5p","","","","",""
"NIPA2","0.0169","0.355","0.102","2","hsa-miR-4481","hsa-miR-6857-5p","","","","",""
"POLD3","0.0138","0.355","0.172","3","hsa-miR-4481","hsa-miR-6765-5p","hsa-miR-575","","","",""
"RHOXF2B","0.0169","0.355","0.102","2","hsa-miR-92a-2-5p","hsa-miR-7110-5p","","","","",""
"RPTN","0.0169","0.355","0.102","2","hsa-miR-3940-5p","hsa-miR-128-1-5p","","","","",""
"RRAD","0.0144","0.355","0.175","3","hsa-miR-6857-5p","hsa-miR-92a-2-5p","hsa-miR-125a-3p","","","",""
"RUNX3","0.0164","0.355","0.183","3","hsa-miR-7110-5p","hsa-miR-6805-5p","hsa-miR-3180","","","",""
"SMYD5","0.0155","0.355","0.0973","2","hsa-miR-125a-3p","hsa-miR-128-1-5p","","","","",""
"SYNGR1","0.0157","0.355","0.181","3","hsa-miR-1228-5p","hsa-miR-3180","hsa-miR-3184-5p","","","",""
"VPS51","0.0155","0.355","0.0973","2","hsa-miR-3180","hsa-miR-4787-5p","","","","",""
"ATG2A","0.0178","0.366","0.189","3","hsa-miR-6805-5p","hsa-miR-3180","hsa-miR-4276","","","",""
"PEA15","0.0178","0.366","0.189","3","hsa-miR-3184-5p","hsa-miR-3940-5p","hsa-miR-92a-2-5p","","","",""
"CHTF8","0.0182","0.371","0.106","2","hsa-miR-6869-5p","hsa-miR-3184-5p","","","","",""
"ALDOA","0.0187","0.377","0.322","5","hsa-miR-4787-5p","hsa-miR-125a-3p","hsa-miR-6869-5p","hsa-miR-4481","hsa-miR-6805-5p","",""
"REPIN1","0.0200","0.397","0.198","3","hsa-miR-6805-5p","hsa-miR-3180","hsa-miR-575","","","",""
"TRAF6","0.0207","0.407","0.200","3","hsa-miR-6869-5p","hsa-miR-6765-5p","hsa-miR-92a-2-5p","","","",""
"RAB2A","0.0211","0.411","0.114","2","hsa-miR-6869-5p","hsa-miR-7110-5p","","","","",""
"C10orf111","0.0226","0.417","0.119","2","hsa-miR-6765-5p","hsa-miR-1203","","","","",""
"EPN1","0.0226","0.417","0.119","2","hsa-miR-92a-2-5p","hsa-miR-6784-5p","","","","",""
"FXYD1","0.0226","0.417","0.119","2","hsa-miR-3180","hsa-miR-6805-5p","","","","",""
"KDM6B","0.0222","0.417","0.277","4","hsa-miR-4481","hsa-miR-1203","hsa-miR-125a-3p","hsa-miR-92a-2-5p","","",""
"ZNF677","0.0226","0.417","0.119","2","hsa-miR-575","hsa-miR-6869-5p","","","","",""
"DUS2","0.0242","0.432","0.123","2","hsa-miR-6805-5p","hsa-miR-7110-5p","","","","",""
"ZC3H7B","0.0240","0.432","0.212","3","hsa-miR-125a-3p","hsa-miR-4481","hsa-miR-7110-5p","","","",""
"ZNF516","0.0240","0.432","0.212","3","hsa-miR-575","hsa-miR-3180","hsa-miR-4481","","","",""
"CBARP","0.0258","0.451","0.127","2","hsa-miR-3180","hsa-miR-6729-5p","","","","",""
"HAAO","0.0258","0.451","0.127","2","hsa-miR-128-1-5p","hsa-miR-4787-5p","","","","",""
"ANKS1A","0.0362","0.459","0.152","2","hsa-miR-125a-3p","hsa-miR-6765-5p","","","","",""
"ARL8A","0.0312","0.459","0.234","3","hsa-miR-7110-5p","hsa-miR-3184-5p","hsa-miR-1228-5p","","","",""
"ARRB1","0.0400","0.459","0.161","2","hsa-miR-92a-2-5p","hsa-miR-125a-3p","","","","",""
"ASCL2","0.0381","0.459","0.157","2","hsa-miR-3180","hsa-miR-3184-5p","","","","",""
"ASPH","0.0344","0.459","0.148","2","hsa-miR-8069","hsa-miR-3184-5p","","","","",""
"C19orf53","0.0344","0.459","0.148","2","hsa-miR-7110-5p","hsa-miR-6805-5p","","","","",""
"CACNB2","0.0362","0.459","0.152","2","hsa-miR-125a-3p","hsa-miR-6857-5p","","","","",""
"CARD10","0.0291","0.459","0.135","2","hsa-miR-92a-2-5p","hsa-miR-4481","","","","",""
"CASP16P","0.0312","0.459","0.234","3","hsa-miR-4648","hsa-miR-3180","hsa-miR-6784-5p","","","",""
"CASZ1","0.0420","0.459","0.165","2","hsa-miR-3184-5p","hsa-miR-6784-5p","","","","",""
"CD276","0.0420","0.459","0.165","2","hsa-miR-7110-5p","hsa-miR-92a-2-5p","","","","",""
"CHCHD4","0.0326","0.459","0.144","2","hsa-miR-6765-5p","hsa-miR-575","","","","",""
"CLCN7","0.0274","0.459","0.131","2","hsa-miR-3180","hsa-miR-3184-5p","","","","",""
"CNKSR3","0.0270","0.459","0.294","4","hsa-miR-6857-5p","hsa-miR-6869-5p","hsa-miR-575","hsa-miR-6784-5p","","",""
"CSK","0.0291","0.459","0.135","2","hsa-miR-3180","hsa-miR-92a-2-5p","","","","",""
"CTDNEP1","0.0284","0.459","0.226","3","hsa-miR-3184-5p","hsa-miR-125a-3p","hsa-miR-128-1-5p","","","",""
"E2F4","0.0308","0.459","0.140","2","hsa-miR-7110-5p","hsa-miR-92a-2-5p","","","","",""
"ECE1","0.0342","0.459","0.243","3","hsa-miR-4481","hsa-miR-4787-5p","hsa-miR-6765-5p","","","",""
"FKBP4","0.0291","0.459","0.135","2","hsa-miR-4787-5p","hsa-miR-7110-5p","","","","",""
"FTSJ3","0.0308","0.459","0.140","2","hsa-miR-92a-2-5p","hsa-miR-7110-5p","","","","",""
"HPCAL1","0.0400","0.459","0.161","2","hsa-miR-6784-5p","hsa-miR-125a-3p","","","","",""
"IER2","0.0400","0.459","0.161","2","hsa-miR-4787-5p","hsa-miR-7110-5p","","","","",""
"IFITM3","0.0344","0.459","0.148","2","hsa-miR-6729-5p","hsa-miR-6784-5p","","","","",""
"IL21R","0.0381","0.459","0.157","2","hsa-miR-6857-5p","hsa-miR-128-1-5p","","","","",""
"ITPRIPL2","0.0373","0.459","0.251","3","hsa-miR-3184-5p","hsa-miR-575","hsa-miR-125a-3p","","","",""
"MEIS3P1","0.0400","0.459","0.161","2","hsa-miR-3940-5p","hsa-miR-4481","","","","",""
"MFRP","0.0362","0.459","0.152","2","hsa-miR-92a-2-5p","hsa-miR-7110-5p","","","","",""
"MIOX","0.0420","0.459","0.165","2","hsa-miR-4648","hsa-miR-92a-2-5p","","","","",""
"MMP17","0.0400","0.459","0.161","2","hsa-miR-3184-5p","hsa-miR-6805-5p","","","","",""
"MTHFR","0.0420","0.459","0.165","2","hsa-miR-92a-2-5p","hsa-miR-125a-3p","","","","",""
"NDEL1","0.0308","0.459","0.140","2","hsa-miR-6765-5p","hsa-miR-1203","","","","",""
"NLE1","0.0274","0.459","0.131","2","hsa-miR-7110-5p","hsa-miR-92a-2-5p","","","","",""
"PDE4A","0.0400","0.459","0.161","2","hsa-miR-6729-5p","hsa-miR-6805-5p","","","","",""
"PFKFB2","0.0274","0.459","0.131","2","hsa-miR-4481","hsa-miR-125a-3p","","","","",""
"POU3F1","0.0420","0.459","0.165","2","hsa-miR-3180","hsa-miR-4787-5p","","","","",""
"PRELP","0.0420","0.459","0.165","2","hsa-miR-6805-5p","hsa-miR-92a-2-5p","","","","",""
"PRSS8","0.0400","0.459","0.161","2","hsa-miR-1203","hsa-miR-92a-2-5p","","","","",""
"RHBDD1","0.0326","0.459","0.144","2","hsa-miR-6765-5p","hsa-miR-6857-5p","","","","",""
"RHOA","0.0395","0.459","0.257","3","hsa-miR-125a-3p","hsa-miR-128-1-5p","hsa-miR-92a-2-5p","","","",""
"SCAMP3","0.0400","0.459","0.161","2","hsa-miR-3940-5p","hsa-miR-3180","","","","",""
"SELENON","0.0417","0.459","0.262","3","hsa-miR-1228-5p","hsa-miR-4481","hsa-miR-6784-5p","","","",""
"SEPT9","0.0381","0.459","0.157","2","hsa-miR-128-1-5p","hsa-miR-3184-5p","","","","",""
"SH3BP1","0.0291","0.459","0.135","2","hsa-miR-7110-5p","hsa-miR-92a-2-5p","","","","",""
"SLC29A2","0.0326","0.459","0.144","2","hsa-miR-6857-5p","hsa-miR-4481","","","","",""
"SLC36A1","0.0326","0.459","0.144","2","hsa-miR-1228-5p","hsa-miR-6729-5p","","","","",""
"SOX12","0.0420","0.459","0.165","2","hsa-miR-3184-5p","hsa-miR-6805-5p","","","","",""
"SPART","0.0400","0.459","0.161","2","hsa-miR-4276","hsa-miR-92a-2-5p","","","","",""
"TEX261","0.0342","0.459","0.243","3","hsa-miR-7110-5p","hsa-miR-6857-5p","hsa-miR-92a-2-5p","","","",""
"TFAP2B","0.0400","0.459","0.161","2","hsa-miR-128-1-5p","hsa-miR-4276","","","","",""
"THY1","0.0291","0.459","0.135","2","hsa-miR-1228-5p","hsa-miR-6729-5p","","","","",""
"VSIR","0.0326","0.459","0.144","2","hsa-miR-92a-2-5p","hsa-miR-7110-5p","","","","",""
"ZBTB22","0.0420","0.459","0.165","2","hsa-miR-92a-2-5p","hsa-miR-1228-5p","","","","",""
"ZBTB47","0.0326","0.459","0.144","2","hsa-miR-92a-2-5p","hsa-miR-7110-5p","","","","",""
"ZC3H12D","0.0308","0.459","0.140","2","hsa-miR-7110-5p","hsa-miR-92a-2-5p","","","","",""
"ZNF251","0.0344","0.459","0.148","2","hsa-miR-7110-5p","hsa-miR-92a-2-5p","","","","",""
"ZNF609","0.0384","0.459","0.254","3","hsa-miR-1203","hsa-miR-3184-5p","hsa-miR-8069","","","",""
"PKM","0.0424","0.460","0.339","4","hsa-miR-4481","hsa-miR-4648","hsa-miR-7110-5p","hsa-miR-92a-2-5p","","",""
"ATG9A","0.0429","0.463","0.265","3","hsa-miR-3184-5p","hsa-miR-4648","hsa-miR-6729-5p","","","",""
"AHDC1","0.0439","0.466","0.169","2","hsa-miR-3184-5p","hsa-miR-6805-5p","","","","",""
"RNF185","0.0439","0.466","0.169","2","hsa-miR-6805-5p","hsa-miR-92a-2-5p","","","","",""
"ZNF787","0.0439","0.466","0.169","2","hsa-miR-3184-5p","hsa-miR-6805-5p","","","","",""
"NPLOC4","0.0452","0.476","0.271","3","hsa-miR-4481","hsa-miR-4648","hsa-miR-6857-5p","","","",""
"ANKRD13B","0.0480","0.484","0.178","2","hsa-miR-92a-2-5p","hsa-miR-3184-5p","","","","",""
"ASNA1","0.0501","0.484","0.182","2","hsa-miR-7110-5p","hsa-miR-92a-2-5p","","","","",""
"CYP2B6","0.0501","0.484","0.182","2","hsa-miR-7110-5p","hsa-miR-4787-5p","","","","",""
"GPS1","0.0480","0.484","0.178","2","hsa-miR-7110-5p","hsa-miR-92a-2-5p","","","","",""
"LAT2","0.0480","0.484","0.178","2","hsa-miR-4648","hsa-miR-6857-5p","","","","",""
"REXO1","0.0501","0.484","0.282","3","hsa-miR-92a-2-5p","hsa-miR-1203","hsa-miR-3180","","","",""
"SEPT14","0.0501","0.484","0.182","2","hsa-miR-6784-5p","hsa-miR-6765-5p","","","","",""
"TNRC18P2","0.0480","0.484","0.178","2","hsa-miR-92a-2-5p","hsa-miR-7110-5p","","","","",""
"TOB2","0.0488","0.484","0.279","3","hsa-miR-92a-2-5p","hsa-miR-4481","hsa-miR-125a-3p","","","",""
"C22orf39","0.0522","0.494","0.186","2","hsa-miR-125a-3p","hsa-miR-3184-5p","","","","",""
"FAM234B","0.0522","0.494","0.186","2","hsa-miR-575","hsa-miR-6729-5p","","","","",""
"HOXA7","0.0522","0.494","0.186","2","hsa-miR-6857-5p","hsa-miR-7110-5p","","","","",""
"NRGN","0.0522","0.494","0.186","2","hsa-miR-3180","hsa-miR-4648","","","","",""
"NPTXR","0.0526","0.495","0.288","3","hsa-miR-125a-3p","hsa-miR-3184-5p","hsa-miR-4481","","","",""
"SPSB1","0.0544","0.503","0.190","2","hsa-miR-4787-5p","hsa-miR-7110-5p","","","","",""
"TCF3","0.0544","0.503","0.190","2","hsa-miR-7110-5p","hsa-miR-92a-2-5p","","","","",""
"TMEM81","0.0544","0.503","0.190","2","hsa-miR-92a-2-5p","hsa-miR-8069","","","","",""
"NF2","0.0552","0.505","0.293","3","hsa-miR-3184-5p","hsa-miR-6729-5p","hsa-miR-1228-5p","","","",""
"PIGO","0.0552","0.505","0.293","3","hsa-miR-128-1-5p","hsa-miR-125a-3p","hsa-miR-6869-5p","","","",""
"APH1A","0.0588","0.507","0.199","2","hsa-miR-6857-5p","hsa-miR-92a-2-5p","","","","",""
"CAPN15","0.0592","0.507","0.302","3","hsa-miR-92a-2-5p","hsa-miR-7110-5p","hsa-miR-3184-5p","","","",""
"LSG1","0.0588","0.507","0.199","2","hsa-miR-1228-5p","hsa-miR-575","","","","",""
"MYH11","0.0566","0.507","0.195","2","hsa-miR-128-1-5p","hsa-miR-4481","","","","",""
"PDE4C","0.0592","0.507","0.302","3","hsa-miR-1203","hsa-miR-6869-5p","hsa-miR-125a-3p","","","",""
"RXRB","0.0588","0.507","0.199","2","hsa-miR-3180","hsa-miR-6805-5p","","","","",""
"TMEM67","0.0588","0.507","0.199","2","hsa-miR-4481","hsa-miR-8069","","","","",""
"ZBTB46","0.0592","0.507","0.302","3","hsa-miR-128-1-5p","hsa-miR-3184-5p","hsa-miR-7110-5p","","","",""
"ZKSCAN1","0.0566","0.507","0.195","2","hsa-miR-6869-5p","hsa-miR-125a-3p","","","","",""
"ZMIZ1","0.0566","0.507","0.195","2","hsa-miR-4648","hsa-miR-8069","","","","",""
"ZNF43","0.0588","0.507","0.199","2","hsa-miR-6729-5p","hsa-miR-125a-3p","","","","",""
"ANKRD42","0.0610","0.513","0.203","2","hsa-miR-3184-5p","hsa-miR-4276","","","","",""
"ASB16","0.0610","0.513","0.381","4","hsa-miR-92a-2-5p","hsa-miR-4481","hsa-miR-3180","hsa-miR-7110-5p","","",""
"CCDC127","0.0610","0.513","0.203","2","hsa-miR-6869-5p","hsa-miR-6765-5p","","","","",""
"TACR3","0.0610","0.513","0.203","2","hsa-miR-4276","hsa-miR-3184-5p","","","","",""
"CDH6","0.0656","0.519","0.212","2","hsa-miR-92a-2-5p","hsa-miR-125a-3p","","","","",""
"CIAPIN1","0.0633","0.519","0.207","2","hsa-miR-6857-5p","hsa-miR-6805-5p","","","","",""
"FUT1","0.0633","0.519","0.207","2","hsa-miR-8069","hsa-miR-4648","","","","",""
"NAB2","0.0656","0.519","0.212","2","hsa-miR-6784-5p","hsa-miR-7110-5p","","","","",""
"NDUFB11","0.0633","0.519","0.207","2","hsa-miR-7110-5p","hsa-miR-92a-2-5p","","","","",""
"RAI1","0.0633","0.519","0.207","2","hsa-miR-128-1-5p","hsa-miR-6784-5p","","","","",""
"ABCC5","0.0703","0.530","0.220","2","hsa-miR-3184-5p","hsa-miR-6805-5p","","","","",""
"AGO2","0.244","0.530","0.635","4","hsa-miR-125a-3p","hsa-miR-3940-5p","hsa-miR-92a-2-5p","hsa-miR-6765-5p","","",""
"AK2","0.0953","0.530","0.262","2","hsa-miR-3184-5p","hsa-miR-125a-3p","","","","",""
"ALG14","0.182","0.530","0.389","2","hsa-miR-575","hsa-miR-6729-5p","","","","",""
"ANKRD45","0.0776","0.530","0.233","2","hsa-miR-7110-5p","hsa-miR-4787-5p","","","","",""
"APEX1","0.0727","0.530","0.224","2","hsa-miR-6805-5p","hsa-miR-3184-5p","","","","",""
"ARL4C","0.120","0.530","0.301","2","hsa-miR-7110-5p","hsa-miR-92a-2-5p","","","","",""
"ARL5C","0.117","0.530","0.296","2","hsa-miR-1203","hsa-miR-6805-5p","","","","",""
"B3GALNT2","0.111","0.530","0.288","2","hsa-miR-92a-2-5p","hsa-miR-6729-5p","","","","",""
"BAK1","0.114","0.530","0.292","2","hsa-miR-3940-5p","hsa-miR-3184-5p","","","","",""
"BBC3","0.125","0.530","0.309","2","hsa-miR-1228-5p","hsa-miR-92a-2-5p","","","","",""
"BCL9L","0.149","0.530","0.343","2","hsa-miR-3180","hsa-miR-6729-5p","","","","",""
"C3orf36","0.106","0.530","0.279","2","hsa-miR-3180","hsa-miR-3184-5p","","","","",""
"CALM3","0.238","0.530","0.466","2","hsa-miR-3184-5p","hsa-miR-6729-5p","","","","",""
"CALR","0.248","0.530","0.478","2","hsa-miR-92a-2-5p","hsa-miR-7110-5p","","","","",""
"CASKIN1","0.0850","0.530","0.245","2","hsa-miR-6805-5p","hsa-miR-92a-2-5p","","","","",""
"CBX6","0.152","0.530","0.454","3","hsa-miR-3184-5p","hsa-miR-128-1-5p","hsa-miR-92a-2-5p","","","",""
"CDCA4","0.241","0.530","0.470","2","hsa-miR-4648","hsa-miR-4481","","","","",""
"CDKN1A","0.138","0.530","0.560","5","hsa-miR-7110-5p","hsa-miR-3180","hsa-miR-4648","hsa-miR-6805-5p","hsa-miR-6765-5p","",""
"CES2","0.101","0.530","0.271","2","hsa-miR-6805-5p","hsa-miR-6869-5p","","","","",""
"CHST6","0.149","0.530","0.343","2","hsa-miR-575","hsa-miR-6729-5p","","","","",""
"CLASP1","0.101","0.530","0.271","2","hsa-miR-7110-5p","hsa-miR-92a-2-5p","","","","",""
"CNNM4","0.137","0.530","0.326","2","hsa-miR-575","hsa-miR-1203","","","","",""
"CPSF7","0.0703","0.530","0.220","2","hsa-miR-6857-5p","hsa-miR-92a-2-5p","","","","",""
"DDX39B","0.0953","0.530","0.262","2","hsa-miR-92a-2-5p","hsa-miR-7110-5p","","","","",""
"DFFA","0.194","0.530","0.406","2","hsa-miR-92a-2-5p","hsa-miR-7110-5p","","","","",""
"DHTKD1","0.114","0.530","0.292","2","hsa-miR-1228-5p","hsa-miR-125a-3p","","","","",""
"DPM2","0.143","0.530","0.334","2","hsa-miR-125a-3p","hsa-miR-6805-5p","","","","",""
"DYRK2","0.264","0.530","0.499","2","hsa-miR-6869-5p","hsa-miR-92a-2-5p","","","","",""
"EFHD2","0.154","0.530","0.351","2","hsa-miR-128-1-5p","hsa-miR-3184-5p","","","","",""
"EIF1","0.0703","0.530","0.220","2","hsa-miR-3184-5p","hsa-miR-6805-5p","","","","",""
"EIF5AL1","0.254","0.530","0.487","2","hsa-miR-4481","hsa-miR-3184-5p","","","","",""
"ENTPD5","0.106","0.530","0.279","2","hsa-miR-3180","hsa-miR-92a-2-5p","","","","",""
"EVI5L","0.0679","0.530","0.216","2","hsa-miR-3184-5p","hsa-miR-6805-5p","","","","",""
"FAM129B","0.182","0.530","0.389","2","hsa-miR-128-1-5p","hsa-miR-3184-5p","","","","",""
"FKBP8","0.137","0.530","0.326","2","hsa-miR-6857-5p","hsa-miR-7110-5p","","","","",""
