"Category","Subcategory","Enrichment","P-value","P-adjusted","Q-value","Observed","miRNAs/precursors"
"Annotations derived over miRTarBase (Gene Ontology)","ubiquitin ligase complex GO0000151","enriched","0.0013522","0.0013522","0.237114","18","hsa-miR-3130-3p; hsa-miR-4722-3p; hsa-miR-6829-3p; hsa-miR-6769b-5p; hsa-miR-4282; hsa-miR-6722-3p; hsa-miR-4524b-5p; hsa-miR-7854-3p; hsa-miR-5587-5p; hsa-miR-412-3p; hsa-miR-218-2-3p; hsa-miR-371b-5p; hsa-miR-548h-5p; hsa-miR-5591-5p; hsa-miR-1227-5p; hsa-miR-1253; hsa-miR-6802-3p; hsa-miR-1229-3p"
"Annotations derived over miRTarBase (Gene Ontology)","macroautophagy GO0016236","enriched","0.0015044","0.0015044","0.237114","15","hsa-miR-4722-3p; hsa-miR-6829-3p; hsa-miR-6769b-5p; hsa-miR-4282; hsa-miR-6722-3p; hsa-miR-4524b-5p; hsa-miR-5587-5p; hsa-miR-412-3p; hsa-miR-218-2-3p; hsa-miR-449c-3p; hsa-miR-371b-5p; hsa-miR-548h-5p; hsa-miR-7151-5p; hsa-miR-1253; hsa-miR-6802-3p"
"Annotations derived over miRTarBase (Gene Ontology)","cell fate determination GO0001709","enriched","0.0017094","0.0017094","0.237114","4","hsa-miR-6829-3p; hsa-miR-4282; hsa-miR-6722-3p; hsa-miR-4524b-5p"
"Annotations derived over miRTarBase (Gene Ontology)","deadenylation-independent decapping of nuclear-transcribed mRNA GO0031087","enriched","0.0017094","0.0017094","0.237114","4","hsa-miR-4722-3p; hsa-miR-6829-3p; hsa-miR-4282; hsa-miR-4524b-5p"
"Annotations derived over miRTarBase (Gene Ontology)","estrogen response element binding GO0034056","enriched","0.0017094","0.0017094","0.237114","4","hsa-miR-3130-3p; hsa-miR-6769b-5p; hsa-miR-4282; hsa-miR-4524b-5p"
"Annotations derived over miRTarBase (Gene Ontology)","negative regulation of cytokine production GO0001818","enriched","0.0017094","0.0017094","0.237114","4","hsa-miR-3130-3p; hsa-miR-6829-3p; hsa-miR-4282; hsa-miR-4524b-5p"
"Annotations derived over miRTarBase (Gene Ontology)","positive regulation of CREB transcription factor activity GO0032793","enriched","0.0017094","0.0017094","0.237114","4","hsa-miR-4722-3p; hsa-miR-6769b-5p; hsa-miR-4282; hsa-miR-4524b-5p"
"Target genes (miRTarBase)","TOR4A","depleted","0.0017094","0.0017094","0.276668","4","hsa-miR-1253; hsa-miR-6774-3p; hsa-miR-7703; hsa-miR-4749-5p"
"Annotations derived over miRTarBase (Gene Ontology)","regulation of translation GO0006417","enriched","0.0018378","0.0018378","0.237114","8","hsa-miR-4722-3p; hsa-miR-6769b-5p; hsa-miR-4282; hsa-miR-6722-3p; hsa-miR-4524b-5p; hsa-miR-7854-3p; hsa-miR-371b-5p; hsa-miR-548h-5p"
"Annotations derived over miRTarBase (Gene Ontology)","establishment or maintenance of epithelial cell apicalbasal polarity GO0045197","enriched","0.0020771","0.0020771","0.237114","10","hsa-miR-4722-3p; hsa-miR-6829-3p; hsa-miR-6769b-5p; hsa-miR-4282; hsa-miR-6722-3p; hsa-miR-4524b-5p; hsa-miR-7854-3p; hsa-miR-371b-5p; hsa-miR-5591-5p; hsa-miR-7151-5p"
"Annotations derived over miRTarBase (Gene Ontology)","L-glutamate transmembrane transport GO0015813","enriched","0.0021739","0.0021739","0.237114","6","hsa-miR-4722-3p; hsa-miR-6829-3p; hsa-miR-4282; hsa-miR-6722-3p; hsa-miR-4524b-5p; hsa-miR-1227-5p"
"Annotations derived over miRTarBase (Gene Ontology)","U2-type prespliceosome assembly GO1903241","enriched","0.0021739","0.0021739","0.237114","6","hsa-miR-3130-3p; hsa-miR-4722-3p; hsa-miR-6829-3p; hsa-miR-6769b-5p; hsa-miR-4524b-5p; hsa-miR-7703"
"Annotations derived over miRTarBase (Gene Ontology)","U2 snRNP GO0005686","enriched","0.0021739","0.0021739","0.237114","6","hsa-miR-3130-3p; hsa-miR-4722-3p; hsa-miR-6829-3p; hsa-miR-6769b-5p; hsa-miR-4524b-5p; hsa-miR-7703"
"Annotations derived over miRTarBase (Gene Ontology)","catalytic complex GO1902494","enriched","0.0021739","0.0021739","0.237114","6","hsa-miR-3130-3p; hsa-miR-4722-3p; hsa-miR-6829-3p; hsa-miR-6722-3p; hsa-miR-4524b-5p; hsa-miR-1253"
"Annotations derived over miRTarBase (Gene Ontology)","chemoattractant activity GO0042056","enriched","0.0021739","0.0021739","0.237114","6","hsa-miR-4722-3p; hsa-miR-6829-3p; hsa-miR-6769b-5p; hsa-miR-6722-3p; hsa-miR-4524b-5p; hsa-miR-7703"
"Annotations derived over miRTarBase (Gene Ontology)","negative regulation of execution phase of apoptosis GO1900118","enriched","0.0022661","0.0022661","0.237114","9","hsa-miR-3130-3p; hsa-miR-4722-3p; hsa-miR-6829-3p; hsa-miR-4282; hsa-miR-6722-3p; hsa-miR-7854-3p; hsa-miR-5587-5p; hsa-miR-371b-5p; hsa-miR-6802-3p"
"Pathways (KEGG)","GnRH secretion","enriched","0.0024178","0.0024178","0.207753","15","hsa-miR-3130-3p; hsa-miR-4722-3p; hsa-miR-6829-3p; hsa-miR-6722-3p; hsa-miR-4524b-5p; hsa-miR-7854-3p; hsa-miR-412-3p; hsa-miR-218-2-3p; hsa-miR-371b-5p; hsa-miR-548h-5p; hsa-miR-5591-5p; hsa-miR-5585-3p; hsa-miR-6847-3p; hsa-miR-4741; hsa-miR-7703"
"Annotations derived over miRTarBase (Gene Ontology)","early phagosome GO0032009","enriched","0.0026455","0.0026455","0.237114","2","hsa-miR-3130-3p; hsa-miR-4722-3p"
"Annotations derived over miRTarBase (Gene Ontology)","histone H3K27me2H3K27me3 demethylase activity GO0071558","depleted","0.0026455","0.0026455","0.237114","2","hsa-miR-1229-3p; hsa-miR-4749-5p"
"Annotations derived over miRTarBase (Gene Ontology)","neurotransmitter transmembrane transporter activity GO0005326","enriched","0.0026455","0.0026455","0.237114","2","hsa-miR-3130-3p; hsa-miR-4722-3p"
"Annotations derived over miRTarBase (Gene Ontology)","neurotransmitter transport GO0006836","enriched","0.0026455","0.0026455","0.237114","2","hsa-miR-3130-3p; hsa-miR-4722-3p"
"Annotations derived over miRTarBase (Gene Ontology)","regulation of interleukin-1 beta production GO0032651","depleted","0.0026455","0.0026455","0.237114","2","hsa-miR-1229-3p; hsa-miR-4749-5p"
"Annotations derived over miRTarBase (Gene Ontology)","regulation of platelet activation GO0010543","enriched","0.0026455","0.0026455","0.237114","2","hsa-miR-3130-3p; hsa-miR-4722-3p"
"Cell-type specific (Cellular microRNAome)","Beta cell like derived specific","depleted","0.0026455","0.0026455","0.0396825","2","hsa-miR-1229-3p; hsa-miR-4749-5p"
"GO Molecular function (miRPathDB)","cell adhesion molecule binding","depleted","0.0026455","0.0026455","0.203703","2","hsa-miR-1229-3p; hsa-miR-4749-5p"
"Annotations derived over miRTarBase (Gene Ontology)","DNA-directed 5-3 RNA polymerase activity GO0003899","enriched","0.0026528","0.0026528","0.237114","7","hsa-miR-4722-3p; hsa-miR-6829-3p; hsa-miR-6769b-5p; hsa-miR-6722-3p; hsa-miR-7854-3p; hsa-miR-412-3p; hsa-miR-371b-5p"
"Annotations derived over miRTarBase (Gene Ontology)","RNA polymerase III activity GO0001056","enriched","0.0026528","0.0026528","0.237114","7","hsa-miR-4722-3p; hsa-miR-6769b-5p; hsa-miR-6722-3p; hsa-miR-7854-3p; hsa-miR-412-3p; hsa-miR-218-2-3p; hsa-miR-371b-5p"
"Annotations derived over miRTarBase (Gene Ontology)","U12-type spliceosomal complex GO0005689","enriched","0.0026528","0.0026528","0.237114","7","hsa-miR-3130-3p; hsa-miR-4722-3p; hsa-miR-6829-3p; hsa-miR-6769b-5p; hsa-miR-4282; hsa-miR-412-3p; hsa-miR-7703"
"Annotations derived over miRTarBase (Gene Ontology)","four-way junction DNA binding GO0000400","enriched","0.0026528","0.0026528","0.237114","7","hsa-miR-4722-3p; hsa-miR-6829-3p; hsa-miR-6769b-5p; hsa-miR-4282; hsa-miR-7854-3p; hsa-miR-5587-5p; hsa-miR-5591-5p"
"Annotations derived over miRTarBase (Gene Ontology)","spermatid development GO0007286","enriched","0.0026528","0.0026528","0.237114","7","hsa-miR-3130-3p; hsa-miR-4722-3p; hsa-miR-6829-3p; hsa-miR-4282; hsa-miR-6722-3p; hsa-miR-412-3p; hsa-miR-371b-5p"
"Annotations derived over miRTarBase (Gene Ontology)","COPII-coated vesicle cargo loading GO0090110","enriched","0.0027473","0.0027473","0.237114","5","hsa-miR-4722-3p; hsa-miR-6829-3p; hsa-miR-4282; hsa-miR-4524b-5p; hsa-miR-412-3p"
"Annotations derived over miRTarBase (Gene Ontology)","COPII vesicle coat GO0030127","enriched","0.0027473","0.0027473","0.237114","5","hsa-miR-4722-3p; hsa-miR-6829-3p; hsa-miR-4282; hsa-miR-4524b-5p; hsa-miR-412-3p"
"Annotations derived over miRTarBase (Gene Ontology)","myofibril assembly GO0030239","enriched","0.0027473","0.0027473","0.237114","5","hsa-miR-4722-3p; hsa-miR-6829-3p; hsa-miR-4282; hsa-miR-5587-5p; hsa-miR-412-3p"
"Annotations derived over miRTarBase (Gene Ontology)","positive regulation of exocytosis GO0045921","enriched","0.0027473","0.0027473","0.237114","5","hsa-miR-6769b-5p; hsa-miR-6722-3p; hsa-miR-7854-3p; hsa-miR-5587-5p; hsa-miR-412-3p"
"Annotations derived over miRTarBase (Gene Ontology)","striated muscle thin filament GO0005865","enriched","0.0027473","0.0027473","0.237114","5","hsa-miR-4722-3p; hsa-miR-6829-3p; hsa-miR-4282; hsa-miR-5587-5p; hsa-miR-412-3p"
"Annotations derived over miRTarBase (Gene Ontology)","catalytic step 2 spliceosome GO0071013","enriched","0.0029476","0.0029476","0.237114","18","hsa-miR-3130-3p; hsa-miR-4722-3p; hsa-miR-6829-3p; hsa-miR-6769b-5p; hsa-miR-4282; hsa-miR-6722-3p; hsa-miR-4524b-5p; hsa-miR-412-3p; hsa-miR-218-2-3p; hsa-miR-449c-3p; hsa-miR-371b-5p; hsa-miR-548h-5p; hsa-miR-5591-5p; hsa-miR-5585-3p; hsa-miR-6847-3p; hsa-miR-660-5p; hsa-miR-7703; hsa-miR-1229-3p"
"Annotations derived over miRTarBase (Gene Ontology)","5S class rRNA transcription by RNA polymerase III GO0042791","enriched","0.0030525","0.0030525","0.237114","3","hsa-miR-4722-3p; hsa-miR-6829-3p; hsa-miR-4282"
"Annotations derived over miRTarBase (Gene Ontology)","DNA-templated DNA replication GO0006261","enriched","0.0030525","0.0030525","0.237114","3","hsa-miR-4722-3p; hsa-miR-6829-3p; hsa-miR-4282"
"Annotations derived over miRTarBase (Gene Ontology)","DNA metabolic process GO0006259","enriched","0.0030525","0.0030525","0.237114","3","hsa-miR-4722-3p; hsa-miR-6829-3p; hsa-miR-4282"
"Annotations derived over miRTarBase (Gene Ontology)","DNA replication preinitiation complex assembly GO0071163","enriched","0.0030525","0.0030525","0.237114","3","hsa-miR-4722-3p; hsa-miR-6829-3p; hsa-miR-4282"
"Annotations derived over miRTarBase (Gene Ontology)","L-cystine transport GO0015811","enriched","0.0030525","0.0030525","0.237114","3","hsa-miR-4722-3p; hsa-miR-6829-3p; hsa-miR-4282"
"Annotations derived over miRTarBase (Gene Ontology)","L-kynurenine transmembrane transport GO0140924","enriched","0.0030525","0.0030525","0.237114","3","hsa-miR-4722-3p; hsa-miR-6829-3p; hsa-miR-4282"
"Annotations derived over miRTarBase (Gene Ontology)","L-kynurenine transmembrane transporter activity GO0140926","enriched","0.0030525","0.0030525","0.237114","3","hsa-miR-4722-3p; hsa-miR-6829-3p; hsa-miR-4282"
"Annotations derived over miRTarBase (Gene Ontology)","RNA polymerase III general transcription initiation factor activity GO0000995","enriched","0.0030525","0.0030525","0.237114","3","hsa-miR-4722-3p; hsa-miR-6829-3p; hsa-miR-4282"
"Annotations derived over miRTarBase (Gene Ontology)","acetyl-CoA binding GO1905502","enriched","0.0030525","0.0030525","0.237114","3","hsa-miR-3130-3p; hsa-miR-6829-3p; hsa-miR-4282"
"Annotations derived over miRTarBase (Gene Ontology)","apoptotic cell clearance GO0043277","enriched","0.0030525","0.0030525","0.237114","3","hsa-miR-4722-3p; hsa-miR-6829-3p; hsa-miR-4282"
"Annotations derived over miRTarBase (Gene Ontology)","cystineglutamate antiporter activity GO0015327","enriched","0.0030525","0.0030525","0.237114","3","hsa-miR-4722-3p; hsa-miR-6829-3p; hsa-miR-4282"
"Annotations derived over miRTarBase (Gene Ontology)","deadenylation-dependent decapping of nuclear-transcribed mRNA GO0000290","enriched","0.0030525","0.0030525","0.237114","3","hsa-miR-4722-3p; hsa-miR-6829-3p; hsa-miR-4282"
"Annotations derived over miRTarBase (Gene Ontology)","inflammatory response to antigenic stimulus GO0002437","enriched","0.0030525","0.0030525","0.237114","3","hsa-miR-4722-3p; hsa-miR-6829-3p; hsa-miR-4282"
"Annotations derived over miRTarBase (Gene Ontology)","negative regulation of DNA-templated DNA replication GO2000104","enriched","0.0030525","0.0030525","0.237114","3","hsa-miR-4722-3p; hsa-miR-6829-3p; hsa-miR-4282"
"Annotations derived over miRTarBase (Gene Ontology)","negative regulation of ferroptosis GO0110076","enriched","0.0030525","0.0030525","0.237114","3","hsa-miR-4722-3p; hsa-miR-6829-3p; hsa-miR-4282"
"Annotations derived over miRTarBase (Gene Ontology)","plasma membrane organization GO0007009","enriched","0.0030525","0.0030525","0.237114","3","hsa-miR-4722-3p; hsa-miR-6829-3p; hsa-miR-4282"
"Annotations derived over miRTarBase (Gene Ontology)","positive regulation of chemokine production GO0032722","enriched","0.0030525","0.0030525","0.237114","3","hsa-miR-3130-3p; hsa-miR-4722-3p; hsa-miR-4282"
"Annotations derived over miRTarBase (Gene Ontology)","positive regulation of protein localization to kinetochore GO1905342","enriched","0.0030525","0.0030525","0.237114","3","hsa-miR-4722-3p; hsa-miR-6829-3p; hsa-miR-4282"
"Annotations derived over miRTarBase (Gene Ontology)","regulation of COPII vesicle coating GO0003400","enriched","0.0030525","0.0030525","0.237114","3","hsa-miR-4722-3p; hsa-miR-6829-3p; hsa-miR-4282"
"Annotations derived over miRTarBase (Gene Ontology)","sperm DNA condensation GO0035092","enriched","0.0030525","0.0030525","0.237114","3","hsa-miR-4722-3p; hsa-miR-6829-3p; hsa-miR-4282"
"Annotations derived over miRTarBase (Gene Ontology)","transcription factor TFIIIC complex GO0000127","enriched","0.0030525","0.0030525","0.237114","3","hsa-miR-4722-3p; hsa-miR-6829-3p; hsa-miR-4282"
"Target genes (miRTarBase)","MRPL17","enriched","0.0030525","0.0030525","0.276668","3","hsa-miR-4722-3p; hsa-miR-6829-3p; hsa-miR-4282"
"Target genes (miRTarBase)","SLC7A11","enriched","0.0030525","0.0030525","0.276668","3","hsa-miR-4722-3p; hsa-miR-6829-3p; hsa-miR-4282"
"Target genes (miRTarBase)","TMOD3","enriched","0.0030525","0.0030525","0.276668","3","hsa-miR-4722-3p; hsa-miR-6829-3p; hsa-miR-4282"
"Annotations derived over miRTarBase (Gene Ontology)","Z disc GO0030018","enriched","0.0032763","0.0032763","0.237114","11","hsa-miR-4722-3p; hsa-miR-6829-3p; hsa-miR-4282; hsa-miR-6722-3p; hsa-miR-7854-3p; hsa-miR-5587-5p; hsa-miR-412-3p; hsa-miR-371b-5p; hsa-miR-548h-5p; hsa-miR-5591-5p; hsa-miR-7703"
"Annotations derived over miRTarBase (Gene Ontology)","centrosome cycle GO0007098","enriched","0.0032763","0.0032763","0.237114","11","hsa-miR-4722-3p; hsa-miR-6829-3p; hsa-miR-6769b-5p; hsa-miR-4282; hsa-miR-4524b-5p; hsa-miR-7854-3p; hsa-miR-412-3p; hsa-miR-371b-5p; hsa-miR-548h-5p; hsa-miR-5591-5p; hsa-miR-7703"
"Annotations derived over miRTarBase (Gene Ontology)","release of cytochrome c from mitochondria GO0001836","enriched","0.0032763","0.0032763","0.237114","11","hsa-miR-3130-3p; hsa-miR-4722-3p; hsa-miR-6829-3p; hsa-miR-6769b-5p; hsa-miR-4282; hsa-miR-6722-3p; hsa-miR-7854-3p; hsa-miR-412-3p; hsa-miR-371b-5p; hsa-miR-5591-5p; hsa-miR-4749-5p"
"Pathways (KEGG)","Cytosolic DNA-sensing pathway","enriched","0.0032763","0.0032763","0.207753","11","hsa-miR-4722-3p; hsa-miR-6829-3p; hsa-miR-6769b-5p; hsa-miR-4282; hsa-miR-6722-3p; hsa-miR-5587-5p; hsa-miR-412-3p; hsa-miR-218-2-3p; hsa-miR-371b-5p; hsa-miR-5591-5p; hsa-miR-6802-3p"
"Annotations derived over miRTarBase (Gene Ontology)","EP4 subtype prostaglandin E2 receptor binding GO0031867","enriched","0.0034188","0.0034188","0.237114","4","hsa-miR-4722-3p; hsa-miR-6829-3p; hsa-miR-6769b-5p; hsa-miR-7854-3p"
"Annotations derived over miRTarBase (Gene Ontology)","myosin II binding GO0045159","enriched","0.0034188","0.0034188","0.237114","4","hsa-miR-4722-3p; hsa-miR-6769b-5p; hsa-miR-6722-3p; hsa-miR-7854-3p"
"Annotations derived over miRTarBase (Gene Ontology)","negative regulation of glucokinase activity GO0033132","enriched","0.0034188","0.0034188","0.237114","4","hsa-miR-3130-3p; hsa-miR-6769b-5p; hsa-miR-6722-3p; hsa-miR-7854-3p"
"Annotations derived over miRTarBase (Gene Ontology)","positive regulation of interleukin-1 production GO0032732","enriched","0.0034188","0.0034188","0.237114","4","hsa-miR-4722-3p; hsa-miR-6829-3p; hsa-miR-6769b-5p; hsa-miR-7854-3p"
"Annotations derived over miRTarBase (Gene Ontology)","positive regulation of phospholipase C activity GO0010863","enriched","0.0034188","0.0034188","0.237114","4","hsa-miR-4722-3p; hsa-miR-6829-3p; hsa-miR-4524b-5p; hsa-miR-7854-3p"
"Annotations derived over miRTarBase (Gene Ontology)","prostaglandin metabolic process GO0006693","enriched","0.0034188","0.0034188","0.237114","4","hsa-miR-4722-3p; hsa-miR-6829-3p; hsa-miR-6769b-5p; hsa-miR-7854-3p"
"Annotations derived over miRTarBase (Gene Ontology)","transcytosis GO0045056","depleted","0.0034188","0.0034188","0.237114","4","hsa-miR-7151-5p; hsa-miR-1253; hsa-miR-7703; hsa-miR-4749-5p"
"Target genes (miRTarBase)","FEM1A","enriched","0.0034188","0.0034188","0.276668","4","hsa-miR-4722-3p; hsa-miR-6829-3p; hsa-miR-6769b-5p; hsa-miR-7854-3p"
"Target genes (miRTarBase)","MIDN","enriched","0.0034188","0.0034188","0.276668","4","hsa-miR-3130-3p; hsa-miR-6769b-5p; hsa-miR-6722-3p; hsa-miR-7854-3p"
"Annotations derived over miRTarBase (Gene Ontology)","regulation of immune response GO0050776","enriched","0.0034799","0.0034799","0.237114","5","hsa-miR-4722-3p; hsa-miR-6829-3p; hsa-miR-6769b-5p; hsa-miR-4282; hsa-miR-548h-5p"
"Annotations derived over miRTarBase (Gene Ontology)","negative regulation of cell differentiation GO0045596","enriched","0.003959","0.003959","0.237114","10","hsa-miR-3130-3p; hsa-miR-6769b-5p; hsa-miR-4282; hsa-miR-6722-3p; hsa-miR-7854-3p; hsa-miR-5587-5p; hsa-miR-412-3p; hsa-miR-371b-5p; hsa-miR-548h-5p; hsa-miR-4741"
"Annotations derived over miRTarBase (Gene Ontology)","phosphatidylinositol-4,5-bisphosphate binding GO0005546","enriched","0.0040523","0.0040523","0.237114","12","hsa-miR-3130-3p; hsa-miR-4722-3p; hsa-miR-6829-3p; hsa-miR-6769b-5p; hsa-miR-4282; hsa-miR-6722-3p; hsa-miR-4524b-5p; hsa-miR-5587-5p; hsa-miR-371b-5p; hsa-miR-134-3p; hsa-miR-7703; hsa-miR-4749-5p"
"Annotations derived over miRTarBase (Gene Ontology)","positive regulation of stem cell population maintenance GO1902459","enriched","0.004119","0.004119","0.237114","11","hsa-miR-3130-3p; hsa-miR-4722-3p; hsa-miR-6829-3p; hsa-miR-6769b-5p; hsa-miR-4282; hsa-miR-6722-3p; hsa-miR-7854-3p; hsa-miR-412-3p; hsa-miR-371b-5p; hsa-miR-4741; hsa-miR-134-3p"
"Annotations derived over miRTarBase (Gene Ontology)","spindle pole GO0000922","enriched","0.004119","0.004119","0.237114","11","hsa-miR-4722-3p; hsa-miR-6829-3p; hsa-miR-6769b-5p; hsa-miR-4282; hsa-miR-6722-3p; hsa-miR-4524b-5p; hsa-miR-7854-3p; hsa-miR-412-3p; hsa-miR-548h-5p; hsa-miR-1253; hsa-miR-7703"
"Pathways (KEGG)","Fc gamma R-mediated phagocytosis","enriched","0.004119","0.004119","0.207753","17","hsa-miR-3130-3p; hsa-miR-4722-3p; hsa-miR-6829-3p; hsa-miR-4282; hsa-miR-6722-3p; hsa-miR-4524b-5p; hsa-miR-7854-3p; hsa-miR-5587-5p; hsa-miR-412-3p; hsa-miR-371b-5p; hsa-miR-548h-5p; hsa-miR-5591-5p; hsa-miR-5585-3p; hsa-miR-6847-3p; hsa-miR-4741; hsa-miR-1253; hsa-miR-7703"
"Annotations derived over miRTarBase (Gene Ontology)","positive regulation of fat cell differentiation GO0045600","enriched","0.0046218","0.0046218","0.237114","8","hsa-miR-3130-3p; hsa-miR-4722-3p; hsa-miR-6829-3p; hsa-miR-6722-3p; hsa-miR-4524b-5p; hsa-miR-5587-5p; hsa-miR-371b-5p; hsa-miR-5591-5p"
"Annotations derived over miRTarBase (Gene Ontology)","response to unfolded protein GO0006986","enriched","0.0046218","0.0046218","0.237114","8","hsa-miR-6829-3p; hsa-miR-4282; hsa-miR-6722-3p; hsa-miR-4524b-5p; hsa-miR-218-2-3p; hsa-miR-371b-5p; hsa-miR-548h-5p; hsa-miR-5591-5p"
"Annotations derived over miRTarBase (Gene Ontology)","sprouting angiogenesis GO0002040","enriched","0.0046218","0.0046218","0.237114","8","hsa-miR-4722-3p; hsa-miR-6769b-5p; hsa-miR-4282; hsa-miR-6722-3p; hsa-miR-4524b-5p; hsa-miR-7854-3p; hsa-miR-371b-5p; hsa-miR-7703"
"Annotations derived over miRTarBase (Gene Ontology)","ATPase activator activity GO0001671","enriched","0.0048309","0.0048309","0.237114","6","hsa-miR-3130-3p; hsa-miR-4722-3p; hsa-miR-4282; hsa-miR-4524b-5p; hsa-miR-7854-3p; hsa-miR-7703"
