"Category","Subcategory","Enrichment","P-value","P-adjusted","Q-value","Observed","miRNAs/precursors"
"Gene Ontology (miRWalk)","GO0051437 positive regulation of ubiquitin protein ligase activity involved in mitotic cell cycle","depleted","0.0031145","0.0031145","0.286231","6","hsa-miR-940; hsa-miR-185-3p; hsa-miR-941; hsa-miR-320b; hsa-miR-342-5p; hsa-miR-1227-3p"
"Gene Ontology (miRWalk)","GO0051439 regulation of ubiquitin protein ligase activity involved in mitotic cell cycle","depleted","0.0031145","0.0031145","0.286231","6","hsa-miR-940; hsa-miR-185-3p; hsa-miR-941; hsa-miR-320b; hsa-miR-342-5p; hsa-miR-1227-3p"
"Annotation (Gene Ontology)","extracellular space GO0005615","depleted","0.0033223","0.0033223","0.0963455","4","hsa-miR-185-3p; hsa-miR-941; hsa-miR-320b; hsa-miR-342-5p"
"Annotations derived over miRTarBase (Gene Ontology)","anaphase-promoting complex GO0005680","depleted","0.0036939","0.0036939","0.502418","10","hsa-miR-6730-5p; hsa-miR-4443; hsa-miR-4483; hsa-miR-940; hsa-miR-944; hsa-miR-4313; hsa-miR-5572; hsa-miR-941; hsa-miR-6819-5p; hsa-miR-1227-3p"
"Pathways (KEGG)","Synaptic vesicle cycle","enriched","0.0036939","0.0036939","0.580015","10","hsa-miR-4685-3p; hsa-miR-17-3p; hsa-miR-6780a-5p; hsa-miR-4754; hsa-miR-4472; hsa-miR-3652; hsa-miR-504-3p; hsa-miR-646; hsa-miR-5698; hsa-miR-1224-5p"
"Annotations derived over miRTarBase (Gene Ontology)","positive regulation of cytokine production GO0001819","enriched","0.0039179","0.0039179","0.502418","7","hsa-miR-5100; hsa-miR-4685-3p; hsa-miR-17-3p; hsa-miR-495-5p; hsa-miR-7110-5p; hsa-miR-940; hsa-miR-342-5p"
"Annotations derived over miRTarBase (Gene Ontology)","autophagy GO0006914","enriched","0.0046641","0.0046641","0.502418","19","hsa-miR-1185-2-3p; hsa-miR-1290; hsa-miR-4685-3p; hsa-miR-17-3p; hsa-miR-7110-5p; hsa-miR-6780a-5p; hsa-miR-31-3p; hsa-miR-4472; hsa-miR-3652; hsa-miR-6741-5p; hsa-miR-504-3p; hsa-miR-646; hsa-miR-6730-5p; hsa-miR-5698; hsa-miR-320d; hsa-miR-4483; hsa-miR-940; hsa-miR-6776-5p; hsa-miR-320b"
"Annotations derived over miRTarBase (Gene Ontology)","positive regulation of muscle cell differentiation GO0051149","enriched","0.0047988","0.0047988","0.502418","4","hsa-miR-4685-3p; hsa-miR-495-5p; hsa-miR-7110-5p; hsa-miR-4472"
"Annotations derived over miRTarBase (Gene Ontology)","zymogen activation GO0031638","enriched","0.0047988","0.0047988","0.502418","4","hsa-miR-6076; hsa-miR-7110-5p; hsa-miR-6780a-5p; hsa-miR-4472"
"Target genes (miRTarBase)","SEC22C","depleted","0.0047988","0.0047988","0.461812","4","hsa-miR-6776-5p; hsa-miR-185-3p; hsa-miR-6819-5p; hsa-miR-342-5p"
"Annotations derived over miRTarBase (Gene Ontology)","apolipoprotein A-I-mediated signaling pathway GO0038027","enriched","0.0048713","0.0048713","0.502418","6","hsa-miR-17-3p; hsa-miR-6780a-5p; hsa-miR-6877-5p; hsa-miR-31-3p; hsa-miR-4456; hsa-miR-504-3p"
"Annotations derived over miRTarBase (Gene Ontology)","negative regulation of kinase activity GO0033673","enriched","0.0048713","0.0048713","0.502418","6","hsa-miR-5100; hsa-miR-1185-2-3p; hsa-miR-1290; hsa-miR-4685-3p; hsa-miR-6741-5p; hsa-miR-4769-5p"
"Diseases (MNDR)","Glioma","depleted","0.0048713","0.0048713","0.305936","6","hsa-miR-4483; hsa-miR-185-3p; hsa-miR-516a-5p; hsa-miR-320b; hsa-miR-342-5p; hsa-miR-1227-3p"
"Annotations derived over miRTarBase (Gene Ontology)","cellular response to transforming growth factor beta stimulus GO0071560","enriched","0.0054182","0.0054182","0.502418","15","hsa-miR-17-3p; hsa-miR-6076; hsa-miR-495-5p; hsa-miR-6780a-5p; hsa-miR-6877-5p; hsa-miR-31-3p; hsa-miR-3652; hsa-miR-6793-5p; hsa-miR-504-3p; hsa-miR-646; hsa-miR-5698; hsa-miR-1224-5p; hsa-miR-6805-3p; hsa-miR-940; hsa-miR-944"
"Pathways (KEGG)","JAK-STAT signaling pathway","depleted","0.0054182","0.0054182","0.580015","30","hsa-miR-5100; hsa-miR-4685-3p; hsa-miR-17-3p; hsa-miR-7110-5p; hsa-miR-6780a-5p; hsa-miR-4472; hsa-miR-3652; hsa-miR-504-3p; hsa-miR-646; hsa-miR-6730-5p; hsa-miR-5698; hsa-miR-4443; hsa-miR-320d; hsa-miR-1224-5p; hsa-miR-6805-3p; hsa-miR-4483; hsa-miR-940; hsa-miR-944; hsa-miR-4313; hsa-miR-5572; hsa-miR-6776-5p; hsa-miR-185-3p; hsa-miR-1470; hsa-miR-516a-5p; hsa-miR-320b; hsa-miR-4489; hsa-miR-6819-5p; hsa-miR-1202; hsa-miR-342-5p; hsa-miR-4769-5p"
"Diseases (MNDR)","Cholangiocarcinoma","depleted","0.0054182","0.0054182","0.305936","15","hsa-miR-17-3p; hsa-miR-3652; hsa-miR-646; hsa-miR-1224-5p; hsa-miR-940; hsa-miR-944; hsa-miR-4313; hsa-miR-185-3p; hsa-miR-1470; hsa-miR-3181; hsa-miR-941; hsa-miR-516a-5p; hsa-miR-320b; hsa-miR-1202; hsa-miR-1227-3p"
"Annotations derived over miRTarBase (Gene Ontology)","cellular response to cytokine stimulus GO0071345","enriched","0.0058634","0.0058634","0.502418","12","hsa-miR-17-3p; hsa-miR-7110-5p; hsa-miR-6780a-5p; hsa-miR-6877-5p; hsa-miR-31-3p; hsa-miR-4456; hsa-miR-504-3p; hsa-miR-646; hsa-miR-5698; hsa-miR-4443; hsa-miR-4483; hsa-miR-940"
"Annotations derived over miRTarBase (Gene Ontology)","neuregulin binding GO0038132","enriched","0.0059197","0.0059197","0.502418","3","hsa-miR-17-3p; hsa-miR-7110-5p; hsa-miR-6780a-5p"
"Annotations derived over miRTarBase (Gene Ontology)","positive regulation of glycoprotein metabolic process GO1903020","enriched","0.0059197","0.0059197","0.502418","3","hsa-miR-17-3p; hsa-miR-7110-5p; hsa-miR-6780a-5p"
"Annotations derived over miRTarBase (Gene Ontology)","positive regulation of protein kinase A signaling GO0010739","enriched","0.0059197","0.0059197","0.502418","3","hsa-miR-1185-2-3p; hsa-miR-1290; hsa-miR-6780a-5p"
"Annotations derived over miRTarBase (Gene Ontology)","response to UV-C GO0010225","enriched","0.0059197","0.0059197","0.502418","3","hsa-miR-5100; hsa-miR-7110-5p; hsa-miR-6780a-5p"
"Gene Ontology (miRWalk)","GO0000080 g1 phase of mitotic cell cycle","depleted","0.0059197","0.0059197","0.286231","3","hsa-miR-941; hsa-miR-320b; hsa-miR-1227-3p"
"Gene Ontology (miRWalk)","GO0005764 lysosome","depleted","0.0059197","0.0059197","0.286231","3","hsa-miR-941; hsa-miR-320b; hsa-miR-1227-3p"
"Gene Ontology (miRWalk)","GO0006461 protein complex assembly","depleted","0.0059197","0.0059197","0.286231","3","hsa-miR-941; hsa-miR-320b; hsa-miR-1227-3p"
"Gene Ontology (miRWalk)","GO0006508 proteolysis","depleted","0.0059197","0.0059197","0.286231","3","hsa-miR-941; hsa-miR-516a-5p; hsa-miR-320b"
"Gene Ontology (miRWalk)","GO0007417 central nervous system development","depleted","0.0059197","0.0059197","0.286231","3","hsa-miR-941; hsa-miR-320b; hsa-miR-342-5p"
"Pathways (miRWalk)","hsa04142 Lysosome","depleted","0.0059197","0.0059197","0.276782","3","hsa-miR-941; hsa-miR-320b; hsa-miR-1227-3p"
"Pathways (miRWalk)","hsa05222 Small cell lung cancer","depleted","0.0059197","0.0059197","0.276782","3","hsa-miR-941; hsa-miR-320b; hsa-miR-342-5p"
"Gene Ontology (miRWalk)","GO0006915 apoptotic process","depleted","0.0059568","0.0059568","0.286231","8","hsa-miR-17-3p; hsa-miR-940; hsa-miR-185-3p; hsa-miR-941; hsa-miR-516a-5p; hsa-miR-320b; hsa-miR-342-5p; hsa-miR-1227-3p"
"Annotations derived over miRTarBase (Gene Ontology)","cytoplasmic microtubule organization GO0031122","enriched","0.0060242","0.0060242","0.502418","13","hsa-miR-5100; hsa-miR-17-3p; hsa-miR-7110-5p; hsa-miR-6780a-5p; hsa-miR-6877-5p; hsa-miR-31-3p; hsa-miR-4472; hsa-miR-4456; hsa-miR-6741-5p; hsa-miR-504-3p; hsa-miR-5698; hsa-miR-940; hsa-miR-944"
"Annotations derived over miRTarBase (Gene Ontology)","DNA protection GO0042262","depleted","0.0060606","0.0060606","0.502418","2","hsa-miR-1202; hsa-miR-1227-3p"
"Annotations derived over miRTarBase (Gene Ontology)","G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger GO0007187","enriched","0.0060606","0.0060606","0.502418","2","hsa-miR-1290; hsa-miR-4685-3p"
"Annotations derived over miRTarBase (Gene Ontology)","G protein-coupled serotonin receptor activity GO0004993","enriched","0.0060606","0.0060606","0.502418","2","hsa-miR-1290; hsa-miR-4685-3p"
"Annotations derived over miRTarBase (Gene Ontology)","L-cysteine catabolic process GO0019448","depleted","0.0060606","0.0060606","0.502418","2","hsa-miR-1202; hsa-miR-1227-3p"
"Annotations derived over miRTarBase (Gene Ontology)","autophagic cell death GO0048102","enriched","0.0060606","0.0060606","0.502418","2","hsa-miR-1185-2-3p; hsa-miR-4685-3p"
"Annotations derived over miRTarBase (Gene Ontology)","carbon monoxide binding GO0070025","depleted","0.0060606","0.0060606","0.502418","2","hsa-miR-1202; hsa-miR-1227-3p"
"Annotations derived over miRTarBase (Gene Ontology)","cellular response to lithium ion GO0071285","enriched","0.0060606","0.0060606","0.502418","2","hsa-miR-1185-2-3p; hsa-miR-4685-3p"
"Annotations derived over miRTarBase (Gene Ontology)","cystathionine beta-synthase activity GO0004122","depleted","0.0060606","0.0060606","0.502418","2","hsa-miR-1202; hsa-miR-1227-3p"
"Annotations derived over miRTarBase (Gene Ontology)","cysteine biosynthetic process GO0019344","depleted","0.0060606","0.0060606","0.502418","2","hsa-miR-1202; hsa-miR-1227-3p"
"Annotations derived over miRTarBase (Gene Ontology)","cysteine biosynthetic process from serine GO0006535","depleted","0.0060606","0.0060606","0.502418","2","hsa-miR-1202; hsa-miR-1227-3p"
"Annotations derived over miRTarBase (Gene Ontology)","cysteine synthase activity GO0004124","depleted","0.0060606","0.0060606","0.502418","2","hsa-miR-1202; hsa-miR-1227-3p"
"Annotations derived over miRTarBase (Gene Ontology)","embryo implantation GO0007566","enriched","0.0060606","0.0060606","0.502418","2","hsa-miR-1290; hsa-miR-4685-3p"
"Annotations derived over miRTarBase (Gene Ontology)","homocysteine catabolic process GO0043418","depleted","0.0060606","0.0060606","0.502418","2","hsa-miR-1202; hsa-miR-1227-3p"
"Annotations derived over miRTarBase (Gene Ontology)","hydrogen peroxide catabolic process GO0042744","enriched","0.0060606","0.0060606","0.502418","2","hsa-miR-1290; hsa-miR-4685-3p"
"Annotations derived over miRTarBase (Gene Ontology)","hydrogen sulfide biosynthetic process GO0070814","depleted","0.0060606","0.0060606","0.502418","2","hsa-miR-1202; hsa-miR-1227-3p"
"Annotations derived over miRTarBase (Gene Ontology)","nitric oxide binding GO0070026","depleted","0.0060606","0.0060606","0.502418","2","hsa-miR-1202; hsa-miR-1227-3p"
"Annotations derived over miRTarBase (Gene Ontology)","nitrite reductase NO-forming activity GO0050421","depleted","0.0060606","0.0060606","0.502418","2","hsa-miR-1202; hsa-miR-1227-3p"
"Annotations derived over miRTarBase (Gene Ontology)","protein localization to bicellular tight junction GO1902396","depleted","0.0060606","0.0060606","0.502418","2","hsa-miR-1202; hsa-miR-1227-3p"
"Annotations derived over miRTarBase (Gene Ontology)","very long-chain fatty acid-CoA ligase activity GO0031957","enriched","0.0060606","0.0060606","0.502418","2","hsa-miR-1290; hsa-miR-4685-3p"
"Target genes (miRTarBase)","ACTG1","depleted","0.0060606","0.0060606","0.461812","2","hsa-miR-1202; hsa-miR-1227-3p"
"Target genes (miRTarBase)","CBS","depleted","0.0060606","0.0060606","0.461812","2","hsa-miR-1202; hsa-miR-1227-3p"
"Target genes (miRTarBase)","CDKN1B","enriched","0.0060606","0.0060606","0.461812","2","hsa-miR-1185-2-3p; hsa-miR-4685-3p"
"Target genes (miRTarBase)","DIP2A","enriched","0.0060606","0.0060606","0.461812","2","hsa-miR-1185-2-3p; hsa-miR-4685-3p"
"Target genes (miRTarBase)","MAGEB4","enriched","0.0060606","0.0060606","0.461812","2","hsa-miR-5100; hsa-miR-4685-3p"
"Target genes (miRTarBase)","MBNL1","enriched","0.0060606","0.0060606","0.461812","2","hsa-miR-1185-2-3p; hsa-miR-4685-3p"
"Interactions (NPInter)","ACTG1","depleted","0.0060606","0.0060606","0.387834","2","hsa-miR-1202; hsa-miR-1227-3p"
"Interactions (NPInter)","RP4-550H1.6","enriched","0.0060606","0.0060606","0.387834","2","hsa-miR-1185-2-3p; hsa-miR-4685-3p"
"Annotations derived over miRTarBase (Gene Ontology)","positive regulation of mitochondrial fission GO0090141","enriched","0.0063755","0.0063755","0.502418","7","hsa-miR-1290; hsa-miR-4685-3p; hsa-miR-17-3p; hsa-miR-6076; hsa-miR-6780a-5p; hsa-miR-940; hsa-miR-1470"
"Annotations derived over miRTarBase (Gene Ontology)","postsynaptic density membrane GO0098839","enriched","0.0063755","0.0063755","0.502418","7","hsa-miR-1185-2-3p; hsa-miR-4685-3p; hsa-miR-495-5p; hsa-miR-7110-5p; hsa-miR-6780a-5p; hsa-miR-940; hsa-miR-1470"
"Annotations derived over miRTarBase (Gene Ontology)","transmitter-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential GO1904315","enriched","0.0066691","0.0066691","0.502418","5","hsa-miR-1185-2-3p; hsa-miR-4685-3p; hsa-miR-495-5p; hsa-miR-7110-5p; hsa-miR-1470"
"Annotations derived over miRTarBase (Gene Ontology)","response to virus GO0009615","enriched","0.0066823","0.0066823","0.502418","24","hsa-miR-1185-2-3p; hsa-miR-17-3p; hsa-miR-6076; hsa-miR-495-5p; hsa-miR-7110-5p; hsa-miR-6780a-5p; hsa-miR-4472; hsa-miR-3652; hsa-miR-4440; hsa-miR-6793-5p; hsa-miR-4456; hsa-miR-6741-5p; hsa-miR-504-3p; hsa-miR-646; hsa-miR-6730-5p; hsa-miR-5698; hsa-miR-4443; hsa-miR-1224-5p; hsa-miR-4483; hsa-miR-940; hsa-miR-1470; hsa-miR-320b; hsa-miR-1227-3p; hsa-miR-4769-5p"
"Annotations derived over miRTarBase (Gene Ontology)","RNA polyadenylation GO0043631","enriched","0.0067183","0.0067183","0.502418","4","hsa-miR-1185-2-3p; hsa-miR-6780a-5p; hsa-miR-31-3p; hsa-miR-3652"
"Annotations derived over miRTarBase (Gene Ontology)","hair follicle morphogenesis GO0031069","depleted","0.0067183","0.0067183","0.502418","4","hsa-miR-5572; hsa-miR-1470; hsa-miR-6819-5p; hsa-miR-342-5p"
"Annotations derived over miRTarBase (Gene Ontology)","negative regulation of cell cycle G1S phase transition GO1902807","enriched","0.0067183","0.0067183","0.502418","4","hsa-miR-1185-2-3p; hsa-miR-4685-3p; hsa-miR-17-3p; hsa-miR-3652"
"Annotations derived over miRTarBase (Gene Ontology)","regulation of voltage-gated calcium channel activity GO1901385","depleted","0.0067183","0.0067183","0.502418","4","hsa-miR-5572; hsa-miR-1470; hsa-miR-6819-5p; hsa-miR-342-5p"
"Annotations derived over miRTarBase (Gene Ontology)","secretion by cell GO0032940","enriched","0.0067183","0.0067183","0.502418","4","hsa-miR-4685-3p; hsa-miR-6076; hsa-miR-6780a-5p; hsa-miR-3652"
"Target genes (miRTarBase)","MLX","depleted","0.0067183","0.0067183","0.461812","4","hsa-miR-5572; hsa-miR-320b; hsa-miR-6819-5p; hsa-miR-342-5p"
